,word,count
0,core,245
1,c,151
2,file,122
3,value,103
4,quot,98
5,error,90
6,list,88
7,method,86
8,class,72
9,entity,71
10,net,67
11,json,61
12,application,60
13,t,60
14,system,58
15,azure,58
16,api,56
17,framework,56
18,access,54
19,code,53
20,property,51
21,type,50
22,mvc,50
23,app,49
24,database,49
25,i,49
26,array,46
27,project,45
28,service,45
29,name,44
30,object,43
31,wpf,42
32,page,42
33,server,41
34,web,40
35,string,40
36,query,40
37,way,39
38,gt,39
39,text,38
40,unity,37
41,xamarin,37
42,use,36
43,client,35
44,time,35
45,function,35
46,exception,34
47,cannot,33
48,parameter,32
49,model,32
50,lt,32
51,request,31
52,controller,30
53,image,29
54,studio,28
55,test,28
56,custom,28
57,column,27
58,instance,26
59,action,26
60,xml,23
61,view,23
62,field,23
63,sql,23
64,linq,23
65,connection,23
66,issue,22
67,dll,22
68,number,22
69,expression,22
70,razor,22
71,button,21
72,get,21
73,event,21
74,form,20
75,s,20
76,item,20
77,blazor,19
78,change,19
79,date,19
80,user,19
81,output,19
82,problem,18
83,input,18
84,control,18
85,post,18
86,path,18
87,format,18
88,work,18
89,key,18
90,window,17
91,order,17
92,script,17
93,process,17
94,interface,17
95,collection,17
96,document,16
97,response,16
98,ef,16
99,folder,16
100,browser,16
101,selenium,15
102,dotnet,15
103,identity,15
104,result,15
105,source,15
106,task,15
107,message,15
108,size,15
109,console,14
110,default,14
111,loop,14
112,datagridview,14
113,db,14
114,line,14
115,id,14
116,table,14
117,component,13
118,authentication,13
119,doesn,13
120,version,13
121,package,13
122,migration,13
123,google,13
124,javascript,13
125,memory,12
126,attribute,12
127,case,12
128,element,12
129,index,12
130,row,12
131,reference,12
132,color,12
133,check,12
134,statement,12
135,search,12
136,call,12
137,datetime,11
138,combobox,11
139,tag,11
140,difference,11
141,operator,11
142,unit,11
143,library,11
144,html,11
145,argument,11
146,click,11
147,context,11
148,pdf,11
149,directory,11
150,show,11
151,program,11
152,httpclient,10
153,command,10
154,dependency,10
155,download,10
156,docker,10
157,create,10
158,async,10
159,bot,10
160,return,10
161,box,10
162,textbox,10
163,certificate,9
164,vs,9
165,http,9
166,build,9
167,definition,9
168,character,9
169,excel,9
170,stream,9
171,validation,9
172,template,9
173,display,9
174,mysql,9
175,xaml,9
176,session,9
177,child,9
178,location,8
179,side,8
180,convert,8
181,environment,8
182,login,8
183,start,8
184,data,8
185,prevent,8
186,need,8
187,url,8
188,range,8
189,m,8
190,navigation,8
191,configuration,8
192,outlook,8
193,regex,8
194,level,8
195,variable,8
196,container,8
197,viewmodel,8
198,trouble,8
199,progress,8
200,listview,8
201,condition,8
202,soap,8
203,deserialization,7
204,pipeline,7
205,link,7
206,information,7
207,operation,7
208,sdk,7
209,config,7
210,handler,7
211,rest,7
212,connect,7
213,site,7
214,group,7
215,android,7
216,position,7
217,timeout,7
218,webapi,7
219,bar,7
