,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['c#', 'list', 'foreach', 'invalidoperationexception', 'argumentexception']","{'account_id': 406284, 'reputation': 2155, 'user_id': 775706, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/mFwj3.jpg?s=256&g=1', 'display_name': 'jkruer01', 'link': 'https://stackoverflow.com/users/775706/jkruer01'}",True,1776,3,2,1669286405,1339540837,11005900,CC BY-SA 3.0,https://stackoverflow.com/questions/11005900/errors-with-foreach-loop-through-a-list,Errors with Foreach Loop through a List,,,,,,
1,"['c#', 'mysql']","{'account_id': 1293628, 'reputation': 11275, 'user_id': 1245240, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/S2VAJ.png?s=256&g=1', 'display_name': 'Robert H', 'link': 'https://stackoverflow.com/users/1245240/robert-h'}",True,48372,4,16,1669029666,1340378204,11159118,CC BY-SA 3.0,https://stackoverflow.com/questions/11159118/incorrect-string-value-xef-xbf-xbd-for-column,Incorrect string value: &#39;\xEF\xBF\xBD&#39; for column,11162470.0,1340389552.0,,,,
2,"['c#', 'xml', 'json', 'serialization']","{'account_id': 247060, 'reputation': 4291, 'user_id': 521542, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/648063286738b79c5d0b3762f27179d2?s=256&d=identicon&r=PG', 'display_name': 'Yara', 'link': 'https://stackoverflow.com/users/521542/yara'}",True,31834,6,14,1668704762,1338993917,10916591,CC BY-SA 3.0,https://stackoverflow.com/questions/10916591/json-and-xml-serialization-what-is-better-performance,"Json and Xml serialization, what is better performance?",27258232.0,1512899861.0,,,,
3,"['c#', 'naudio']","{'account_id': 277036, 'reputation': 1671, 'user_id': 570769, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/pvwTZ.jpg?s=256&g=1', 'display_name': 'Steven Du', 'link': 'https://stackoverflow.com/users/570769/steven-du'}",True,8194,3,6,1668187436,1341046958,11272872,CC BY-SA 3.0,https://stackoverflow.com/questions/11272872/naudio-how-to-tell-playback-is-completed,"Naudio,how to tell playback is completed",11280383.0,1341129688.0,,,,
4,['c#'],"{'account_id': 1564039, 'reputation': 367, 'user_id': 1453226, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/23aaba664f8007eb3a699ad5b3914aa7?s=256&d=identicon&r=PG', 'display_name': 'hin leaksmei', 'link': 'https://stackoverflow.com/users/1453226/hin-leaksmei'}",True,100691,8,33,1668093998,1340351819,11152272,CC BY-SA 3.0,https://stackoverflow.com/questions/11152272/a-project-with-an-output-type-of-class-library-cannot-be-started-directly,A project with an Output type of Class Library cannot be started directly,,1340351985.0,,,,
5,"['c#', '.net', 'string']","{'account_id': 83617, 'reputation': 14586, 'user_id': 234288, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/59527fa76c2b1cd0fc3ac48ff2e781fb?s=256&d=identicon&r=PG', 'display_name': 'Tim Lovell-Smith', 'link': 'https://stackoverflow.com/users/234288/tim-lovell-smith'}",True,22303,4,32,1667408950,1339615915,11022049,CC BY-SA 4.0,https://stackoverflow.com/questions/11022049/can-string-split-ever-return-null-net,Can String.Split() ever return null? (.net),11022084.0,1554478717.0,,,,
6,"['c#', 'logging', 'log4net']","{'account_id': 66850, 'reputation': 4775, 'user_id': 195910, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/dbf248e0e660f2b98043b526931fbcc9?s=256&d=identicon&r=PG', 'display_name': 'Noel', 'link': 'https://stackoverflow.com/users/195910/noel'}",True,6226,4,10,1667379907,1340697967,11203136,CC BY-SA 3.0,https://stackoverflow.com/questions/11203136/include-header-only-once-at-the-top-of-a-rolling-file,Include header only once at the top of a rolling file,,,,,,
7,"['c#', '.net', 'string', 'floating-point', 'type-conversion']","{'account_id': 476852, 'reputation': 1734, 'user_id': 887978, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/PqvZl.png?s=256&g=1', 'display_name': 'Mehmet', 'link': 'https://stackoverflow.com/users/887978/mehmet'}",True,627575,9,127,1667209179,1340696101,11202673,CC BY-SA 3.0,https://stackoverflow.com/questions/11202673/converting-string-to-float-in-c,Converting String To Float in C#,11203062.0,1502320712.0,,,,
8,"['c#', 'generics', 'covariance']","{'account_id': 1426955, 'reputation': 8955, 'user_id': 1350209, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/bd2f0eb2365d2a1fcd6f4eb4d40366b1?s=256&d=identicon&r=PG', 'display_name': 'Cole Tobin', 'link': 'https://stackoverflow.com/users/1350209/cole-tobin'}",True,77935,6,252,1666987050,1339196742,10956993,CC BY-SA 3.0,https://stackoverflow.com/questions/10956993/out-t-vs-t-in-generics,&lt;out T&gt; vs &lt;T&gt; in Generics,10957035.0,1524094986.0,,,,
9,"['c#', 'class', 'user-interface', 'nullreferenceexception']","{'account_id': 1592780, 'reputation': 5, 'user_id': 1475739, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b71c80da7d5b60c18689e62b9a2bb42e?s=256&d=identicon&r=PG', 'display_name': 'doktorjake', 'link': 'https://stackoverflow.com/users/1475739/doktorjake'}",True,2630,3,0,1666728750,1340393438,11162896,CC BY-SA 3.0,https://stackoverflow.com/questions/11162896/transferring-data-between-classes-and-forms,Transferring data between classes and forms,11164288.0,1340403851.0,,,,
