,word,count
0,core,1440
1,quot,874
2,unity,644
3,system,619
4,json,600
5,api,574
6,application,560
7,net,522
8,azure,465
9,studio,437
10,entity,435
11,web,420
12,mvc,397
13,service,391
14,framework,389
15,server,387
16,app,375
17,gt,374
18,database,348
19,blazor,341
20,access,335
21,cannot,334
22,name,330
23,time,297
24,lt,291
25,wpf,290
26,image,286
27,request,277
28,parameter,276
29,query,271
30,xamarin,260
31,custom,255
32,view,246
33,event,245
34,client,243
35,connection,242
36,user,236
37,text,234
38,ef,223
39,reference,220
40,response,217
41,test,205
42,use,199
43,problem,196
44,controller,193
45,sql,192
46,task,191
47,message,188
48,change,185
49,script,184
50,item,181
51,control,180
52,version,179
53,issue,178
54,linq,173
55,field,172
56,work,171
57,authentication,167
58,maui,164
59,program,163
60,instance,159
61,xml,156
62,return,155
63,key,153
64,interface,145
65,razor,145
66,game,144
67,window,140
68,expression,140
69,path,139
70,process,139
71,call,138
72,line,137
73,get,133
74,collection,130
75,dll,126
76,identity,126
77,selenium,125
78,player,125
79,default,122
80,post,122
81,dotnet,121
82,dependency,119
83,unit,119
84,package,118
85,datagridview,117
86,size,116
87,content,115
88,position,111
89,namespace,109
90,textbox,108
91,convert,108
92,command,107
93,vs,107
94,memory,107
95,action,106
96,source,106
97,doesn,106
98,validation,105
99,statement,104
100,result,104
101,folder,103
102,parent,102
103,stream,102
104,id,101
105,http,101
106,constructor,100
107,format,99
108,order,98
109,directory,97
110,index,96
111,injection,96
112,create,95
113,configuration,93
114,pdf,92
115,data,91
116,word,90
117,int,89
118,storage,88
119,document,88
120,async,87
121,header,87
122,camera,86
123,html,86
124,side,85
125,child,85
126,character,85
127,extension,84
128,cs,84
129,graph,83
130,attribute,83
131,search,82
132,google,82
133,operation,81
134,runtime,80
135,check,79
136,filter,79
137,docker,79
138,condition,78
139,base,78
140,email,78
141,thread,77
142,box,77
143,pass,76
144,combobox,76
145,excel,75
146,record,75
147,login,75
148,db,73
149,relationship,73
150,console,73
151,build,73
152,click,73
153,report,73
154,load,72
155,cell,72
156,xaml,71
157,context,71
158,solution,71
159,variable,70
160,performance,70
161,display,70
162,certificate,70
163,httpclient,70
164,add,70
165,rest,70
166,javascript,69
167,start,67
168,library,67
169,token,67
170,difference,67
171,browser,67
172,sdk,66
173,assembly,66
174,datetime,65
175,case,65
176,information,65
177,range,64
178,session,64
179,body,64
180,point,64
181,outlook,63
182,definition,63
183,background,63
184,container,63
185,listview,61
186,state,61
187,authorization,61
188,show,61
189,status,60
190,auto,60
191,pattern,59
192,enum,59
193,implementation,59
194,environment,59
195,invalidoperationexception,59
196,template,58
197,mode,58
198,location,58
199,foreach,58
200,csv,57
201,argument,57
202,level,57
203,url,57
204,serilog,57
205,migration,56
206,part,56
207,reflection,56
208,log,56
209,exe,55
210,password,55
211,mvvm,55
212,swagger,55
213,viewmodel,54
214,mongodb,54
215,end,54
216,tag,54
217,video,53
218,update,53
219,device,53
220,count,53
221,winform,52
222,animation,52
223,amp,52
224,nuget,52
225,resource,52
226,jwt,52
227,sort,52
228,jquery,52
229,style,51
230,option,51
231,design,51
232,endpoint,51
233,network,50
234,account,50
235,store,50
236,integration,49
237,trigger,49
238,member,48
239,security,48
240,menu,48
241,firebase,48
242,mouse,47
243,ad,47
244,label,47
245,ajax,46
246,byte,46
247,navigation,46
248,android,46
249,powershell,46
250,signature,46
251,config,46
252,copy,45
253,length,45
254,regex,44
255,delegate,44
256,mysql,44
257,link,43
258,policy,43
259,execution,43
260,editor,43
261,driver,43
262,python,43
263,binding,43
264,columns,43
265,interop,43
266,screen,43
267,operator,43
268,gameobject,43
269,machine,43
270,something,43
271,equivalent,42
272,scope,42
273,nullreferenceexception,42
274,grpc,42
275,desktop,42
276,debug,41
277,startup,41
278,com,41
279,conversion,41
280,panel,40
281,scene,40
282,dbcontext,40
283,grid,40
284,language,40
285,bot,40
286,entry,39
287,duplicate,39
288,host,39
289,gridview,39
290,space,39
291,provider,39
292,wait,39
293,run,39
294,structure,39
295,address,38
296,iis,38
297,integer,38
298,target,38
299,rotation,38
300,bool,38
301,map,37
302,selection,37
303,set,37
304,port,37
305,checkbox,37
306,wasm,37
307,blob,37
