,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date
0,"['c#', 'nunit', 'nunit-3.0']","{'account_id': 1119564, 'reputation': 1251, 'user_id': 1108200, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/27fe1ff35e1c1fdf93d659d5cf2b4214?s=256&d=identicon&r=PG', 'display_name': 'Artholl', 'link': 'https://stackoverflow.com/users/1108200/artholl'}",True,324,59723925.0,2,0,1669536006,1578919372,1578922180.0,59716895,CC BY-SA 4.0,https://stackoverflow.com/questions/59716895/nunit-3-dynamic-valuesourceattribute,NUnit 3 dynamic ValueSourceAttribute,,,
1,"['c#', '.net', 'web-services', 'asp.net-core', 'asp.net-core-mvc']","{'user_type': 'does_not_exist', 'display_name': 'user11680003'}",False,920,,2,0,1669408507,1578560997,,59660508,CC BY-SA 4.0,https://stackoverflow.com/questions/59660508/how-do-i-cache-an-output-in-asp-net-core,how do I cache an output in ASP.NET Core,,,
2,"['c#', 'asp.net-core', 'blazor']","{'account_id': 2918801, 'reputation': 3797, 'user_id': 2501497, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/f17a8edc1b8795ed8b2bdc45735e792a?s=256&d=identicon&r=PG', 'display_name': 'americanslon', 'link': 'https://stackoverflow.com/users/2501497/americanslon'}",True,4475,59849687.0,2,4,1669391668,1579639465,,59848957,CC BY-SA 4.0,https://stackoverflow.com/questions/59848957/pass-function-as-parameter-to-dynamically-created-component-blazor,pass function as parameter to dynamically created component blazor,,,
3,"['c#', 'async-await', 'dapper', 'iasyncenumerable']","{'account_id': 558688, 'reputation': 3584, 'user_id': 921127, 'user_type': 'registered', 'accept_rate': 31, 'profile_image': 'https://www.gravatar.com/avatar/e1c24b92c9b66bd981f63d9461f34a75?s=256&d=identicon&r=PG', 'display_name': 'Ankit Vijay', 'link': 'https://stackoverflow.com/users/921127/ankit-vijay'}",True,6212,,2,18,1669224727,1580243706,1616351615.0,59956623,CC BY-SA 4.0,https://stackoverflow.com/questions/59956623/using-iasyncenumerable-with-dapper,Using IAsyncEnumerable with Dapper,,,
4,"['c#', 'filenotfoundexception']","{'account_id': 14251078, 'reputation': 2338, 'user_id': 10294689, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c2ace5f1e6d8a8387d0290f1eeffef00?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alex_P', 'link': 'https://stackoverflow.com/users/10294689/alex-p'}",True,28486,,5,13,1669215209,1578179992,,59595684,CC BY-SA 4.0,https://stackoverflow.com/questions/59595684/how-do-i-fix-the-error-could-not-load-file-or-assembly-system-text-json,"How do I fix the error &quot;Could not load file or assembly &#39;System.Text.Json, ...&quot;?",,,
5,"['c#', 'authentication', 'office365', 'exchange-server']","{'account_id': 1408737, 'reputation': 147, 'user_id': 1335784, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/25d092eb0b731518e35e97ee42479211?s=256&d=identicon&r=PG', 'display_name': 'MusicDemon', 'link': 'https://stackoverflow.com/users/1335784/musicdemon'}",True,723,74460740.0,1,3,1668603037,1579187457,,59772565,CC BY-SA 4.0,https://stackoverflow.com/questions/59772565/modern-authentication-exchange-online-with-c,Modern Authentication Exchange Online with C#,,,
6,"['c#', 'winforms', 'textbox', 'controls']","{'account_id': 14023090, 'reputation': 300, 'user_id': 10177351, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-fZ_mseJrXi4/AAAAAAAAAAI/AAAAAAAAAAk/FHOWFU0iQNQ/photo.jpg?sz=256', 'display_name': 'Commonaught', 'link': 'https://stackoverflow.com/users/10177351/commonaught'}",True,3124,59560352.0,2,9,1668350096,1577940279,1668350091.0,59558368,CC BY-SA 4.0,https://stackoverflow.com/questions/59558368/how-to-select-all-text-of-a-textbox-on-mouse-click-textbox-selectall-not-wor,How to select all text of a TextBox on mouse click? (TextBox.SelectAll() not working on TextBox.Enter),,,
7,"['c#', '.net', 'asp.net-core', '.net-core', 'blazor']","{'account_id': 1925123, 'reputation': 1233, 'user_id': 1735774, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/7a8728db5177c7031e09301442144753?s=256&d=identicon&r=PG', 'display_name': 'Anonymous', 'link': 'https://stackoverflow.com/users/1735774/anonymous'}",True,3740,,3,3,1668296099,1580379117,,59983578,CC BY-SA 4.0,https://stackoverflow.com/questions/59983578/useexceptionhandler-blazor-server-side,UseExceptionHandler Blazor server-side,,,
8,"['c#', 'asp.net-mvc', 'visual-studio', 'asp.net-web-api']","{'account_id': 2912954, 'reputation': 1, 'user_id': 2496793, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4247b983270894231691fc656a60b6bc?s=256&d=identicon&r=PG', 'display_name': 'random', 'link': 'https://stackoverflow.com/users/2496793/random'}",False,767,,2,0,1668101346,1577900318,1668101346.0,59554675,CC BY-SA 4.0,https://stackoverflow.com/questions/59554675/deploy-asp-net-mvc-and-web-api-in-the-same-solution-to-iis,"Deploy ASP.NET MVC and Web API in the same solution, to IIS",,,
9,"['c#', 'asp.net-core']","{'account_id': 10881736, 'reputation': 3361, 'user_id': 8000382, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/QUMud.png?s=256&g=1', 'display_name': 'Walter Verhoeven', 'link': 'https://stackoverflow.com/users/8000382/walter-verhoeven'}",True,4883,59554771.0,3,7,1668101275,1577900816,1668101275.0,59554746,CC BY-SA 4.0,https://stackoverflow.com/questions/59554746/change-default-cookie-names-in-asp-net-core-mvc,Change default cookie names in ASP.NET Core MVC,,,
10,"['c#', 'asp.net-mvc', 'video-streaming', 'html5-video', 'video-processing']","{'account_id': 4285760, 'reputation': 1, 'user_id': 3503625, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'eslamirad', 'link': 'https://stackoverflow.com/users/3503625/eslamirad'}",False,83,,1,-1,1668101252,1579390377,1668101252.0,59805820,CC BY-SA 4.0,https://stackoverflow.com/questions/59805820/download-video-partial-http-and-response-client-browser,Download video partial http and response client browser,,,
11,"['c#', 'css', 'icons', 'blazor']","{'account_id': 16681477, 'reputation': 149, 'user_id': 12056429, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/613340dc1abca36cee7a78cc7c50c06b?s=256&d=identicon&r=PG&f=1', 'display_name': 'BlazinBlazor', 'link': 'https://stackoverflow.com/users/12056429/blazinblazor'}",True,10776,59659938.0,3,6,1667575245,1578554443,1578558100.0,59658994,CC BY-SA 4.0,https://stackoverflow.com/questions/59658994/how-to-change-the-default-icon-provider-in-blazor-app,How to change the default icon provider in Blazor app?,,,
12,"['c#', 'redis']","{'account_id': 539214, 'reputation': 55, 'user_id': 2936218, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://i.stack.imgur.com/oljKn.jpg?s=256&g=1', 'display_name': 'Vivek Chandran', 'link': 'https://stackoverflow.com/users/2936218/vivek-chandran'}",False,1919,,1,1,1667411082,1578667941,1578673822.0,59684033,CC BY-SA 4.0,https://stackoverflow.com/questions/59684033/redis-timeout-performing-setex,Redis Timeout performing SETEX,,,
13,"['c#', '.net-core']","{'account_id': 8016252, 'reputation': 117, 'user_id': 6046445, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b3bdffd39854d273c2c7dca121721703?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vipin Jha', 'link': 'https://stackoverflow.com/users/6046445/vipin-jha'}",True,2029,59610469.0,2,2,1667325140,1578301567,1578548974.0,59609269,CC BY-SA 4.0,https://stackoverflow.com/questions/59609269/failed-executing-dbcommand-introducing-foreign-key-constraint,Failed executing DbCommand-Introducing FOREIGN KEY constraint,,,
14,"['c#', 'unity3d']","{'account_id': 14072182, 'reputation': 17, 'user_id': 10165440, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6ad657f65a2be39adbb3e213f0448457?s=256&d=identicon&r=PG&f=1', 'display_name': 'cloudfire', 'link': 'https://stackoverflow.com/users/10165440/cloudfire'}",False,354,,2,1,1666954692,1578729599,1641406801.0,59692667,CC BY-SA 4.0,https://stackoverflow.com/questions/59692667/how-to-take-screen-shot-in-particular-area-in-unity,How to take Screen Shot in Particular Area in unity,,,
15,"['c#', 'async-await', 'entity-framework-core', 'entity-component-system']","{'account_id': 16583525, 'reputation': 11, 'user_id': 11983570, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-FlH7NQma1ks/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdI7zb-qe3_vamQQa6gOHABRnuNiw/photo.jpg?sz=256', 'display_name': 'Nunu', 'link': 'https://stackoverflow.com/users/11983570/nunu'}",False,1472,,3,0,1666928316,1580396751,1580399647.0,59988914,CC BY-SA 4.0,https://stackoverflow.com/questions/59988914/entity-framework-core-async-sync-dbcontext,Entity Framework Core - Async / Sync - DbContext,,,
16,"['c#', 'ssl', 'asp.net-core', 'client-certificates']","{'account_id': 12662465, 'reputation': 105, 'user_id': 9202875, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/342f879b5ba64c7b44b02357340f8a74?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sergey Salin', 'link': 'https://stackoverflow.com/users/9202875/sergey-salin'}",True,1981,60097233.0,1,2,1666899548,1579859763,,59894052,CC BY-SA 4.0,https://stackoverflow.com/questions/59894052/how-to-fix-revocationstatusunknown-in-asp-net-core-3-1-with-self-signed-client-c,How to fix RevocationStatusUnknown in asp.net core 3.1 with self-signed client certificate,,,
17,"['c#', '.net', 'asp.net-core', 'asp.net-web-api', 'json.net']","{'user_type': 'does_not_exist', 'display_name': 'user8321027'}",True,816,,2,3,1666893457,1580161759,,59939405,CC BY-SA 4.0,https://stackoverflow.com/questions/59939405/is-there-any-way-to-have-an-endpoint-using-generics-in-a-webapi-with-c,Is there any way to have an endpoint using generics in a WebAPI with C#?,,,
18,"['c#', '.net-core', 'entity-framework-core']","{'account_id': 209920, 'reputation': 561, 'user_id': 461249, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/e758bd9a3e135d71b03ac8e3d10e943b?s=256&d=identicon&r=PG', 'display_name': 'Neophyte.net', 'link': 'https://stackoverflow.com/users/461249/neophyte-net'}",True,4559,59760995.0,1,6,1666727012,1579126693,1666727012.0,59760362,CC BY-SA 4.0,https://stackoverflow.com/questions/59760362/is-it-possible-to-add-in-dbcontext-without-tracking-in-net-core,Is it possible to Add in DbContext without tracking in .NET Core,,,
