,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from
0,"['c#', 'asp.net-core', '.net-core', 'swagger', 'asp.net-core-webapi']","{'account_id': 13982567, 'reputation': 29, 'user_id': 10385350, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-B-n6D_zwjUk/AAAAAAAAAAI/AAAAAAAAD0I/BffHjOJuoAI/photo.jpg?sz=256', 'display_name': 'Sergio Teijido', 'link': 'https://stackoverflow.com/users/10385350/sergio-teijido'}",False,2148,4,1,1669133492,1626632985,1626654307.0,68432004,CC BY-SA 4.0,https://stackoverflow.com/questions/68432004/set-launchurl-for-production-environment-in-asp-net-core-web-api,Set launchurl for production environment in ASP.NET Core Web API,,,,,
1,"['c#', 'visual-studio', 'unity3d', 'visual-studio-code']","{'account_id': 13955210, 'reputation': 21, 'user_id': 10077803, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-YklGagknymU/AAAAAAAAAAI/AAAAAAAAAGs/4Q-wOSxc0rc/photo.jpg?sz=256', 'display_name': 'Ma.G', 'link': 'https://stackoverflow.com/users/10077803/ma-g'}",False,866,3,2,1669126152,1627718916,1627719189.0,68600309,CC BY-SA 4.0,https://stackoverflow.com/questions/68600309/visualstudio-highlights-all-my-code-green-i-dont-know-how-to-disable-this-effe,"VisualStudio highlights all my code green, I don&#39;t know how to disable this effect/feature",,,,,
2,"['c#', '.net', 'maui', '.net-6.0']","{'account_id': 10096950, 'reputation': 12151, 'user_id': 7462031, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/HOUoK.jpg?s=256&g=1', 'display_name': 'FreakyAli', 'link': 'https://stackoverflow.com/users/7462031/freakyali'}",True,1893,1,2,1668861620,1627505611,1627510790.0,68567224,CC BY-SA 4.0,https://stackoverflow.com/questions/68567224/net-maui-the-run-as-command-failed-with-run-as-could-not-set-capabilities,.Net MAUI The &#39;run-as&#39; command failed with &#39;run-as: Could not set capabilities: Operation not permitted,68571763.0,,,,
3,"['c#', 'asp.net', '.net', '.net-core']","{'account_id': 18567288, 'reputation': 334, 'user_id': 13529905, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/OC6GL.jpg?s=256&g=1', 'display_name': 'arief21', 'link': 'https://stackoverflow.com/users/13529905/arief21'}",True,8350,3,14,1668805038,1627510011,1636692085.0,68567867,CC BY-SA 4.0,https://stackoverflow.com/questions/68567867/the-referenced-project-is-a-non-self-contained-executable-a-non-self-contained,The referenced project is a non self-contained executable. A non self-contained executable cannot be referenced by a self-contained executable,68567984.0,,,,
4,"['c#', 'xamarin', 'xamarin.forms', 'mvvm', 'bindableproperty']","{'account_id': 17066849, 'reputation': 13, 'user_id': 12348764, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1915117735301369/picture?type=large', 'display_name': 'Đức T&#250;', 'link': 'https://stackoverflow.com/users/12348764/%c4%90%e1%bb%a9c-t%c3%ba'}",True,1561,2,0,1668746371,1627319915,,68534028,CC BY-SA 4.0,https://stackoverflow.com/questions/68534028/how-to-bind-data-to-the-bindableproperty-in-xamarin-forms,How to bind data to the bindableproperty in xamarin forms,68538366.0,,,,
5,"['c#', 'xamarin', 'xamarin.forms', 'video-processing']","{'account_id': 21254868, 'reputation': 33, 'user_id': 15636547, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8840d940acf945fd60e4468222db8659?s=256&d=identicon&r=PG&f=1', 'display_name': 'janniscodesnow', 'link': 'https://stackoverflow.com/users/15636547/janniscodesnow'}",False,586,1,1,1668679467,1626787286,,68455648,CC BY-SA 4.0,https://stackoverflow.com/questions/68455648/how-to-acquire-frames-for-live-video-processing-in-xamarin-forms,How to acquire frames for live video processing in Xamarin forms?,,,,,
6,"['c#', 'azure-active-directory', 'blazor', 'blazor-server-side']","{'account_id': 4824751, 'reputation': 733, 'user_id': 3894462, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nimesh khatri', 'link': 'https://stackoverflow.com/users/3894462/nimesh-khatri'}",True,546,1,1,1668660386,1625553369,,68265655,CC BY-SA 4.0,https://stackoverflow.com/questions/68265655/azuread-using-custom-button-click,AzureAD using custom button click,68289921.0,,,,
7,"['c#', 'unity3d', 'package', 'dotween']","{'account_id': 20566374, 'reputation': 622, 'user_id': 15095637, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/48dbc67c638d6def5d251f508c9c8383?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yuuu', 'link': 'https://stackoverflow.com/users/15095637/yuuu'}",True,3638,2,0,1668578117,1627346062,,68537671,CC BY-SA 4.0,https://stackoverflow.com/questions/68537671/dotween-is-not-available-in-unity-c,DOTween is not available in Unity C#,,,,,
8,"['c#', 'svg', '.net-5', 'winui']","{'account_id': 16282360, 'reputation': 149, 'user_id': 11757910, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b275c204e579f5614a09dfb9b02201ba?s=256&d=identicon&r=PG&f=1', 'display_name': 'DTynewydd', 'link': 'https://stackoverflow.com/users/11757910/dtynewydd'}",False,173,1,2,1668518574,1626334831,,68389762,CC BY-SA 4.0,https://stackoverflow.com/questions/68389762/changing-the-stroke-color-of-a-rendered-svg-file-at-runtime,Changing the stroke color of a rendered svg file at runtime?,,,,,
9,"['c#', 'serilog']","{'account_id': 1880842, 'reputation': 6283, 'user_id': 1701087, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/YfF11.jpg?s=256&g=1', 'display_name': 'Prasad Kanaparthi', 'link': 'https://stackoverflow.com/users/1701087/prasad-kanaparthi'}",True,828,2,1,1668298471,1627026122,1627026898.0,68495691,CC BY-SA 4.0,https://stackoverflow.com/questions/68495691/how-to-configure-serilog-expressiontemplate-in-appsettings-json,How to configure SeriLog ExpressionTemplate in AppSettings.Json,,,,,
10,"['c#', 'windows', 'toast']","{'account_id': 17929909, 'reputation': 121, 'user_id': 13027590, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjpG4Bn2FqIAl2qwkB5hlzwqsGprYgNBzW3JwHc4A=k-s256', 'display_name': 'metalex', 'link': 'https://stackoverflow.com/users/13027590/metalex'}",False,409,1,1,1668092489,1626124087,,68353887,CC BY-SA 4.0,https://stackoverflow.com/questions/68353887/how-do-i-check-if-a-win10-toast-notification-button-was-pressed,how do i check if a win10 toast notification button was pressed?,,,,,
11,"['c#', 'ebay-api', 'ecdsa']","{'account_id': 4876106, 'reputation': 1514, 'user_id': 3931173, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b3ce6627f8812320c887276a56970c69?s=256&d=identicon&r=PG&f=1', 'display_name': 'speciesUnknown', 'link': 'https://stackoverflow.com/users/3931173/speciesunknown'}",True,411,1,0,1667944774,1626193338,1626281674.0,68366113,CC BY-SA 4.0,https://stackoverflow.com/questions/68366113/ebay-public-key-verification-in-fails-in-c-but-works-in-node,Ebay public key verification in fails in C# but works in node,,,,,
12,"['c#', 'selenium']","{'account_id': 22336569, 'reputation': 13, 'user_id': 16557044, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fee1f064ec75cfb289bb4c8232d5b045?s=256&d=identicon&r=PG&f=1', 'display_name': 'dansi21', 'link': 'https://stackoverflow.com/users/16557044/dansi21'}",True,1396,2,1,1667904605,1627591269,,68582545,CC BY-SA 4.0,https://stackoverflow.com/questions/68582545/catching-network-traffic-with-selenium-c,Catching Network Traffic With Selenium C#,68582740.0,,,,
13,"['c#', 'entity-framework-core', '.net-5']","{'account_id': 5940223, 'reputation': 8890, 'user_id': 4671754, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/OeNSv.jpg?s=256&g=1', 'display_name': 'Bassie', 'link': 'https://stackoverflow.com/users/4671754/bassie'}",False,399,2,4,1667835686,1627485226,1627485765.0,68563005,CC BY-SA 4.0,https://stackoverflow.com/questions/68563005/how-to-remove-prefix-from-ef-core-owned-type-column-names,How to remove prefix from EF Core owned type column names,,,,,
14,"['c#', 'observablecollection', 'maui']","{'account_id': 16750514, 'reputation': 769, 'user_id': 12107765, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6dd4d1f63f1845902b761281f462226e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Klamsi', 'link': 'https://stackoverflow.com/users/12107765/klamsi'}",True,2194,2,2,1667470874,1626678589,,68436429,CC BY-SA 4.0,https://stackoverflow.com/questions/68436429/observablecollections-not-working-yet-in-maui,ObservableCollections not working yet in MAUI?,68496282.0,,,,
