,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason
0,"['c#', 'public-key-encryption', 'ecdsa']","{'account_id': 1023984, 'reputation': 37460, 'user_id': 1033686, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/CUp4B.jpg?s=256&g=1', 'display_name': 'Matthew Layton', 'link': 'https://stackoverflow.com/users/1033686/matthew-layton'}",True,719,68956480.0,1,2,1668932927,1630080242,1630081048.0,68956414,CC BY-SA 4.0,https://stackoverflow.com/questions/68956414/how-to-get-a-public-key-from-ecdsa-in-c,How to get a public key from ECDsa in C#,,
1,['c#'],"{'account_id': 22057711, 'reputation': 1, 'user_id': 16320904, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1953100844981814/picture?type=large', 'display_name': 'Tran Huu Toan', 'link': 'https://stackoverflow.com/users/16320904/tran-huu-toan'}",True,396,68767085.0,2,-2,1668865847,1628831338,,68767071,CC BY-SA 4.0,https://stackoverflow.com/questions/68767071/unable-to-resolve-swashbuckle-aspnetcore-5-6-3-for-net5-0,Unable to resolve &#39;Swashbuckle.AspNetCore (&gt;= 5.6.3)&#39; for &#39;net5.0&#39;,,
2,"['c#', 'asp.net', 'csv']","{'account_id': 15187345, 'reputation': 410, 'user_id': 10958914, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/264e6dd79c54833f9163fdefa4c692d4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Captain', 'link': 'https://stackoverflow.com/users/10958914/captain'}",True,188,68868661.0,3,0,1668857608,1629476930,1629725742.0,68865353,CC BY-SA 4.0,https://stackoverflow.com/questions/68865353/stringreader-readline-cutting-off-end-of-file,stringReader.ReadLine() cutting off end of file,,
3,"['c#', '.net', 'mtls', 'schannel']","{'account_id': 4496000, 'reputation': 10979, 'user_id': 3655779, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/KIFf9.png?s=256&g=1', 'display_name': 'Perfect28', 'link': 'https://stackoverflow.com/users/3655779/perfect28'}",True,455,69105653.0,1,6,1668685014,1630338571,1668685014.0,68986895,CC BY-SA 4.0,https://stackoverflow.com/questions/68986895/how-to-increase-the-tls-handshake-size-in-net,How to increase the TLS handshake size in .NET?,,
4,"['c#', 'wpf', 'winforms', 'vsto', 'addin-express']","{'account_id': 22559362, 'reputation': 29, 'user_id': 16747205, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f1b978465b88564b77a23813089ad052?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lann', 'link': 'https://stackoverflow.com/users/16747205/lann'}",False,115,,1,2,1668684364,1629961014,1668160445.0,68933864,CC BY-SA 4.0,https://stackoverflow.com/questions/68933864/cant-interact-with-elements-at-right-and-bottom-edges-of-dpi-scaled-wpf-window,Can&#39;t Interact with Elements at Right and Bottom Edges of DPI-Scaled WPF Window,,
5,"['c#', 'wpf', 'visual-studio-2019']","{'account_id': 9717272, 'reputation': 629, 'user_id': 9961461, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/41c1ed86716d268339215cf2aa2d36b4?s=256&d=identicon&r=PG&f=1', 'display_name': 'MVC', 'link': 'https://stackoverflow.com/users/9961461/mvc'}",True,233,68940127.0,2,2,1668626933,1629623201,1629975939.0,68879882,CC BY-SA 4.0,https://stackoverflow.com/questions/68879882/the-name-initializecomponent-does-not-exist-in-the-current-context-in-my-wpf-a,The name &#39;InitializeComponent&#39; does not exist in the current context in my WPF application,,
6,"['c#', 'android', '.net', 'visual-studio', 'xamarin.forms']","{'account_id': 21506460, 'reputation': 49, 'user_id': 15849766, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gjg1RpMn0q9FNa5UwdNQ4bsWP6gVqQ3lqdMxLqJ3Q=k-s256', 'display_name': 'gadda raju', 'link': 'https://stackoverflow.com/users/15849766/gadda-raju'}",False,238,,2,0,1668316426,1628249456,1628263770.0,68680872,CC BY-SA 4.0,https://stackoverflow.com/questions/68680872/when-i-update-an-new-version-google-play-store-showing-open-button-instead-of-up,when i update an new version Google Play Store showing Open button instead of Update button,,
7,"['c#', 'azure', '.net-core', 'azure-active-directory']","{'account_id': 2260742, 'reputation': 2596, 'user_id': 2055298, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/Qpfv9.jpg?s=256&g=1', 'display_name': 'MikePR', 'link': 'https://stackoverflow.com/users/2055298/mikepr'}",True,1415,,1,2,1668096712,1629328023,1668096712.0,68840255,CC BY-SA 4.0,https://stackoverflow.com/questions/68840255/how-to-get-a-token-for-a-secure-web-api-using-iconfidentialclientapplication,How to get a token for a secure web API using IConfidentialClientApplication,,
8,"['c#', 'asp.net-core', '.net-5', 'grpc-c#']","{'account_id': 5815739, 'reputation': 1730, 'user_id': 4585429, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/7fefb63d8a0f7becaf81b54b2925cd15?s=256&d=identicon&r=PG&f=1', 'display_name': 'rtf_leg', 'link': 'https://stackoverflow.com/users/4585429/rtf-leg'}",True,727,,2,1,1667839975,1629257364,,68826213,CC BY-SA 4.0,https://stackoverflow.com/questions/68826213/how-to-inject-grpc-client-to-the-singleton-service,How to inject gRPC client to the singleton service?,,
9,"['c#', 'visual-studio', 'cmake', 'csc']","{'account_id': 4355677, 'reputation': 1275, 'user_id': 3554391, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'MHebes', 'link': 'https://stackoverflow.com/users/3554391/mhebes'}",False,245,,1,1,1667439786,1630018694,1630075279.0,68946203,CC BY-SA 4.0,https://stackoverflow.com/questions/68946203/csc-warning-cs1668-with-visual-studio-2019,CSC warning CS1668 with Visual Studio 2019,,
10,"['c#', '.net', 'development-environment']","{'account_id': 5487696, 'reputation': 109, 'user_id': 4361982, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7270be8ae2e29f75000571d4700a8cb6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piotr Śr&#243;dka', 'link': 'https://stackoverflow.com/users/4361982/piotr-%c5%9ar%c3%b3dka'}",True,1871,,3,0,1667398709,1629709472,1629718714.0,68889962,CC BY-SA 4.0,https://stackoverflow.com/questions/68889962/what-is-dotnet-run-default-profile-setting-from-launchprofile-json,What is &quot;dotnet run&quot; default profile setting from launchProfile.json?,,
11,"['c#', 'linux', 'arm64']","{'account_id': 10207865, 'reputation': 41, 'user_id': 7536015, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1075840939211737/picture?type=large', 'display_name': 'David Mikula', 'link': 'https://stackoverflow.com/users/7536015/david-mikula'}",True,465,71704096.0,2,0,1667333323,1627807644,,68608816,CC BY-SA 4.0,https://stackoverflow.com/questions/68608816/run-net-5-0-application-on-arm64-cpu,Run .NET 5.0 application on ARM64 CPU,,
12,"['c#', '.net', 'winforms']","{'account_id': 21775826, 'reputation': 23, 'user_id': 16078268, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/80cec97cdca3ae50b6b1ae7db054d45c?s=256&d=identicon&r=PG&f=1', 'display_name': 'MarkThomas15', 'link': 'https://stackoverflow.com/users/16078268/markthomas15'}",True,3017,70615699.0,5,0,1667319887,1628333858,,68691756,CC BY-SA 4.0,https://stackoverflow.com/questions/68691756/timed-out-while-connecting-to-named-pipe-when-opening-windows-form-in-net-5-0,Timed out while connecting to named pipe when opening windows form in .NET 5.0,,
13,"['c#', '.net', 'xaml', 'xamarin', 'maui']","{'account_id': 18285534, 'reputation': 63, 'user_id': 13313526, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GizbKmDO8GfaOzmHts0eZkdEkD3XCZADizzoliI=k-s256', 'display_name': 'youssef el basraoui', 'link': 'https://stackoverflow.com/users/13313526/youssef-el-basraoui'}",True,3430,,3,6,1667210111,1629448832,1629539537.0,68859323,CC BY-SA 4.0,https://stackoverflow.com/questions/68859323/how-to-create-datagrid-with-net-maui-preview-7,How to Create DataGrid with .NET MAUI Preview 7?,,
14,"['c#', 'unity3d', 'game-physics']","{'account_id': 2980732, 'reputation': 117, 'user_id': 2530737, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/PXGMT.jpg?s=256&g=1', 'display_name': 'AdmiralOrange', 'link': 'https://stackoverflow.com/users/2530737/admiralorange'}",True,3914,,2,0,1667066389,1629108970,1631039558.0,68801079,CC BY-SA 4.0,https://stackoverflow.com/questions/68801079/unity-rigidbody-moveposition-is-not-working-if-transform-position-is-just-cha,"Unity, Rigidbody.MovePosition() is not working if transform.position is just changed",,
15,"['c#', 'razor', 'asp.net-core-mvc', 'razor-pages']","{'account_id': 262694, 'reputation': 3500, 'user_id': 547733, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/e7b5da4607ca71450246aeae5f69ab1a?s=256&d=identicon&r=PG', 'display_name': 'Maxime Rossini', 'link': 'https://stackoverflow.com/users/547733/maxime-rossini'}",False,264,,1,0,1666792082,1628156893,1666792082.0,68664301,CC BY-SA 4.0,https://stackoverflow.com/questions/68664301/variables-scope-in-asp-net-core-razor-pages,Variables scope in ASP.NET Core Razor Pages,,
16,"['c#', 'asp.net', '.net', 'azure', 'sharepoint']","{'account_id': 22361152, 'reputation': 828, 'user_id': 16577671, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2b4ef7a3ac2015669dabcee832636845?s=256&d=identicon&r=PG&f=1', 'display_name': 'ChsharpNewbie', 'link': 'https://stackoverflow.com/users/16577671/chsharpnewbie'}",True,1669,68934794.0,2,1,1666635420,1627906977,1627908083.0,68621545,CC BY-SA 4.0,https://stackoverflow.com/questions/68621545/system-identitymodel-tokens-jwt-not-found,System.IdentityModel.Tokens.Jwt not found,,
17,"['c#', 'asp.net', 'sharepoint', 'microsoft-graph-api', 'dotnet-httpclient']","{'account_id': 1643456, 'reputation': 1916, 'user_id': 1515476, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/b577182280c867fe4e1b96bbb66cb262?s=256&d=identicon&r=PG', 'display_name': 'Jseb', 'link': 'https://stackoverflow.com/users/1515476/jseb'}",False,684,,0,1,1666341819,1628021381,1628022117.0,68642248,CC BY-SA 4.0,https://stackoverflow.com/questions/68642248/connecting-to-ms-graph-using-http-client-trying-to-authenticate,Connecting to MS graph using http client trying to authenticate,,
18,"['c#', '.net', 'vs-unit-testing-framework', 'ssh.net']","{'account_id': 2749114, 'reputation': 1503, 'user_id': 2368862, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/iT5du.jpg?s=256&g=1', 'display_name': 'Shekar.gvr', 'link': 'https://stackoverflow.com/users/2368862/shekar-gvr'}",True,1713,68739276.0,1,4,1666317784,1628671289,1666317784.0,68738705,CC BY-SA 4.0,https://stackoverflow.com/questions/68738705/unable-to-mock-ssh-nets-sftpclient-object-for-microsofts-unit-test-case-framewo,Unable to mock SSH.Net&#39;s SFTPClient object for Microsofts Unit test case framework,,
