,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from
0,"['c++', 'gcc', 'stl', 'c++20']","{'account_id': 14870517, 'reputation': 581, 'user_id': 12149068, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/--urGePmvyb8/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-gKwKY3dh8iKZlGvL4jD2WUEAIyAQ/mo/photo.jpg?sz=256', 'display_name': 'PorssiMies', 'link': 'https://stackoverflow.com/users/12149068/porssimies'}",True,22332,63724155.0,5,47,1669053062,1599137406,1624186028.0,63724059,CC BY-SA 4.0,https://stackoverflow.com/questions/63724059/does-gcc-support-c20-stdformat,Does GCC support C++20 std::format?,,,
1,"['c++', 'codeblocks', 'sfml']","{'account_id': 17182201, 'reputation': 167, 'user_id': 12437460, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/77edf3bc716e52789affccb5578aa9f8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Andr&#233; Sousa', 'link': 'https://stackoverflow.com/users/12437460/andr%c3%a9-sousa'}",True,2130,,1,0,1668604665,1600116424,1605891561.0,63891624,CC BY-SA 4.0,https://stackoverflow.com/questions/63891624/setting-up-sfml-in-codeblocks-cant-find-lsfml-graphics,Setting up SFML in Codeblocks cant find &quot;-lsfml-graphics&quot;,,,
2,"['c++', 'visual-studio-2019', 'googletest']","{'account_id': 4862431, 'reputation': 726, 'user_id': 3921660, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7c4c1e3a9e6846d4696f644b3ef83ea8?s=256&d=identicon&r=PG&f=1', 'display_name': 'KabCode', 'link': 'https://stackoverflow.com/users/3921660/kabcode'}",True,2197,67984312.0,3,6,1668603753,1601284083,,64099136,CC BY-SA 4.0,https://stackoverflow.com/questions/64099136/visual-studio-2019-test-explorer-did-not-find-c-google-tests,Visual Studio 2019 Test Explorer did not find c++ google tests,,,
3,"['c++', 'compilation', 'linker', 'extern']","{'account_id': 11111343, 'reputation': 366, 'user_id': 8157027, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ee53896094fb91ce1195b5294436b65?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tony Bai', 'link': 'https://stackoverflow.com/users/8157027/tony-bai'}",True,375,63841754.0,1,2,1668517491,1599797470,1599806965.0,63840677,CC BY-SA 4.0,https://stackoverflow.com/questions/63840677/why-is-there-no-duplicate-definition-error-when-i-define-a-const-int-in-header,Why is there no duplicate definition error when I define a `const int` in header file?,,,
4,"['c++', 'multithreading', 'c++11', 'pthreads', 'boost-thread']","{'account_id': 1050303, 'reputation': 1212, 'user_id': 1054424, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/7645e598dc7a21fc2f4e16bd313a77cf?s=256&d=identicon&r=PG', 'display_name': 'BigBrownBear00', 'link': 'https://stackoverflow.com/users/1054424/bigbrownbear00'}",True,3692,63705214.0,2,4,1668034696,1599047797,,63705018,CC BY-SA 4.0,https://stackoverflow.com/questions/63705018/boostthread-vs-stdthread-vs-pthread,boost::thread vs std::thread vs pthread,,,
5,"['c++', 'windows', 'registry']","{'account_id': 19242409, 'reputation': 61, 'user_id': 14062131, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/81a0c426cd55f578b5cf9c7f6ca9a6d9?s=256&d=identicon&r=PG&f=1', 'display_name': 'cli', 'link': 'https://stackoverflow.com/users/14062131/cli'}",True,535,64083257.0,1,1,1667376771,1601160896,,64083224,CC BY-SA 4.0,https://stackoverflow.com/questions/64083224/reggetvaluea-format-layout,RegGetValueA format/layout,,,
6,"['java', 'android', 'c++', 'filesystems']","{'account_id': 6952987, 'reputation': 724, 'user_id': 5335013, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/8d9a3be22e0e835073acbb95f14ce945?s=256&d=identicon&r=PG&f=1', 'display_name': 'Midhun', 'link': 'https://stackoverflow.com/users/5335013/midhun'}",False,92,,0,1,1667256793,1600408550,,63950059,CC BY-SA 4.0,https://stackoverflow.com/questions/63950059/file-read-from-c-doesnt-work-but-it-works-in-java-in-android-why,File read from C++ doesn&#39;t work but it works in JAVA in android. Why?,,,
7,"['c++', 'raylib']","{'account_id': 19467625, 'reputation': 71, 'user_id': 14240629, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GioETwbIP9mWzHlFph7Zz-yu976913aG2fClA9L=k-s256', 'display_name': 'josephi', 'link': 'https://stackoverflow.com/users/14240629/josephi'}",True,8584,,1,4,1667002391,1599558934,,63791456,CC BY-SA 4.0,https://stackoverflow.com/questions/63791456/how-to-add-raylib-to-vs-code,How to add Raylib to VS code?,,,
8,"['c++', 'c++17', 'constexpr']","{'account_id': 7233760, 'reputation': 37, 'user_id': 5536162, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fbdbd2c095b8f352d07797946ccaa91d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ambrase', 'link': 'https://stackoverflow.com/users/5536162/ambrase'}",True,613,64106680.0,2,0,1666478875,1601306539,1601318791.0,64105054,CC BY-SA 4.0,https://stackoverflow.com/questions/64105054/concatenate-const-char-at-compile-time-when-one-of-them-is-a-function-parameter,Concatenate const char at compile time when one of them is a function parameter,,,
9,"['c++', 'opencv', 'webrtc', 'gstreamer']","{'account_id': 1489983, 'reputation': 414, 'user_id': 1397307, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/9585055fa3e7817c9f46b29382e876c2?s=256&d=identicon&r=PG', 'display_name': 'Deulis', 'link': 'https://stackoverflow.com/users/1397307/deulis'}",False,2045,,3,-1,1665727624,1598890099,1598962327.0,63674330,CC BY-SA 4.0,https://stackoverflow.com/questions/63674330/gstreamer-with-webrtc-opencv-server-client,"GStreamer with WebRTC, OpenCV-Server-Client",,,
