,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason
0,"['c++', 'gcc', 'lambda', 'compiler-warnings']","{'account_id': 2527520, 'reputation': 1962, 'user_id': 2287458, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/dAyBK.jpg?s=256&g=1', 'display_name': 'Phil-ZXX', 'link': 'https://stackoverflow.com/users/2287458/phil-zxx'}",True,339,66404884.0,3,6,1668971338,1614471700,1614524808.0,66404751,CC BY-SA 4.0,https://stackoverflow.com/questions/66404751/variable-shadowed-warning-in-lambda-when-not-captured,&quot;Variable shadowed&quot; warning in lambda (when not captured),,,
1,"['c++', '3d', 'vulkan', 'glm-math', 'renderdoc']","{'account_id': 6570518, 'reputation': 47, 'user_id': 5925367, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1e5bf7d121ecceb8c12f8cd1dd7f5b7f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Stuart', 'link': 'https://stackoverflow.com/users/5925367/stuart'}",False,478,,1,0,1667813253,1613151223,1634314630.0,66176461,CC BY-SA 4.0,https://stackoverflow.com/questions/66176461/vulkan-depth-buffer-is-either-0-or-1-never-inbetween,Vulkan Depth buffer is either 0 or 1. Never inbetween,,,
2,"['c++', 'docker', 'cmake', 'clion']","{'account_id': 2504574, 'reputation': 657, 'user_id': 2178680, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e88b4d85c705c6d6e66f79a13cbd9c4c?s=256&d=identicon&r=PG', 'display_name': 'Kai Sasaki', 'link': 'https://stackoverflow.com/users/2178680/kai-sasaki'}",False,1684,,3,6,1667802303,1613128937,,66170963,CC BY-SA 4.0,https://stackoverflow.com/questions/66170963/cmake-file-api-no-reply-dir-found,CMake File API &quot;no reply dir found&quot;,,,
3,"['c++', 'compiler-errors']","{'user_type': 'does_not_exist', 'display_name': 'user15273164'}",False,110,,2,0,1667028636,1614156082,1614156508.0,66347329,,https://stackoverflow.com/questions/66347329/why-i-am-getting-this-error-and-how-to-resolve-it,why I am getting this error and how to resolve it?,1667029394.0,1667029380.0,Duplicate
4,"['c++', 'winapi']","{'account_id': 18825500, 'reputation': 117, 'user_id': 13730499, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj8i3tHgN9q0t5RANRsx3QAqarxCYvuFbFb1_DO=k-s256', 'display_name': 'Mahmoud Hany', 'link': 'https://stackoverflow.com/users/13730499/mahmoud-hany'}",False,352,,1,2,1666786576,1614101478,,66338153,CC BY-SA 4.0,https://stackoverflow.com/questions/66338153/undefined-reference-to-folderid-c,undefined reference to FOLDERID_.. - C++,,,
5,"['c++', 'visual-c++', 'compiler-errors', 'visual-studio-2019', 'compiler-warnings']","{'account_id': 19642790, 'reputation': 528, 'user_id': 14378480, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/rMCpI.jpg?s=256&g=1', 'display_name': 'jesses', 'link': 'https://stackoverflow.com/users/14378480/jesses'}",True,1168,,1,2,1666726065,1614379252,1614381354.0,66393673,CC BY-SA 4.0,https://stackoverflow.com/questions/66393673/treat-c4596-as-warning,Treat C4596 as Warning,,,
6,"['c++', 'linux']","{'account_id': 20771973, 'reputation': 71, 'user_id': 15254441, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/92c9c3cfd37589fdc3041a866c2f8629?s=256&d=identicon&r=PG&f=1', 'display_name': 'Seiroon', 'link': 'https://stackoverflow.com/users/15254441/seiroon'}",True,4224,,1,4,1666244410,1613923979,1613924953.0,66304331,CC BY-SA 4.0,https://stackoverflow.com/questions/66304331/usr-include-c-8-cstdlib7515-fatal-error-stdlib-h-no-such-file-or-directo,/usr/include/c++/8/cstdlib:75:15: fatal error: stdlib.h: No such file or directory,,,
7,"['c++', 'arduino', 'esp8266', 'esp32']","{'account_id': 12978899, 'reputation': 112, 'user_id': 9382033, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b8414e5d1d8a1bb61b97a8c05226caa3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Developer Ol', 'link': 'https://stackoverflow.com/users/9382033/developer-ol'}",True,385,,1,1,1666180759,1612732983,1666180759.0,66093251,CC BY-SA 4.0,https://stackoverflow.com/questions/66093251/use-flash-vectors-for-esp32-esp8266-eeprom,Use flash vectors for ESP32 / ESP8266 EEPROM,,,
8,"['c++', 'redirect', 'wow64']","{'account_id': 6863599, 'reputation': 659, 'user_id': 5276801, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/391ae10c5304b28b609ce674bc320ee4?s=256&d=identicon&r=PG&f=1', 'display_name': 'RandomHash', 'link': 'https://stackoverflow.com/users/5276801/randomhash'}",True,1244,66262831.0,1,0,1666083123,1613661232,1613698868.0,66262735,CC BY-SA 4.0,https://stackoverflow.com/questions/66262735/executable-c-windows-system32-fodhelper-exe-not-found,Executable &quot;C:\Windows\System32\Fodhelper.exe&quot; not found,,,
9,"['c++', 'boost', 'shared-ptr']","{'account_id': 1489419, 'reputation': 111, 'user_id': 1396891, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a068aeaa5b6e32104d78bbbd62ab2527?s=256&d=identicon&r=PG', 'display_name': 'Mikhail Krasnorutsky', 'link': 'https://stackoverflow.com/users/1396891/mikhail-krasnorutsky'}",True,757,,2,1,1665972254,1613376671,1665972254.0,66204551,CC BY-SA 4.0,https://stackoverflow.com/questions/66204551/is-boostatomic-shared-ptr-absolutely-safe,Is boost::atomic_shared_ptr absolutely safe?,,,
10,"['c++', 'emscripten', 'asm.js']","{'account_id': 9277079, 'reputation': 1855, 'user_id': 6889435, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/SICcb.jpg?s=256&g=1', 'display_name': 'Kamila Szewczyk', 'link': 'https://stackoverflow.com/users/6889435/kamila-szewczyk'}",False,298,,1,3,1665790914,1613041764,1613065540.0,66153573,CC BY-SA 4.0,https://stackoverflow.com/questions/66153573/building-projects-with-emscripten-stuck-on-acorn-optimizer,Building projects with emscripten - stuck on acorn-optimizer,,,
11,"['c++', 'qt', 'visual-c++', 'onvif']","{'account_id': 15166145, 'reputation': 747, 'user_id': 10943605, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0499f6d811077f8c090b40bce5bdc077?s=256&d=identicon&r=PG&f=1', 'display_name': 'Imran', 'link': 'https://stackoverflow.com/users/10943605/imran'}",True,289,,1,-1,1665777027,1612779743,,66099729,CC BY-SA 4.0,https://stackoverflow.com/questions/66099729/onvif-camera-streaming-and-control-in-qt-c-or-vc,Onvif camera streaming and control in QT C++ or VC++,,,
12,"['c++', 'c++11', 'crypto++']","{'account_id': 14050667, 'reputation': 445, 'user_id': 10149535, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/I4ek6.jpg?s=256&g=1', 'display_name': 'Mohsen Haydari', 'link': 'https://stackoverflow.com/users/10149535/mohsen-haydari'}",True,327,,1,0,1665043896,1612347244,1612348853.0,66025401,CC BY-SA 4.0,https://stackoverflow.com/questions/66025401/crypto-aes-gcm-aead-decrypt-throw-exception-hash-or-mac-not-valid-in-cpp,crypto++ aes GCM-AEAD decrypt throw exception hash or MAC not valid&#39; in cpp,,,
13,"['c++', 'algorithm', 'data-structures', 'hash']","{'account_id': 18849898, 'reputation': 669, 'user_id': 13749290, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi-BLxQZtFd_XuRA7njataNH2tCcu1KLnK7qwG-4w=k-s256', 'display_name': 'Arsh Sharma', 'link': 'https://stackoverflow.com/users/13749290/arsh-sharma'}",True,191,,2,5,1664447199,1614150399,1614150999.0,66346164,CC BY-SA 4.0,https://stackoverflow.com/questions/66346164/negative-hash-value-in-code-of-rabin-karp-algorithm,Negative hash value in code of Rabin-Karp Algorithm,,,
14,"['c++', 'floating-point', 'visual-studio-2019', 'rounding', 'cout']","{'account_id': 18592406, 'reputation': 31, 'user_id': 13549306, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-hPZmB6vppck/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclSM5Av5TJmMamkWC4ki0kjjTcp1Q/photo.jpg?sz=256', 'display_name': 'John Paul Rodrigues', 'link': 'https://stackoverflow.com/users/13549306/john-paul-rodrigues'}",True,1046,,2,2,1664274751,1612450135,1664274751.0,66047983,CC BY-SA 4.0,https://stackoverflow.com/questions/66047983/why-is-c-rounding-out-float-value-in-cout,Why is c++ rounding out float value in cout,,,
15,"['c++', 'visual-studio', 'c++11', 'visual-c++', 'linker-errors']","{'account_id': 20639329, 'reputation': 523, 'user_id': 15152360, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0d4783d313ad89c4415caca58e1d9400?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bruice', 'link': 'https://stackoverflow.com/users/15152360/bruice'}",False,866,,2,0,1664178391,1614300208,,66378566,CC BY-SA 4.0,https://stackoverflow.com/questions/66378566/error-lnk2005dllmain-already-defined-in-uafxcw-libdllmodul-obj,Error LNK2005	DllMain already defined in uafxcw.lib(dllmodul.obj),,,
