,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,migrated_from,protected_date
0,"['c++', 'c', 'include', 'gcov']","{'account_id': 24186099, 'reputation': 11, 'user_id': 18145959, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/rPOdV.jpg?s=256&g=1', 'display_name': 'G_M', 'link': 'https://stackoverflow.com/users/18145959/g-m'}",True,233,74538173.0,1,1,1669146291,1644274395,71026443,CC BY-SA 4.0,https://stackoverflow.com/questions/71026443/how-to-get-gcov-results-for-included-c-cpp-files,How to get gcov results for included C/CPP files,,,,,
1,"['c++', 'tensorrt']","{'account_id': 9660916, 'reputation': 11, 'user_id': 18043049, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/44cfbfe70cd8d04efa6e25f6f1ef0bb4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kamgang Blaise', 'link': 'https://stackoverflow.com/users/18043049/kamgang-blaise'}",False,297,,1,1,1668685538,1644127488,71004603,CC BY-SA 4.0,https://stackoverflow.com/questions/71004603/multiple-input-single-output-with-tensorrt-c-api,"Multiple input, single output with tensorrt c++ api",1645026890.0,,,,
2,"['c++', 'arduino', 'esp32']","{'account_id': 24229869, 'reputation': 11, 'user_id': 18183785, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gia4WWg4D_gQAESuF_x2ZUASTlNkvsmExb91k3--Q=k-s256', 'display_name': 'RainbowChiwawa', 'link': 'https://stackoverflow.com/users/18183785/rainbowchiwawa'}",True,2408,,3,1,1668581313,1644609674,71085927,CC BY-SA 4.0,https://stackoverflow.com/questions/71085927/how-to-extend-esp32-heap-size,How to extend ESP32 heap size?,1644612048.0,,,,
3,"['c++', 'windows', 'grpc']","{'account_id': 7367822, 'reputation': 61, 'user_id': 5609057, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5d6cced91619900ebddbce6b24f25805?s=256&d=identicon&r=PG&f=1', 'display_name': 'sbricklayer', 'link': 'https://stackoverflow.com/users/5609057/sbricklayer'}",False,394,,0,1,1668412853,1645096387,71157060,CC BY-SA 4.0,https://stackoverflow.com/questions/71157060/how-to-use-grpc-in-dynamically-linked-windows-c-application,How to use gRPC in dynamically linked Windows C++ application?,1668412853.0,,,,
4,"['c++', 'move-constructor', 'copy-elision']","{'account_id': 15262486, 'reputation': 320, 'user_id': 11012105, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/pcHl7.png?s=256&g=1', 'display_name': 'aleck099', 'link': 'https://stackoverflow.com/users/11012105/aleck099'}",True,145,71092163.0,1,5,1667998874,1644670590,71092040,CC BY-SA 4.0,https://stackoverflow.com/questions/71092040/copy-elision-in-initializer-list,Copy elision in initializer list?,,,,,
5,"['c++', 'vtk', 'undefined-reference', 'qtwidgets', 'qt6']","{'account_id': 22217550, 'reputation': 3, 'user_id': 16455749, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/05934a04b222533d3dcd0f496cf87909?s=256&d=identicon&r=PG&f=1', 'display_name': 'Simon', 'link': 'https://stackoverflow.com/users/16455749/simon'}",False,349,,1,0,1667950843,1644310289,71030956,CC BY-SA 4.0,https://stackoverflow.com/questions/71030956/qt6vtk9-1-on-windows-build-error-undefined-reference-to-qvtkopenglstereowidget,QT6+VTK9.1 on Windows build error: Undefined Reference to QVTKOpenGLStereoWidget,1644310618.0,,,,
6,"['c++', 'linux', 'gpu', 'intel-mkl', 'faiss']","{'account_id': 5228833, 'reputation': 17, 'user_id': 4530774, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-TNNh0jIxofc/AAAAAAAAAAI/AAAAAAAAAVA/opDt2f8qVnU/photo.jpg?sz=256', 'display_name': 'Hossam Amer', 'link': 'https://stackoverflow.com/users/4530774/hossam-amer'}",False,307,,2,0,1667438461,1644247471,71021035,CC BY-SA 4.0,https://stackoverflow.com/questions/71021035/compile-hello-cpp-flags-c-faiss-gpu,Compile hello.cpp. flags - C++ FAISS GPU,1644248102.0,,,,
7,"['c++', 'json', 'cpprest-sdk']","{'account_id': 19743274, 'reputation': 13, 'user_id': 14456285, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yd3oJ.png?s=256&g=1', 'display_name': 'Destard20', 'link': 'https://stackoverflow.com/users/14456285/destard20'}",False,76,,1,1,1666987731,1645450930,71207339,CC BY-SA 4.0,https://stackoverflow.com/questions/71207339/turn-off-json-value-reorder-in-cpprestsdk,Turn off JSON value reorder in cpprestsdk,,,,,
8,"['c++', 'if-statement', 'calendar', 'dev-c++']","{'account_id': 24187921, 'reputation': 17, 'user_id': 18147479, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0208b7edaf4a533c33368de066f10399?s=256&d=identicon&r=PG', 'display_name': 'BenIsBored', 'link': 'https://stackoverflow.com/users/18147479/benisbored'}",False,42,,0,0,1666788275,1644291294,71028283,CC BY-SA 4.0,https://stackoverflow.com/questions/71028283/need-help-writing-if-else-statement-requiring-specific-keywords-in-dev-c,Need help writing if else statement requiring specific keywords in dev c++,1666788275.0,,,,
9,"['c++', 'dev-c++']","{'account_id': 24387117, 'reputation': 1, 'user_id': 18317717, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi7LDzvvVXZaBNP1gIiV6pGWAQwdTAT3HjlzYimGQ=k-s256', 'display_name': 'mm.reader_1987', 'link': 'https://stackoverflow.com/users/18317717/mm-reader-1987'}",True,67,,1,0,1666788074,1645896112,71278802,CC BY-SA 4.0,https://stackoverflow.com/questions/71278802/how-to-solve-this-problem-in-dev-c-percentage-calculation,How to solve this problem in DEV C+ percentage calculation?,1666788074.0,,,,
