,word,count
0,c,258
1,function,128
2,error,91
3,class,90
4,quot,84
5,file,68
6,code,61
7,boost,60
8,array,55
9,pointer,55
10,memory,46
11,vector,38
12,std,37
13,operator,34
14,member,33
15,program,33
16,type,32
17,value,31
18,studio,30
19,t,29
20,object,29
21,template,29
22,string,28
23,reference,27
24,constructor,27
25,library,25
26,application,25
27,way,23
28,use,23
29,number,22
30,time,21
31,list,20
32,access,20
33,name,20
34,vs,19
35,method,19
36,qt,19
37,project,19
38,int,18
39,size,18
40,difference,17
41,line,17
42,struct,17
43,const,17
44,parameter,16
45,gt,16
46,call,16
47,copy,16
48,image,16
49,text,16
50,bit,16
51,input,15
52,issue,15
53,dll,15
54,char,15
55,default,15
56,server,14
57,header,14
58,output,13
59,window,13
60,cannot,13
61,system,13
62,compiler,13
63,expression,13
64,map,13
65,source,12
66,point,12
67,performance,11
68,exception,11
69,range,11
70,work,11
71,lt,11
72,iterator,11
73,move,11
74,macro,11
75,linux,10
76,socket,10
77,element,10
78,example,10
79,initialization,10
80,cpp,10
81,java,10
82,implementation,10
83,syntax,10
84,i,10
85,cast,10
86,variable,10
87,structure,10
88,camera,9
89,matrix,9
90,return,9
91,stack,9
92,integer,9
93,ptr,9
94,convert,9
95,argument,9
96,symbol,9
97,directory,9
98,user,9
99,model,9
100,graph,9
101,usage,9
102,process,9
103,doesn,9
104,path,9
105,x,9
106,opencv,9
107,game,9
108,command,8
109,algorithm,8
110,vc,8
111,thread,8
112,python,8
113,inheritance,8
114,destructor,8
115,character,8
116,platform,8
117,address,8
118,event,8
119,order,8
120,change,7
121,random,7
122,linker,7
123,length,7
124,auto,7
125,scope,7
126,style,7
127,widget,7
128,sort,7
129,version,7
130,debug,7
131,define,7
132,loop,7
133,eclipse,7
134,color,7
135,buffer,7
136,asio,7
137,s,7
138,button,7
139,mfc,7
140,client,7
141,tree,7
142,conversion,7
143,opengl,7
144,stl,6
145,getline,6
146,assignment,6
147,precision,6
148,compile,6
149,xcode,6
150,load,6
151,pool,6
152,api,6
153,device,6
154,win32,6
155,stream,6
156,gui,6
157,trouble,6
158,doxygen,6
159,build,6
160,com,6
161,machine,6
162,lib,6
163,field,6
164,delete,6
165,fault,6
166,segmentation,6
167,g,6
168,exe,5
169,cmake,5
170,language,5
171,creator,5
172,operation,5
173,corruption,5
174,state,5
175,cross,5
176,display,5
177,glm,5
178,void,5
179,app,5
180,zero,5
181,m,5
182,condition,5
183,message,5
184,link,5
185,node,5
186,property,5
187,typedef,5
188,get,5
189,h,5
190,base,5
191,equivalent,5
192,triangle,5
193,fusion,5
194,form,5
195,service,5
196,purpose,4
197,shader,4
198,icon,4
199,specialization,4
200,module,4
201,format,4
202,lock,4
203,amp,4
204,byte,4
205,polymorphism,4
206,practice,4
207,manipulation,4
208,mac,4
209,preprocessor,4
210,box,4
211,stringstream,4
212,key,4
213,bitwise,4
214,database,4
215,location,4
216,wait,4
217,statement,4
218,reason,4
219,gcc,4
220,case,4
221,android,4
222,background,4
223,create,4
224,release,4
225,float,4
226,tool,4
227,pair,4
228,hash,4
229,store,4
230,custom,4
231,sequence,4
232,part,4
233,container,4
234,port,4
235,engine,4
236,gpu,4
237,cv,4
238,print,4
239,detection,4
240,listview,4
241,compilation,4
242,ndk,4
243,mode,4
244,leak,4
245,friend,4
246,behavior,4
247,mutex,4
248,execution,4
249,search,4
250,timer,4
251,browser,4
252,signature,4
253,sdl,4
254,support,4
255,date,4
256,framework,4
257,pass,4
258,interface,4
259,overload,4
260,world,4
261,vs2010,4
262,resolution,4
263,clang,4
264,express,3
265,view,3
266,comparison,3
267,storage,3
268,place,3
269,end,3
270,space,3
271,explicit,3
272,comma,3
273,network,3
274,serialization,3
275,lua,3
276,lion,3
277,plugin,3
278,runtime,3
279,layout,3
280,information,3
281,id,3
282,allocation,3
283,inline,3
284,assembly,3
285,regex,3
286,capture,3
287,life,3
288,priority,3
289,os,3
290,standard,3
291,item,3
292,behaviour,3
293,count,3
294,glsl,3
295,declaration,3
296,tab,3
297,console,3
298,matlab,3
299,cause,3
300,column,3
301,creation,3
302,building,3
303,enum,3
304,switch,3
305,bound,3
306,complexity,3
307,tiff,3
308,directx,3
309,result,3
310,generator,3
311,segment,3
312,sfinae,3
313,http,3
314,request,3
315,check,3
316,parser,3
317,binding,3
318,ofstream,3
319,poco,3
320,non,3
321,representation,3
322,xxx,3
323,r,3
324,b,3
325,group,3
326,alignment,3
327,callback,3
328,optimization,3
329,gdb,3
330,jni,3
331,insertion,3
332,mouse,3
333,edit,3
334,alternative,3
335,mat,3
336,th,3
337,edge,3
338,max,3
339,instance,3
340,inclusion,3
341,definition,3
342,keyboard,3
343,prevent,3
344,write,3
345,sign,3
346,word,3
347,set,3
348,action,3
349,crash,3
350,product,3
351,oracle,3
352,extension,3
353,context,3
354,raii,3
355,multiple,3
356,block,3
357,data,3
358,computer,3
359,bind,3
360,processor,3
361,io,3
362,gl,3
363,person,3
364,anything,3
365,table,3
366,breakpoint,3
367,protobuf,2
368,pitch,2
369,efficiency,2
370,mean,2
371,bitset,2
372,prompt,2
373,cin,2
374,filename,2
375,flag,2
376,qtcreator,2
377,initializer,2
378,cgi,2
379,post,2
380,sfml,2
381,etc,2
382,workaround,2
383,dialog,2
384,filter,2
385,decltype,2
386,connection,2
387,bool,2
388,osx,2
389,mountain,2
390,assertion,2
391,libc,2
392,ostream,2
393,reader,2
394,singleton,2
395,ref,2
396,register,2
397,instruction,2
398,specification,2
399,test,2
400,heap,2
401,constexpr,2
402,winsock,2
403,script,2
404,circle,2
405,functor,2
406,term,2
407,qimage,2
408,tcp,2
409,description,2
410,rotate,2
411,loss,2
412,assert,2
413,pod,2
414,transform,2
415,e,2
416,p,2
417,warning,2
418,google,2
419,euler,2
420,rotation,2
421,title,2
422,differ,2
423,vs2008,2
424,environment,2
425,llvm,2
426,bin,2
427,recursion,2
428,upload,2
429,merge,2
430,fft,2
431,parent,2
432,js,2
433,install,2
434,extract,2
435,thumbnail,2
436,texture,2
437,writing,2
438,body,2
439,queue,2
440,builder,2
441,mpi,2
442,debugger,2
443,direct2d,2
444,render,2
445,fill,2
446,qprocess,2
447,folder,2
448,cout,2
449,read,2
450,loading,2
451,cocos2dx,2
452,press,2
453,comment,2
454,ch,2
455,sizeof,2
456,multi,2
457,control,2
458,bst,2
459,guarantee,2
460,spirit,2
461,o,2
462,variant,2
463,stdin,2
464,catch,2
465,keyword,2
466,parse,2
467,duplication,2
468,rc,2
469,matrixxd,2
470,messagebox,2
471,hello,2
472,namespace,2
473,elision,2
474,family,2
475,isn,2
476,javascript,2
477,screen,2
478,wm,2
479,pixel,2
480,memcpy,2
481,zeromq,2
482,doesnt,2
483,cocos2d,2
484,backtrace,2
485,min,2
486,spoj,2
487,functionality,2
488,signal,2
489,include,2
490,coverage,2
491,drawing,2
492,handle,2
493,fd,2
494,mysql,2
495,connector,2
496,setter,2
497,getter,2
498,throw,2
499,png,2
500,systemparametersinfo,2
501,progress,2
502,pow,2
503,wcf,2
504,x86,2
505,lemon,2
506,implement,2
507,bho,2
508,synchronization,2
509,deadline,2
510,day,2
511,qapplication,2
512,glew,2
513,bug,2
514,directshow,2
515,push,2
516,package,2
517,exit,2
518,email,2
519,multicast,2
520,curl,2
521,php,2
522,mock,2
523,generate,2
524,equality,2
525,bar,2
526,frame,2
527,markov,2
528,cdt,2
529,collision,2
530,calculate,2
531,popup,2
532,cli,2
533,instantiation,2
534,timezone,2
535,concurrency,2
536,child,2
537,generation,2
538,hex,2
539,txt,2
540,something,2
541,consumption,2
542,gtk,2
543,wrapper,2
544,orientation,2
545,mapping,2
546,mingw,2
547,tbb,2
548,ftp,2
549,libcurl,2
550,duplicate,2
551,sum,2
552,cstring,2
553,navigation,2
554,level,2
555,determine,2
556,run,2
557,index,2
558,design,2
559,fail,2
560,variadic,2
561,bitmap,2
562,hpp,2
563,bitstream,2
564,unit,2
565,processing,2
566,arm,2
567,dependency,2
568,injection,2
569,content,2
570,implmentation,2
571,filesystem,2
572,cuda,2
573,send,2
574,src,2
575,cond,2
576,sp,2
577,everything,2
578,v,2
579,gsoap,2
580,anyone,2
581,none,2
582,producer,2
583,consumer,2
584,insert,2
585,constant,2
586,solution,2
587,valgrind,2
588,allegro,2
589,quaternion,1
590,strstr,1
591,skipping,1
592,vim,1
593,tray,1
594,calculation,1
595,backspace,1
596,gmock,1
597,selection,1
598,glcreateshader,1
599,future,1
600,dilation,1
601,adapter,1
602,r2,1
603,d8036,1
604,converter,1
605,ifstream,1
606,nextafter,1
607,gethostbyname,1
608,procedure,1
609,libpthread,1
610,writer,1
611,strategy,1
612,qpushbutton,1
613,pressable,1
614,enter,1
615,clock,1
616,cursor,1
617,monitor,1
618,timeout,1
619,lnk2022,1
620,metadata,1
621,inconsistent,1
622,share,1
623,wheel,1
624,arry,1
625,detecting,1
626,qthread,1
627,deletelater,1
628,beep,1
629,sound,1
630,trait,1
631,sigkill,1
632,terminator,1
633,connect,1
634,math,1
635,round,1
636,concept,1
637,construct,1
638,op,1
639,replacement,1
640,multiplication,1
641,configure,1
642,errno,1
643,transfer,1
644,pc,1
645,parallel,1
646,precedence,1
647,overflow,1
648,winmain,1
649,hour,1
650,typedefs,1
651,backtracking,1
652,vertex,1
653,pressing,1
654,hilbert,1
655,d,1
656,rsa,1
657,q,1
658,divide,1
659,base64,1
660,bio,1
661,curve,1
662,track,1
663,reflection,1
664,pipe,1
665,viewer,1
666,modeless,1
667,cdialog,1
668,ordering,1
669,locale,1
670,mingw32,1
671,ld,1
672,cbegin,1
673,option,1
674,fmessage,1
675,document,1
676,multimap,1
677,packet,1
678,arrangement,1
679,hotkeys,1
680,ctrl,1
681,alt,1
682,del,1
683,aiml,1
684,bot,1
685,clobber,1
686,differentiate,1
687,visualization,1
688,convolution,1
689,async,1
690,prefix,1
691,offscreen,1
692,legality,1
693,cow,1
694,ifd,1
695,libtiff,1
696,ignore,1
697,stdcall,1
698,border,1
699,interpolation,1
700,escape,1
701,face,1
702,uv,1
703,meaning,1
704,fiddler,1
705,alphabet,1
706,significance,1
707,party,1
708,c2144,1
709,cpython,1
710,sanitization,1
711,advantage,1
712,force,1
713,graphs,1
714,printf,1
715,qlineedit,1
716,emplace,1
717,entercriticalsection,1
718,find,1
719,visitor,1
720,pattern,1
721,qstringlist,1
722,qfiledialog,1
723,lineedit,1
724,strcmp,1
725,parameterless,1
726,idiom,1
727,wxmsw29ud,1
728,core,1
729,wav,1
730,ss,1
731,reboot,1
