,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,locked_date
0,"['c++', 'protocol-buffers']","{'account_id': 1592543, 'reputation': 659, 'user_id': 1475556, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/204a2d8b2dbdf2ed73147d41fcd705bd?s=256&d=identicon&r=PG', 'display_name': 'User', 'link': 'https://stackoverflow.com/users/1475556/user'}",True,1634,11908081.0,3,0,1668712800,1344222082,1344580635.0,11822054,CC BY-SA 3.0,https://stackoverflow.com/questions/11822054/c-2010-express-protobuf-compiling-errors,C++ 2010 Express Protobuf Compiling Errors,,,,
1,"['c++', 'opengl', 'camera', 'quaternions', 'glm-math']","{'account_id': 1525286, 'reputation': 756, 'user_id': 1423893, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/06038bd876add42c26fb4628ff49e1b0?s=256&d=identicon&r=PG', 'display_name': 'user1423893', 'link': 'https://stackoverflow.com/users/1423893/user1423893'}",True,6394,,2,3,1668566537,1346007433,1668566537.0,12132969,CC BY-SA 4.0,https://stackoverflow.com/questions/12132969/opengl-camera-view-matrix-from-quaternion-behaves-incorrectly-and-pitch-is-too,OpenGL camera - View matrix from quaternion behaves incorrectly and pitch is too restricted,,,,
2,"['c++', 'stl']","{'account_id': 2599, 'reputation': 45897, 'user_id': 3631, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/ccd6c0bf428cbe0521f5143601a79543?s=256&d=identicon&r=PG', 'display_name': 'Rob Walker', 'link': 'https://stackoverflow.com/users/3631/rob-walker'}",True,1134,12058666.0,4,3,1668413746,1345564124,1345564623.0,12058603,CC BY-SA 3.0,https://stackoverflow.com/questions/12058603/how-to-use-stdfor-each-on-a-member-function,How to use std::for_each on a member function,,,,
3,"['c++', 'sockets', 'unix-socket']","{'account_id': 175082, 'reputation': 2151, 'user_id': 404825, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/ddbf4d26e7ae38928aa2fdc4b3ea3506?s=256&d=identicon&r=PG', 'display_name': 'Wes Miller', 'link': 'https://stackoverflow.com/users/404825/wes-miller'}",True,4785,,2,0,1667665586,1343922248,1495535651.0,11781134,CC BY-SA 3.0,https://stackoverflow.com/questions/11781134/change-linux-socket-file-permissions,change linux socket file permissions,,,,
4,"['c++', 'performance', 'stl', 'c++11']","{'account_id': 158872, 'reputation': 2479, 'user_id': 377816, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/mRF5I.jpg?s=256&g=1', 'display_name': 'Moataz Elmasry', 'link': 'https://stackoverflow.com/users/377816/moataz-elmasry'}",True,4715,12059665.0,3,10,1667173739,1345558449,1345578180.0,12056801,CC BY-SA 3.0,https://stackoverflow.com/questions/12056801/efficiency-of-output-parameter-vs-return-value-on-the-stack-for-stl-data-structu,Efficiency of output parameter vs return value on the stack for stl data structures,,,,
5,"['c++', 'multithreading', 'c++11', 'thread-local', 'thread-local-storage']","{'account_id': 771851, 'reputation': 5173, 'user_id': 894688, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/53f97afa721792e0bdc5ebdad1d22cdf?s=256&d=identicon&r=PG', 'display_name': 'polapts', 'link': 'https://stackoverflow.com/users/894688/polapts'}",True,115762,11984017.0,3,167,1666651885,1345107936,1537773232.0,11983875,CC BY-SA 4.0,https://stackoverflow.com/questions/11983875/what-does-the-thread-local-mean-in-c11,What does the thread_local mean in C++11?,,,,
6,"['c++', 'c', 'string']","{'account_id': 1297789, 'reputation': 2357, 'user_id': 1248401, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/1c35f8fcadd984819a7e32d982f13e87?s=256&d=identicon&r=PG', 'display_name': 'deniz', 'link': 'https://stackoverflow.com/users/1248401/deniz'}",True,8829,11800010.0,4,4,1666623760,1344012493,,11799956,CC BY-SA 3.0,https://stackoverflow.com/questions/11799956/performance-comparison-strstr-vs-stdstringfind,Performance comparison: strstr() vs std::string::find(),,,,
7,"['c++', 'operators', 'field', 'member']","{'account_id': 1138466, 'reputation': 16705, 'user_id': 1123020, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/78465afdabcd3781cf060e74fd28cfab?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yoda', 'link': 'https://stackoverflow.com/users/1123020/yoda'}",True,146321,11902837.0,8,98,1666506186,1344605620,1633660702.0,11902791,,https://stackoverflow.com/questions/11902791/what-is-the-difference-between-and-in-c,What is the difference between &quot;::&quot; &quot;.&quot; and &quot;-&gt;&quot; in c++,1666506194.0,Duplicate,,
8,"['c++', 'visual-studio', 'visual-c++', 'message', 'error-list']","{'account_id': 1698845, 'reputation': 49, 'user_id': 1559532, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ea104107d740bc75394a1581f7ec2c5?s=256&d=identicon&r=PG', 'display_name': 'Phi', 'link': 'https://stackoverflow.com/users/1559532/phi'}",True,1841,,2,2,1666276325,1344077163,,11808000,CC BY-SA 3.0,https://stackoverflow.com/questions/11808000/creating-visual-studio-error-list-messages,Creating Visual Studio Error List Messages,,,,
9,"['c++', 'c', 'coding-style', 'curly-braces', 'defensive-programming']","{'account_id': 408442, 'reputation': 20570, 'user_id': 779111, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/808763efea1a993c937ac96e7e83032f?s=256&d=identicon&r=PG', 'display_name': 'JAN', 'link': 'https://stackoverflow.com/users/779111/jan'}",True,47572,12193202.0,24,339,1666131487,1346316609,1403588589.0,12193170,CC BY-SA 3.0,https://stackoverflow.com/questions/12193170/whats-the-purpose-of-using-braces-i-e-for-a-single-line-if-or-loop,What&#39;s the purpose of using braces (i.e. {}) for a single-line if or loop?,,,1413622412.0,
