,word,count
0,array,267
1,c,258
2,function,227
3,file,154
4,pointer,129
5,program,115
6,code,111
7,value,101
8,error,101
9,quot,90
10,char,64
11,memory,63
12,i,62
13,number,61
14,struct,59
15,string,57
16,input,52
17,output,47
18,fault,47
19,segmentation,46
20,int,45
21,t,44
22,loop,43
23,line,42
24,character,41
25,problem,40
26,time,36
27,way,36
28,size,34
29,type,33
30,integer,33
31,s,32
32,list,30
33,command,30
34,language,28
35,use,26
36,process,26
37,call,25
38,structure,24
39,address,23
40,system,23
41,variable,21
42,user,19
43,text,19
44,order,19
45,print,18
46,stack,18
47,gcc,18
48,socket,18
49,return,18
50,bit,17
51,source,17
52,printf,17
53,operator,16
54,vs,16
55,scanf,16
56,declaration,16
57,element,16
58,linux,15
59,h,15
60,point,15
61,reference,15
62,work,14
63,length,14
64,issue,14
65,statement,14
66,difference,14
67,gt,14
68,name,14
69,float,14
70,python,14
71,allocation,13
72,symbol,13
73,library,13
74,union,13
75,x,13
76,child,12
77,condition,12
78,parameter,12
79,access,12
80,index,12
81,argument,11
82,space,11
83,malloc,11
84,compiler,11
85,doesn,11
86,server,11
87,macro,11
88,image,11
89,core,11
90,implementation,11
91,txt,11
92,result,11
93,vector,11
94,read,10
95,end,10
96,algorithm,10
97,header,10
98,byte,10
99,member,10
100,bitwise,10
101,const,10
102,conversion,9
103,recursion,9
104,studio,9
105,class,9
106,node,9
107,case,9
108,r,9
109,cannot,9
110,definition,9
111,k,9
112,amp,9
113,matrix,9
114,cast,9
115,convert,9
116,sum,9
117,fork,8
118,switch,8
119,pass,8
120,sort,8
121,behavior,8
122,performance,8
123,question,8
124,default,8
125,tree,8
126,trouble,8
127,directory,8
128,shell,8
129,word,7
130,reverse,7
131,run,7
132,printing,7
133,d,7
134,dev,7
135,position,7
136,application,7
137,copy,7
138,table,7
139,method,7
140,gtk,7
141,descriptor,7
142,dll,7
143,create,7
144,object,7
145,shift,7
146,mode,7
147,linker,7
148,addition,7
149,strcmp,7
150,project,7
151,garbage,7
152,initialization,7
153,pipe,7
154,range,7
155,storage,7
156,field,7
157,someone,7
158,letter,6
159,segfault,6
160,register,6
161,exit,6
162,runtime,6
163,syntax,6
164,makefile,6
165,thread,6
166,posix,6
167,module,6
168,path,6
169,block,6
170,custom,6
171,behaviour,6
172,test,6
173,kernel,6
174,location,6
175,network,6
176,multiplication,6
177,execution,6
178,assignment,6
179,version,6
180,change,6
181,gdb,6
182,operation,6
183,b,6
184,comparison,6
185,check,6
186,preprocessor,6
187,instruction,6
188,duplicate,6
189,client,6
190,content,5
191,level,5
192,leak,5
193,heap,5
194,environment,5
195,n,5
196,standard,5
197,ascii,5
198,eclipse,5
199,example,5
200,enum,5
201,display,5
202,corruption,5
203,do,5
204,expression,5
205,define,5
206,format,5
207,get,5
208,message,5
209,sizeof,5
210,write,5
211,getchar,5
212,confusion,5
213,something,5
214,parent,5
215,strtok,5
216,lt,5
217,row,5
218,connection,5
219,explanation,5
220,void,5
221,device,4
222,mysql,4
223,passing,4
224,decimal,4
225,pattern,4
226,phone,4
227,information,4
228,option,4
229,control,4
230,game,4
231,api,4
232,status,4
233,cs50,4
234,asm,4
235,compilation,4
236,java,4
237,machine,4
238,redirection,4
239,clion,4
240,arm,4
241,m,4
242,complexity,4
243,pthread,4
244,callback,4
245,inline,4
246,answer,4
