,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,protected_date,last_edit_date,closed_date,closed_reason,migrated_from,locked_date
0,"['c', 'parameters', 'default']","{'account_id': 1145360, 'reputation': 2721, 'user_id': 1128265, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/a4ba1fb0b8aca5ceec462d7fa3d03549?s=256&d=identicon&r=PG', 'display_name': 'user1128265', 'link': 'https://stackoverflow.com/users/1128265/user1128265'}",True,64386,9185500.0,5,49,1669455422,1328656062,9185429,CC BY-SA 3.0,https://stackoverflow.com/questions/9185429/default-parameters-in-c,Default parameters in C,,,,,,
1,"['c', 'string', 'split']","{'account_id': 290332, 'reputation': 6100, 'user_id': 591826, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/e642d060f77436f46ac88aad1fae9829?s=256&d=identicon&r=PG', 'display_name': 'namco', 'link': 'https://stackoverflow.com/users/591826/namco'}",True,787170,9210560.0,25,192,1669227553,1328789171,9210528,CC BY-SA 3.0,https://stackoverflow.com/questions/9210528/split-string-with-delimiters-in-c,Split string with delimiters in C,1565874622.0,1388354932.0,,,,
2,"['c', 'int', 'program-entry-point', 'void']","{'account_id': 1230144, 'reputation': 639, 'user_id': 1194914, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2c5631a37edd2741ec00e76603134357?s=256&d=identicon&r=PG', 'display_name': 'madU', 'link': 'https://stackoverflow.com/users/1194914/madu'}",True,141353,,3,40,1668106003,1329715141,9356510,,https://stackoverflow.com/questions/9356510/int-main-vs-void-main-in-c,int main() vs void main() in C,,1585392372.0,1390708870.0,Duplicate,,
3,"['c++', 'c', 'struct']","{'account_id': 399128, 'reputation': 631, 'user_id': 764254, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/17f3e027426fbd40c99ebed03eaf8a9c?s=256&d=identicon&r=PG', 'display_name': 'jim', 'link': 'https://stackoverflow.com/users/764254/jim'}",True,83652,9269878.0,6,54,1667693766,1329177053,9269825,CC BY-SA 3.0,https://stackoverflow.com/questions/9269825/how-to-assign-multiple-values-into-a-struct-at-once,how to assign multiple values into a struct at once?,,1329178570.0,,,,
4,"['c', 'scanf']","{'account_id': 900393, 'reputation': 469, 'user_id': 1113999, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/3f720b36b9c3f59dc041a22822e3f5c3?s=256&d=identicon&r=PG', 'display_name': 'evodevo', 'link': 'https://stackoverflow.com/users/1113999/evodevo'}",True,21589,9457391.0,5,8,1666965499,1330291707,9457325,CC BY-SA 3.0,https://stackoverflow.com/questions/9457325/how-to-use-sscanf-correctly-and-safely,How to use sscanf correctly and safely,,1330343109.0,,,,
5,['c'],"{'account_id': 902733, 'reputation': 1398, 'user_id': 938429, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/37a11c6de74e69f64a937d9aea089d69?s=256&d=identicon&r=PG', 'display_name': 'Bazooka', 'link': 'https://stackoverflow.com/users/938429/bazooka'}",True,136422,9182835.0,6,51,1666824225,1328643812,9182763,CC BY-SA 4.0,https://stackoverflow.com/questions/9182763/implicit-function-declarations-in-c,Implicit function declarations in C,,1554057312.0,,,,
6,"['c', 'xml', 'opencv', 'xml-parsing']","{'account_id': 1223130, 'reputation': 343, 'user_id': 1189355, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/85ea007e011bfab3e4dec93d8ea20044?s=256&d=identicon&r=PG', 'display_name': 'Riddhiman Dasgupta', 'link': 'https://stackoverflow.com/users/1189355/riddhiman-dasgupta'}",True,2133,,3,4,1666414708,1328937229,9238003,CC BY-SA 3.0,https://stackoverflow.com/questions/9238003/xml-parser-in-opencv,XML Parser in OpenCV,,1328956217.0,,,,
7,"['c', 'stdint']","{'account_id': 31793, 'reputation': 13788, 'user_id': 87610, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/666b4ee5c26c5f60f0448ad0ab7777f3?s=256&d=identicon&r=PG', 'display_name': 'rtacconi', 'link': 'https://stackoverflow.com/users/87610/rtacconi'}",True,579121,9225648.0,7,366,1666109780,1328866293,9225567,CC BY-SA 4.0,https://stackoverflow.com/questions/9225567/how-to-portably-print-a-int64-t-type-in-c,How to portably print a int64_t type in C,1563532842.0,1666109780.0,,,,
8,"['c', 'windows', 'linux', 'performance', 'cray']","{'account_id': 971100, 'reputation': 1393, 'user_id': 993663, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/63dda5a2c0e9492977092b0bea398173?s=256&d=identicon&r=PG', 'display_name': 'bag-man', 'link': 'https://stackoverflow.com/users/993663/bag-man'}",True,58975,9244560.0,10,81,1664438182,1328998265,9244481,CC BY-SA 3.0,https://stackoverflow.com/questions/9244481/how-to-get-100-cpu-usage-from-a-c-program,How to get 100% CPU usage from a C program,1372531893.0,1329011223.0,,,,
9,"['c', 'sockets', 'udp', 'sendto']","{'account_id': 1098579, 'reputation': 399, 'user_id': 1091612, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/2f80d919c78d0ce995f29596af25664d?s=256&d=identicon&r=PG', 'display_name': 'aktungmak', 'link': 'https://stackoverflow.com/users/1091612/aktungmak'}",True,39605,9261028.0,3,24,1664436600,1329137985,9260937,CC BY-SA 4.0,https://stackoverflow.com/questions/9260937/unix-socket-error-14-efault-bad-address,unix socket error 14: EFAULT (bad address),,1612121142.0,,,,
