,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['c', 'gcc', 'visual-studio-code']","{'account_id': 15687755, 'reputation': 63, 'user_id': 11319882, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79f8238ea6de54c131924ff7bc837d6a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Madeline', 'link': 'https://stackoverflow.com/users/11319882/madeline'}",False,6783,0,1,1667700974,1560832063,1667700974.0,56641768,CC BY-SA 4.0,https://stackoverflow.com/questions/56641768/adding-a-c-external-library-in-visual-studio-code,Adding a C external library in Visual Studio Code,,,,
1,"['c', 'hash', 'openssl', 'pbkdf2']","{'user_type': 'does_not_exist', 'display_name': 'user4158347'}",True,2224,1,5,1667449263,1559951872,,56502361,CC BY-SA 4.0,https://stackoverflow.com/questions/56502361/openssl-c-hash-passwords-w-sha256-or-sha512,OpenSSL &amp; C - Hash Passwords w/ SHA256 or SHA512,56502703.0,,,
2,"['c++', 'c', 'gdb', 'gcov', 'jtag']","{'account_id': 1489674, 'reputation': 3958, 'user_id': 4784683, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/baa572872b7ec1fc6c1a52d1230c4872?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bob', 'link': 'https://stackoverflow.com/users/4784683/bob'}",False,1210,1,1,1667284664,1561406886,,56743308,CC BY-SA 4.0,https://stackoverflow.com/questions/56743308/how-to-run-gcov-on-bare-metal-without-file-system,how to run gcov on bare metal (without file system),,,,
3,"['c', 'x-dwm']","{'account_id': 14549652, 'reputation': 80, 'user_id': 10517063, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/93c35b59eed5d32d479b7b3026f12708?s=256&d=identicon&r=PG', 'display_name': 'm3hdad', 'link': 'https://stackoverflow.com/users/10517063/m3hdad'}",False,2505,2,1,1666477749,1561196600,1666477749.0,56714376,CC BY-SA 4.0,https://stackoverflow.com/questions/56714376/how-to-set-vol-perc-in-slstatus-a-suckless-tool,How to set vol_perc in slstatus (a suckless tool)?,,,,
4,"['c', 'docker', 'containers', 'shared-memory']","{'account_id': 10620675, 'reputation': 1, 'user_id': 7821903, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1377889158941095/picture?type=large', 'display_name': 'Benedikt Tewes', 'link': 'https://stackoverflow.com/users/7821903/benedikt-tewes'}",False,377,2,0,1665602164,1561383223,1598384320.0,56737740,CC BY-SA 4.0,https://stackoverflow.com/questions/56737740/shared-memory-id-is-always-0-in-a-docker-container,Shared-memory-ID is always 0 in a docker container,,,,
5,"['c', 'go', 'linker', 'blockchain', 'cgo']","{'account_id': 360659, 'reputation': 2115, 'user_id': 702772, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/f52d6eda1d907af7b1a7b477eeed8fd8?s=256&d=identicon&r=PG', 'display_name': 'vutran', 'link': 'https://stackoverflow.com/users/702772/vutran'}",True,2205,2,6,1665233348,1560235294,1560323852.0,56537928,CC BY-SA 4.0,https://stackoverflow.com/questions/56537928/go-compile-returns-duplicate-symbols-for-architecture-x86-64-error-when-i-import,Go compile returns duplicate symbols for architecture x86_64 error when I import 2 different packages which use C package via Cgo,,,,
6,"['c', 'postgresql', 'postgresql-11']","{'account_id': 13456946, 'reputation': 389, 'user_id': 9710270, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Jasper Zhou', 'link': 'https://stackoverflow.com/users/9710270/jasper-zhou'}",True,20639,3,17,1665228567,1561298558,1561356813.0,56724622,CC BY-SA 4.0,https://stackoverflow.com/questions/56724622/how-to-fix-postgres-h-file-not-found-problem,How to fix &#39;postgres.h&#39; file not found problem?,,,,
7,"['c', 'floating-point']","{'account_id': 16114023, 'reputation': 31, 'user_id': 11631620, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-U8uz6l_0_as/AAAAAAAAAAI/AAAAAAAABAs/KQAGfHXSkrg/photo.jpg?sz=256', 'display_name': 'Kchahid', 'link': 'https://stackoverflow.com/users/11631620/kchahid'}",True,2875,3,3,1663112622,1560263584,1560267444.0,56546110,CC BY-SA 4.0,https://stackoverflow.com/questions/56546110/how-does-printf-in-c-round-floating-point-numbers,How does printf in C round floating-point numbers?,,,,
8,"['c', 'interrupt', 'stm32']","{'account_id': 16082864, 'reputation': 11, 'user_id': 11608323, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-zeBxikcMteY/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rc7Vn-gNknEUtHBdvhE7h0qtH15-Q/mo/photo.jpg?sz=256', 'display_name': 'Ruben Otter', 'link': 'https://stackoverflow.com/users/11608323/ruben-otter'}",True,1893,3,1,1662346993,1559814541,1624454462.0,56475009,CC BY-SA 4.0,https://stackoverflow.com/questions/56475009/how-do-i-fix-an-interrupt-that-fires-multiple-times-on-exti9-5,how do I fix an interrupt that fires multiple times on EXTI9-5?,,,,
9,"['c#', 'c']","{'account_id': 16122148, 'reputation': 9, 'user_id': 11637879, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-pTc4psphA1U/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf51YSIfXE68Hh-Pjld_qE9u2mFDQ/mo/photo.jpg?sz=256', 'display_name': 'JOV', 'link': 'https://stackoverflow.com/users/11637879/jov'}",True,141,1,1,1661519237,1560355374,1560356945.0,56566300,CC BY-SA 4.0,https://stackoverflow.com/questions/56566300/how-can-i-emulate-the-effect-of-the-c-function-sprintf-s-in-c,How can I emulate the effect of the C function sprintf_s in C#?,56566649.0,,,
