,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,community_owned_date,migrated_from
0,"['c', 'simulator']","{'account_id': 10604252, 'reputation': 33, 'user_id': 7810276, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/16fd0e06610c6d5e2afb241044e960e8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Karthik Ganesan', 'link': 'https://stackoverflow.com/users/7810276/karthik-ganesan'}",False,100,1,0,1669032483,1565708176,1565708351.0,57480417,CC BY-SA 4.0,https://stackoverflow.com/questions/57480417/linker-errors-when-compiling-disksim4-with-64-bit-extensions,Linker errors when compiling disksim4 with 64-bit extensions,,,,,,
1,['c'],"{'account_id': 16339975, 'reputation': 353, 'user_id': 11801087, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1578205f53e480a8b765a9a4b948774e?s=256&d=identicon&r=PG&f=1', 'display_name': 'biscuit', 'link': 'https://stackoverflow.com/users/11801087/biscuit'}",True,5792,5,26,1668372924,1567056081,1567080899.0,57703450,CC BY-SA 4.0,https://stackoverflow.com/questions/57703450/what-does-1-represent-in-the-value-range-for-unsigned-int-and-signed-int,What does &quot;-1&quot; represent in the value range for unsigned int and signed int?,57703782.0,,,,,
2,"['c', 'cs50']","{'account_id': 9942935, 'reputation': 1538, 'user_id': 7358866, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/oDTdG.jpg?s=256&g=1', 'display_name': 'Darotudeen', 'link': 'https://stackoverflow.com/users/7358866/darotudeen'}",True,2650,6,1,1667061072,1565327621,1565328108.0,57423801,CC BY-SA 4.0,https://stackoverflow.com/questions/57423801/i-am-having-issues-with-the-get-string-function,I am having issues with the get_string function,57424632.0,,,,,
3,"['c', 'linked-list', 'segmentation-fault', 'undefined-behavior', 'singly-linked-list']","{'account_id': 16229350, 'reputation': 49, 'user_id': 11718633, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a32138f498582d555a8b802a1a03b2e2?s=256&d=identicon&r=PG&f=1', 'display_name': 'fulcus', 'link': 'https://stackoverflow.com/users/11718633/fulcus'}",True,141,1,-1,1666686594,1566824358,1566837706.0,57658385,,https://stackoverflow.com/questions/57658385/in-a-linked-list-the-last-node-next-isnt-null-causing-a-segfault,"In a linked list, the last node-&gt;next isn&#39;t NULL, causing a segfault",,1566828784.0,Not suitable for this site,,,
4,"['c++', 'c', 'visual-c++']","{'account_id': 61253, 'reputation': 814, 'user_id': 10870835, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/IlVhK.png?s=256&g=1', 'display_name': 'Chef Gladiator', 'link': 'https://stackoverflow.com/users/10870835/chef-gladiator'}",True,488,2,5,1664480705,1565360071,1664480705.0,57431947,CC BY-SA 4.0,https://stackoverflow.com/questions/57431947/tales-from-the-msvc-extern-c,Tales from the MSVC extern &quot;C&quot;,73369809.0,,,,,
5,"['c', 'loops', 'do-while', 'break', 'goto']","{'account_id': 10376986, 'reputation': 65, 'user_id': 10962675, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1c67556510ed02686970cbfc439c4265?s=256&d=identicon&r=PG&f=1', 'display_name': 'Auvee', 'link': 'https://stackoverflow.com/users/10962675/auvee'}",True,297,1,0,1664090676,1565888029,1664090676.0,57513270,,https://stackoverflow.com/questions/57513270/break-statement-not-working-in-else-statement,break statement not working in else statement,57513405.0,1565912702.0,Needs details or clarity,,,
6,"['c', 'user-defined-functions', 'fluent']","{'account_id': 16496045, 'reputation': 11, 'user_id': 11918594, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2d48c1801183904a6e9ba1f45d7228e8?s=256&d=identicon&r=PG&f=1', 'display_name': 'bv169', 'link': 'https://stackoverflow.com/users/11918594/bv169'}",False,267,0,1,1663512306,1567114623,,57717988,CC BY-SA 4.0,https://stackoverflow.com/questions/57717988/errors-compiling-udf-on-linux-in-ansys-fluent,Errors compiling UDF on linux in ANSYS Fluent,,,,,,
7,"['c++', 'c', 'linker', 'glibc', 'static-linking']","{'account_id': 6878155, 'reputation': 1942, 'user_id': 5285891, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/863f0d8e87256fcdf5209545922d20f9?s=256&d=identicon&r=PG&f=1', 'display_name': 'pzelasko', 'link': 'https://stackoverflow.com/users/5285891/pzelasko'}",True,22782,3,73,1660230624,1565694653,1646246903.0,57476533,CC BY-SA 4.0,https://stackoverflow.com/questions/57476533/why-is-statically-linking-glibc-discouraged,Why is statically linking glibc discouraged?,57478728.0,,,,,
8,"['c', 'tcp', 'vxworks', 'setsockopt', 'tcp-keepalive']","{'account_id': 4283356, 'reputation': 79, 'user_id': 3502016, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Webster', 'link': 'https://stackoverflow.com/users/3502016/webster'}",True,1242,2,0,1660056361,1564750765,1564753105.0,57326996,CC BY-SA 4.0,https://stackoverflow.com/questions/57326996/how-to-set-tcp-keep-alive-interval-for-a-specific-socket-fd-not-system-wide-in,How to set TCP keep alive interval for a specific socket fd (Not system wide) in VxWorks?,,,,,,
9,"['c', 'gcc', 'assembly', 'inline-assembly']","{'user_type': 'does_not_exist', 'display_name': 'user11810714'}",True,517,1,5,1659393651,1565733258,1659393651.0,57485761,CC BY-SA 4.0,https://stackoverflow.com/questions/57485761/what-do-the-0-9-constraints-do-in-gcc-inline-assembly,What do the 0..9 constraints do in GCC Inline Assembly?,,,,,,
10,"['python', 'c', 'dll', 'ctypes']","{'account_id': 16332496, 'reputation': 21, 'user_id': 11795460, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-1w_cNy63yIg/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf2Jnkj-JT2KcZ6QPLJdKg0z_vatg/photo.jpg?sz=256', 'display_name': 'Moreira12', 'link': 'https://stackoverflow.com/users/11795460/moreira12'}",False,633,1,2,1659306594,1564589530,1564614062.0,57295045,CC BY-SA 4.0,https://stackoverflow.com/questions/57295045/problems-with-passing-and-getting-arrays-for-a-c-function-using-ctypes,Problems with passing and getting arrays for a C function using ctypes,,,,,,
11,"['c', 'arrays', 'string']","{'account_id': 6129507, 'reputation': 1, 'user_id': 4780235, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/21b3922a50d4a186741c09d01749209a?s=256&d=identicon&r=PG&f=1', 'display_name': 'MANIAK9630', 'link': 'https://stackoverflow.com/users/4780235/maniak9630'}",False,196,2,0,1658427146,1564610121,1658427146.0,57299328,CC BY-SA 4.0,https://stackoverflow.com/questions/57299328/how-to-delete-a-string-from-an-array-of-string-in-c,How to delete a string from an array of string in c,,,,,,
12,"['c', 'scilab']","{'account_id': 15511104, 'reputation': 211, 'user_id': 11189825, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a22c50dd9b38b21ddbfba468212a78f6?s=256&d=identicon&r=PG&f=1', 'display_name': 'L3sek', 'link': 'https://stackoverflow.com/users/11189825/l3sek'}",True,249,1,0,1658423510,1565029178,1658423510.0,57364092,CC BY-SA 4.0,https://stackoverflow.com/questions/57364092/creating-c-function-blocks-in-scilab-5-5-2,Creating C function blocks in scilab 5.5.2,,,,,,
13,"['c', 'sockets', 'bind']","{'account_id': 8213702, 'reputation': 147, 'user_id': 6180869, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/acadef5bcec74c11f44af5a79ccda4f6?s=256&d=identicon&r=PG&f=1', 'display_name': 'HacHac', 'link': 'https://stackoverflow.com/users/6180869/hachac'}",True,1047,1,1,1658422903,1565098027,1658422903.0,57377180,CC BY-SA 4.0,https://stackoverflow.com/questions/57377180/udp-socket-c-programming-bind-and-broadcast,UDP socket - C programming Bind and broadcast,,,,,,
14,"['c', 'algorithm', 'merge', 'linked-list', 'singly-linked-list']","{'account_id': 16549721, 'reputation': 103, 'user_id': 11958375, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-TYKRUaUWWG0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf1llVlpbZu5UQj3bMPCnJkemwA2g/photo.jpg?sz=256', 'display_name': 'igor', 'link': 'https://stackoverflow.com/users/11958375/igor'}",True,404,3,2,1658403318,1566581895,1566643129.0,57630811,CC BY-SA 4.0,https://stackoverflow.com/questions/57630811/trouble-merging-two-linked-lists-in-c,Trouble merging two linked lists in C,57630950.0,,,,,
15,"['c', 'pointers', 'reference']","{'account_id': 14269308, 'reputation': 417, 'user_id': 10307340, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HNZ0R.jpg?s=256&g=1', 'display_name': 'Meltix', 'link': 'https://stackoverflow.com/users/10307340/meltix'}",True,77,1,0,1656899644,1566768103,1656899644.0,57649816,CC BY-SA 4.0,https://stackoverflow.com/questions/57649816/how-do-you-properly-write-a-function-that-takes-a-parameter-by-reference-in-c,How do you properly write a function that takes a parameter by reference in C?,57649850.0,,,,,
16,"['c', 'arrays', 'memory', 'floating-point', 'byte']","{'account_id': 16520664, 'reputation': 9, 'user_id': 11936950, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6194a537a56a1822be6edc581f3bf9c5?s=256&d=identicon&r=PG&f=1', 'display_name': 'evannemo', 'link': 'https://stackoverflow.com/users/11936950/evannemo'}",True,2372,4,0,1655221544,1565970853,1565978213.0,57527663,CC BY-SA 4.0,https://stackoverflow.com/questions/57527663/c-store-float-to-char-array-and-reverse,C - Store float to char array and reverse,,,,,,
17,"['c', 'macros', 'c-preprocessor', 'comma-operator']","{'account_id': 16502202, 'reputation': 359, 'user_id': 11923251, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8dca75f80755c3c08edba8a539cd399d?s=256&d=identicon&r=PG&f=1', 'display_name': 'duper21', 'link': 'https://stackoverflow.com/users/11923251/duper21'}",True,90,3,3,1654817382,1566577043,1654812858.0,57629869,CC BY-SA 4.0,https://stackoverflow.com/questions/57629869/how-does-the-following-va-arg-macro-work,How does the following va_arg macro work?,57629930.0,,,,,
18,"['c', 'optimization', 'glibc', 'portability', 'strlen']","{'user_type': 'does_not_exist', 'display_name': 'user11954200'}",True,61386,9,304,1654726517,1566782650,1654726517.0,57650895,CC BY-SA 4.0,https://stackoverflow.com/questions/57650895/why-does-glibcs-strlen-need-to-be-so-complicated-to-run-quickly,Why does glibc&#39;s strlen need to be so complicated to run quickly?,57651888.0,,,,,
19,"['c', 'recursion', 'matrix', 'mpi', 'determinants']","{'account_id': 7158764, 'reputation': 21, 'user_id': 5470155, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/959260907468761/picture?type=large', 'display_name': 'Anuj Bhambri', 'link': 'https://stackoverflow.com/users/5470155/anuj-bhambri'}",True,560,1,2,1654724225,1564755898,1654724225.0,57328442,CC BY-SA 4.0,https://stackoverflow.com/questions/57328442/recursive-function-using-mpi-library,Recursive Function using MPI library,,,,,,
20,"['c', 'linux', 'ubuntu', 'glib']","{'account_id': 9049407, 'reputation': 445, 'user_id': 6740258, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/xxOMg.jpg?s=256&g=1', 'display_name': 'tagelicht', 'link': 'https://stackoverflow.com/users/6740258/tagelicht'}",True,42,1,0,1654055730,1565396047,1654055730.0,57438376,CC BY-SA 4.0,https://stackoverflow.com/questions/57438376/receive-signal-for-system-key-using-linux,Receive Signal for System Key using Linux?,57438742.0,,,,,
21,"['c', 'arduino', 'serial-port']","{'account_id': 14313506, 'reputation': 820, 'user_id': 10339008, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-FFqNYJB9UCY/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaPlDfO49qO_OjdJZBYcG3MRGmxL6w/mo/photo.jpg?sz=256', 'display_name': 'Thomas Q', 'link': 'https://stackoverflow.com/users/10339008/thomas-q'}",True,140,1,1,1653631248,1566474724,,57608755,CC BY-SA 4.0,https://stackoverflow.com/questions/57608755/character-r-transforms-to-n-when-transmitting-through-serial-port-in-c,Character \r transforms to \n when transmitting through serial port in c,57609176.0,,,,,
22,"['c', 'optimization', 'ram']","{'account_id': 3899710, 'reputation': 409, 'user_id': 3227830, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'bgarrood', 'link': 'https://stackoverflow.com/users/3227830/bgarrood'}",True,150,2,3,1652973922,1565414438,,57439527,CC BY-SA 4.0,https://stackoverflow.com/questions/57439527/most-efficient-way-to-initialise-variables-in-c,Most efficient way to initialise variables in C,,,,,,
23,"['c++', 'c', 'gcc', 'codeblocks', 'bgi']","{'account_id': 13854935, 'reputation': 63, 'user_id': 10002005, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1812442325489964/picture?type=large', 'display_name': 'Rubin Shah', 'link': 'https://stackoverflow.com/users/10002005/rubin-shah'}",True,129,1,-1,1649273515,1565076451,1649273515.0,57370952,CC BY-SA 4.0,https://stackoverflow.com/questions/57370952/warnings-are-being-treated-as-errors-in-codeblocks-16-01,Warnings are being treated as errors in Codeblocks 16.01,,,,,,
24,"['c', 'ubuntu', 'clion', 'bgi', 'ubuntu-19.04']","{'account_id': 13385266, 'reputation': 14, 'user_id': 9744393, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/iuGNl.jpg?s=256&g=1', 'display_name': 'Prathamesh Mutkure', 'link': 'https://stackoverflow.com/users/9744393/prathamesh-mutkure'}",False,464,0,0,1649273186,1565446467,1649273186.0,57442902,CC BY-SA 4.0,https://stackoverflow.com/questions/57442902/undefined-reference-to-graphics-h-functions-in-ubuntu-19-04-in-clion-ide,Undefined reference to &quot;graphics.h&quot; functions in Ubuntu 19.04 in CLion IDE,,,,,,
25,"['c', 'winapi', 'controls', 'edit', 'hwnd']","{'account_id': 3573826, 'reputation': 3711, 'user_id': 2983568, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/OBk5Y.jpg?s=256&g=1', 'display_name': 'evilmandarine', 'link': 'https://stackoverflow.com/users/2983568/evilmandarine'}",True,2359,1,2,1648762198,1567110488,1648762198.0,57717358,CC BY-SA 4.0,https://stackoverflow.com/questions/57717358/how-to-vertically-center-text-in-an-edit-control,How to vertically center text in an edit control?,,,,,,
26,"['c', 'arrays']","{'account_id': 15305466, 'reputation': 71, 'user_id': 11042379, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-DntHDRnAr9w/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQPgMaunEP3VIdG8_-I5GHjJ2VDiTQ/mo/photo.jpg?sz=256', 'display_name': 'C. K.', 'link': 'https://stackoverflow.com/users/11042379/c-k'}",True,454,4,1,1648130077,1565389950,1565390121.0,57437811,CC BY-SA 4.0,https://stackoverflow.com/questions/57437811/how-to-initialize-array-size-in-a-library-in-c,How to initialize array size in a library in C?,57437945.0,,,,,
27,['c'],"{'account_id': 15467341, 'reputation': 23, 'user_id': 11158324, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-14LLVU8-EtY/AAAAAAAAAAI/AAAAAAAAABI/3aNWcr2Z2ps/photo.jpg?sz=256', 'display_name': 'Anand Yeole', 'link': 'https://stackoverflow.com/users/11158324/anand-yeole'}",False,76,3,0,1645987154,1564593321,,57295987,CC BY-SA 4.0,https://stackoverflow.com/questions/57295987/not-getting-a-desired-output-in-armstrong-number,not getting a desired output in armstrong number,,,,,,
28,"['c++', 'c', 'dll', 'memory-leaks']","{'account_id': 1546710, 'reputation': 4548, 'user_id': 1440105, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/QxCty.jpg?s=256&g=1', 'display_name': 'Dweeberly', 'link': 'https://stackoverflow.com/users/1440105/dweeberly'}",True,185,1,0,1644602270,1564598461,,57297091,CC BY-SA 4.0,https://stackoverflow.com/questions/57297091/crtmemdumpallobjectssince-not-returning-expected-results,_CrtMemDumpAllObjectsSince not returning expected results,71074441.0,,,,,
29,['c'],"{'account_id': 5604793, 'reputation': 5607, 'user_id': 4439794, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://www.gravatar.com/avatar/30bce4f523a5025a109fbb6ff192bcd3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Van Tr', 'link': 'https://stackoverflow.com/users/4439794/van-tr'}",True,1054,5,-4,1643738023,1565381134,1568467519.0,57436495,,https://stackoverflow.com/questions/57436495/why-init-pointer-to-null-is-a-good-practice,Why init pointer to NULL is a good practice?,,1565385757.0,Opinion-based,,,
30,"['c++', 'c', 'clang-format']","{'account_id': 15241423, 'reputation': 387, 'user_id': 10997590, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/96ef5dc430c2faa25b7f95b983171ad9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Danish', 'link': 'https://stackoverflow.com/users/10997590/danish'}",True,2737,3,6,1642664088,1564835379,,57338318,CC BY-SA 4.0,https://stackoverflow.com/questions/57338318/clang-format-how-to-align-list-of-struct-inits,clang-format: How to align list of struct inits,70782265.0,,,,,
31,"['css', 'c', 'linux', 'gtk']","{'account_id': 308529, 'reputation': 55, 'user_id': 7734745, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1323959981016761/picture?type=large', 'display_name': 'Bart Van Damme', 'link': 'https://stackoverflow.com/users/7734745/bart-van-damme'}",True,1507,2,4,1642012913,1564743113,1564746433.0,57325039,CC BY-SA 4.0,https://stackoverflow.com/questions/57325039/changing-slider-size-on-a-gtk-scale,Changing slider size on a gtk scale,57330351.0,,,,,
32,"['c', 'assembly', 'linux-kernel', 'interrupt', 'kernel-module']","{'account_id': 9172661, 'reputation': 109, 'user_id': 6819537, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b28e45a9f6258d1a1a8f9ddbc46824fd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Massimiliano Di Cavio', 'link': 'https://stackoverflow.com/users/6819537/massimiliano-di-cavio'}",True,982,1,0,1640654993,1565171616,1565173485.0,57391628,CC BY-SA 4.0,https://stackoverflow.com/questions/57391628/error-while-raising-interrupt-11-with-inline-asm-into-kernel-module,Error while raising interrupt 11 with inline asm into kernel module,59517192.0,,,,,
