,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from
0,"['c', 'loops', 'for-loop', 'sum', 'integer']","{'account_id': 3696341, 'reputation': 431, 'user_id': 8588743, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/5dfff6e61165ae78e1fe21b759d5dbe1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Parseval', 'link': 'https://stackoverflow.com/users/8588743/parseval'}",True,1225,63816760.0,5,3,1669012645,1599671611,1599677149.0,63816440,CC BY-SA 4.0,https://stackoverflow.com/questions/63816440/sum-of-first-n-natural-numbers,Sum of first n natural numbers,,,,
1,"['c', 'header-files']","{'account_id': 19392443, 'reputation': 75, 'user_id': 14180790, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f5fa8cc3f472714f490b96b0e95078e7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anonymous', 'link': 'https://stackoverflow.com/users/14180790/anonymous'}",True,766,,5,3,1668087482,1600261812,,63920782,CC BY-SA 4.0,https://stackoverflow.com/questions/63920782/problems-of-including-too-many-header-files-in-c,Problems of including too many header files in C,,,,
2,"['c', 'loops', 'if-statement', 'while-loop', 'user-input']","{'account_id': 18621747, 'reputation': 101, 'user_id': 13571736, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HeXMD.jpg?s=256&g=1', 'display_name': 'Tr0jAn', 'link': 'https://stackoverflow.com/users/13571736/tr0jan'}",True,4135,64090728.0,2,-1,1668002497,1601218467,1601218889.0,64089806,CC BY-SA 4.0,https://stackoverflow.com/questions/64089806/how-to-keep-asking-user-to-input-until-condition-is-satisfied-in-c,How to keep asking user to input until condition is satisfied in C?,,,,
3,"['c', 'floating-point', 'trigonometry', 'approximation', 'single-precision']","{'account_id': 19526414, 'reputation': 111, 'user_id': 14287178, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-1yw1UW4Hs9M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck4WHk37dxIyOtgiEgAhnH4kA0l3g/photo.jpg?sz=256', 'display_name': 'Dexter S', 'link': 'https://stackoverflow.com/users/14287178/dexter-s'}",True,471,63931958.0,2,4,1667528433,1600255036,1600262427.0,63918873,CC BY-SA 4.0,https://stackoverflow.com/questions/63918873/approximating-cosine-on-0-pi-using-only-single-precision-floating-point,"Approximating cosine on [0,pi] using only single precision floating point",,,,
4,"['c', 'robotics', 'webots']","{'account_id': 19596157, 'reputation': 1, 'user_id': 14342141, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/450a6d4d6254f51e7644bfd0b3d75329?s=256&d=identicon&r=PG&f=1', 'display_name': 'yelloweese', 'link': 'https://stackoverflow.com/users/14342141/yelloweese'}",False,196,,0,0,1666858423,1601060876,,64070085,CC BY-SA 4.0,https://stackoverflow.com/questions/64070085/question-about-relationship-between-wb-motor-set-position-and-wb-robot-step,Question about relationship between wb_motor_set_position and wb_robot_step,,,,
5,"['c', 'openssl']","{'account_id': 5966281, 'reputation': 615, 'user_id': 4689991, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/ef7a78c217340047de63c1d2d5b604a7?s=256&d=identicon&r=PG&f=1', 'display_name': 'GabeL', 'link': 'https://stackoverflow.com/users/4689991/gabel'}",True,414,,2,1,1666637207,1600944535,1600956393.0,64044881,CC BY-SA 4.0,https://stackoverflow.com/questions/64044881/getting-the-public-key-length-of-an-x509-certificate,Getting the public key length of an X509 certificate,,,,
6,"['c', 'mongodb', 'c++11', 'mongo-cxx-driver', 'mongo-c-driver']","{'user_type': 'does_not_exist', 'display_name': 'user13599244'}",False,498,,1,0,1666450288,1599211728,1599212465.0,63738475,CC BY-SA 4.0,https://stackoverflow.com/questions/63738475/compiling-with-mongo-c-driver-returns-undefined-reference-to-u-strfromutf8-66,Compiling with Mongo C++ driver returns undefined reference to `u_strFromUTF8_66&#39;,,,,
7,"['c', 'for-loop', 'cs50']","{'account_id': 19450594, 'reputation': 3, 'user_id': 14227095, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7437d4905dc813b236f430634e5a4848?s=256&d=identicon&r=PG&f=1', 'display_name': 'Suiryu', 'link': 'https://stackoverflow.com/users/14227095/suiryu'}",True,2928,63825951.0,5,0,1666389427,1599329831,1599904625.0,63757134,CC BY-SA 4.0,https://stackoverflow.com/questions/63757134/programming-in-c-cs50-mario-pyramid-blocks-print-for-loops-difficulties,Programming in C - CS50 Mario pyramid blocks print - For loops difficulties,,,,
8,"['c', 'linux', 'system-calls', 'glibc', 'musl']","{'account_id': 12880523, 'reputation': 1950, 'user_id': 9315690, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/747b19bfb99db8f9f3411c19da6c9c50?s=256&d=identicon&r=PG&f=1', 'display_name': 'Newbyte', 'link': 'https://stackoverflow.com/users/9315690/newbyte'}",True,746,64142670.0,2,1,1665646135,1601395449,1665646135.0,64123402,CC BY-SA 4.0,https://stackoverflow.com/questions/64123402/what-are-the-nr-prefixed-symbols-in-glibc,What are the __NR_-prefixed symbols in glibc?,,,,
9,"['c', 'scanf', 'user-input', 'fgets']","{'account_id': 19587429, 'reputation': 1, 'user_id': 14335246, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0486581a580d3c55202411ef0c383673?s=256&d=identicon&r=PG&f=1', 'display_name': 'DynasticINF', 'link': 'https://stackoverflow.com/users/14335246/dynasticinf'}",True,96,64107132.0,2,-3,1665589672,1601315003,1665589672.0,64107069,,https://stackoverflow.com/questions/64107069/line-of-code-skipped-when-getting-user-input-in-c,Line of code skipped when getting user input in C,1601322862.0,Duplicate,,
