,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
0,"['c', 'dictionary', 'hashtable']","{'account_id': 9660351, 'reputation': 11, 'user_id': 7168636, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b23c5f6bb825f875f13376241ffd37d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Azeem Akram', 'link': 'https://stackoverflow.com/users/7168636/azeem-akram'}",True,133,1,1,1669020604,1622402176,67764947,CC BY-SA 4.0,https://stackoverflow.com/questions/67764947/stuck-in-rehashing-a-dictionary-i-implemented-using-hashtable-in-c,Stuck in rehashing a Dictionary I Implemented using Hashtable in C,,,,,,
1,['c'],"{'account_id': 19860299, 'reputation': 191, 'user_id': 15831522, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj-ivoabOytgIG9022Xx-VJkxtErQ-0o2DJiloS=k-s256', 'display_name': 'Ken Ely', 'link': 'https://stackoverflow.com/users/15831522/ken-ely'}",True,628,4,0,1668783551,1621232308,67564797,CC BY-SA 4.0,https://stackoverflow.com/questions/67564797/c-program-to-calculate-matrix-multiplication,C program to calculate matrix multiplication,1622398441.0,,,,,
2,"['python', 'c', 'jedi', 'gobject-introspection', 'jedi-vim']","{'account_id': 2380818, 'reputation': 4152, 'user_id': 2082884, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/8c1a7c51faf6f8622ecdbb8b638d3550?s=256&d=identicon&r=PG', 'display_name': 'hetepeperfan', 'link': 'https://stackoverflow.com/users/2082884/hetepeperfan'}",True,164,3,2,1667981229,1620756847,67492262,CC BY-SA 4.0,https://stackoverflow.com/questions/67492262/autocompletion-for-own-gobject-derived-library-in-python-using-jedi-vim-using-go,autocompletion for own gobject derived library in python using jedi-vim using gobject introspection,1621175726.0,74371640.0,,,,
3,"['c', 'char', 'printf', 'scanf']","{'account_id': 21535359, 'reputation': 1, 'user_id': 15874031, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJz0JwbRIC6a4Vlo1tN7NzW_y6okBaZUhG7V4D8J=k-s256', 'display_name': 'Piotr Zajkowski', 'link': 'https://stackoverflow.com/users/15874031/piotr-zajkowski'}",False,67,0,0,1667395693,1620506166,67451914,CC BY-SA 4.0,https://stackoverflow.com/questions/67451914/printf-function-does-not-works-with-char,Printf function does not works with char,1620573185.0,,,,,
4,"['c', 'pointers', 'struct', 'segmentation-fault']","{'user_type': 'does_not_exist', 'display_name': 'user12311164'}",True,669,1,1,1666728688,1621272489,67574417,CC BY-SA 4.0,https://stackoverflow.com/questions/67574417/getting-segmentation-fault-on-this-c-programming-problem-involving-structures-an,Getting segmentation fault on this C programming problem involving structures and pointers,1621313447.0,67579974.0,1666730189.0,,,
5,"['c', 'gtk', 'gtk3']","{'account_id': 8990551, 'reputation': 1659, 'user_id': 6702598, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yZQB0.png?s=256&g=1', 'display_name': 'DarkTrick', 'link': 'https://stackoverflow.com/users/6702598/darktrick'}",True,473,2,0,1665891195,1622077424,67714430,CC BY-SA 4.0,https://stackoverflow.com/questions/67714430/gtkcombobox-with-entry-causes-gtk-entry-set-text-assertion-text-null-fail,GtkComboBox with entry causes `gtk_entry_set_text: assertion &#39;text != NULL&#39; failed`,,,,,,
6,"['c', 'initialization', 'undefined-behavior']","{'account_id': 20367707, 'reputation': 2570, 'user_id': 14940626, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-LucAsL4MxrU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclq9iM2Olu0Zf6xOn8ewBSqcr-Rfw/s96-c/photo.jpg?sz=256', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/14940626/dan'}",True,536,3,5,1665441024,1621793861,67663015,CC BY-SA 4.0,https://stackoverflow.com/questions/67663015/is-reading-an-uninitialized-value-always-an-undefined-behaviour-or-are-there-ex,Is reading an uninitialized value always an undefined behaviour? Or are there exceptions to it?,1665416861.0,67663586.0,,,,
7,"['c', 'visual-studio-code', 'gstreamer', 'vscode-settings']","{'account_id': 2901030, 'reputation': 3488, 'user_id': 2487730, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/738346725144dd27b32670cc7316ee80?s=256&d=identicon&r=PG', 'display_name': 'zipzit', 'link': 'https://stackoverflow.com/users/2487730/zipzit'}",True,2675,3,0,1664666649,1620150945,67389815,CC BY-SA 4.0,https://stackoverflow.com/questions/67389815/pkg-config-for-vs-code,Pkg-config for VS Code?,1620162691.0,67406473.0,,,,
8,['c'],"{'account_id': 20902817, 'reputation': 31, 'user_id': 15355547, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-2BZqR5LVy3w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_I9y5R7XFuBkMnQYejnKwEZ5v5g/s96-c/photo.jpg?sz=256', 'display_name': 'avp', 'link': 'https://stackoverflow.com/users/15355547/avp'}",True,506,3,0,1663754290,1620132512,67385079,CC BY-SA 4.0,https://stackoverflow.com/questions/67385079/how-to-read-integer-from-a-char-buffer-into-an-int-variable,How to read integer from a char buffer into an int variable,,,,,,
9,"['c++', 'c', 'sockets', 'server']","{'account_id': 20543956, 'reputation': 45, 'user_id': 15078279, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5dbbbf432f3fc9e197b4edd156897fae?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mahmoud', 'link': 'https://stackoverflow.com/users/15078279/mahmoud'}",True,16199,2,4,1663228229,1622132277,67726142,CC BY-SA 4.0,https://stackoverflow.com/questions/67726142/how-can-i-use-sys-socket-h-on-windows,How can I use sys/socket.h on Windows?,1622132964.0,,,,,
10,"['c', 'struct', 'unions', 'qsort']","{'account_id': 20129412, 'reputation': 61, 'user_id': 14762083, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/c4rnE.png?s=256&g=1', 'display_name': 'Albus_Dalbador', 'link': 'https://stackoverflow.com/users/14762083/albus-dalbador'}",True,101,1,0,1663003460,1620308155,67419271,CC BY-SA 4.0,https://stackoverflow.com/questions/67419271/why-qsort-doesnt-work-while-sorting-an-array-of-structures,"Why qsort doesn&#39;t work, while sorting an array of structures",1663003460.0,67420196.0,,,,
