,word,count
0,css,455
1,image,187
2,html,165
3,div,161
4,element,139
5,page,123
6,text,122
7,bootstrap,117
8,button,105
9,color,105
10,background,98
11,javascript,93
12,js,92
13,i,90
14,quot,81
15,style,79
16,class,67
17,t,67
18,animation,65
19,change,65
20,size,64
21,position,63
22,width,59
23,height,58
24,content,56
25,gt,55
26,line,54
27,hover,52
28,input,49
29,menu,49
30,file,49
31,column,49
32,property,47
33,table,47
34,container,47
35,border,46
36,code,45
37,function,44
38,navbar,44
39,tag,42
40,space,41
41,value,41
42,center,40
43,scroll,39
44,parent,38
45,box,38
46,screen,37
47,header,37
48,svg,37
49,bar,37
50,grid,35
51,display,34
52,row,33
53,component,33
54,body,33
55,jquery,32
56,way,32
57,react,32
58,transition,32
59,material,32
60,issue,32
61,side,32
62,list,31
63,effect,30
64,browser,28
65,error,28
66,lt,28
67,form,28
68,click,28
69,icon,27
70,work,27
71,item,25
72,flexbox,25
73,problem,24
74,canvas,24
75,custom,23
76,bottom,23
77,template,22
78,s,22
79,footer,22
80,auto,21
81,selector,21
82,scss,21
83,child,20
84,font,20
85,margin,20
86,view,19
87,sass,19
88,layout,19
89,design,19
90,link,18
91,show,18
92,type,18
93,time,18
94,use,18
95,php,18
96,right,18
97,divs,17
98,top,17
99,field,17
100,load,17
101,website,17
102,safari,16
103,checkbox,16
104,radio,16
105,doesn,16
106,img,16
107,carousel,16
108,name,16
109,block,15
110,circle,15
111,slider,15
112,columns,15
113,card,15
114,viewport,15
115,number,15
116,gradient,15
117,align,15
118,event,14
119,project,14
120,inline,14
121,chrome,14
122,left,14
123,id,14
124,video,14
125,accordion,13
126,firefox,13
127,fill,13
128,loop,13
129,site,13
130,user,13
131,mouse,13
132,path,12
133,move,12
134,app,12
135,navigation,12
136,span,12
137,selenium,12
138,attribute,12
139,isn,12
140,tailwind,11
141,scrollbar,11
142,section,11
143,cannot,11
144,edge,11
145,level,11
146,modal,11
147,shadow,11
148,logo,10
149,wordpress,10
150,label,10
151,web,10
152,default,10
153,mode,10
154,focus,10
155,stylesheet,10
156,webpage,10
157,direction,10
158,end,10
159,slide,10
160,min,9
161,vue,9
162,li,9
163,hide,9
164,statement,9
165,area,9
166,select,9
167,search,9
168,import,9
169,iframe,9
170,option,9
171,percentage,9
172,tooltip,9
173,index,9
174,col,9
175,shape,8
176,picture,8
177,vs,8
178,opacity,8
179,django,8
180,sidebar,8
181,theme,8
182,chart,8
183,range,8
184,point,8
185,post,8
186,reactjs,8
187,tab,8
188,colour,8
189,server,8
190,progress,8
191,email,8
192,anchor,8
193,part,8
194,object,8
195,toggle,7
196,google,7
197,map,7
198,application,7
199,x,7
200,prevent,7
201,ui,7
202,access,7
203,none,7
204,request,7
205,order,7
206,folder,7
207,frame,7
208,output,7
209,title,7
210,corner,7
211,half,7
212,transform,7
213,gap,7
214,middle,7
215,loader,6
216,amount,6
217,padding,6
218,state,6
219,group,6
220,dropdown,6
221,pseudo,6
222,amp,6
223,face,6
224,force,6
225,absolute,6
226,z,6
227,iphone,6
228,query,6
229,ion,6
230,game,6
231,wrap,6
232,script,6
233,break,6
234,cursor,6
235,hidden,6
236,responsive,6
237,hovering,6
238,textarea,6
239,date,6
240,cell,6
241,place,6
242,url,5
243,root,5
244,vuejs,5
245,outlook,5
246,storage,5
247,bug,5
248,mask,5
249,ratio,5
250,mui,5
251,module,5
252,help,5
253,trigger,5
254,tailwindcss,5
255,dev,5
256,multi,5
257,alignment,5
258,rectangle,5
259,print,5
260,sticky,5
261,length,5
262,drop,5
263,transparent,5
264,python,5
265,pdf,5
266,scale,5
267,td,5
268,rest,5
269,mat,5
270,collapse,5
271,wont,5
272,create,5
273,max,5
274,radius,5
275,float,5
276,href,5
277,window,5
278,v,5
279,gallery,5
280,m,5
281,add,5
282,arrow,5
283,get,5
284,cover,5
285,method,5
286,string,5
287,desktop,5
288,submenu,4
289,webkit,4
290,download,4
291,filter,4
292,banner,4
293,popup,4
294,selection,4
295,inside,4
296,snap,4
297,sheet,4
298,need,4
299,zoom,4
300,webpack,4
301,blur,4
302,flask,4
303,plugin,4
304,repeat,4
305,article,4
306,resolution,4
307,vanilla,4
308,location,4
309,something,4
310,set,4
311,structure,4
312,render,4
313,flex,4
314,vuetify,4
315,source,4
316,device,4
317,aspect,4
318,png,4
319,extension,4
