,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from,community_owned_date
0,"['css', 'background', 'width']","{'account_id': 1994812, 'reputation': 51, 'user_id': 1787981, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a0cf59e03ab45274cc4991316e1b2c7d?s=256&d=identicon&r=PG', 'display_name': 'Ernest Berkhout', 'link': 'https://stackoverflow.com/users/1787981/ernest-berkhout'}",True,1259,4,5,1669563954,1351674698,1351675387.0,13154515,CC BY-SA 3.0,https://stackoverflow.com/questions/13154515/i-have-set-a-background-color-to-a-div-but-it-disappears-when-i-reduce-the-wind,"I have set a background color to a div, but it disappears when I reduce the window size",,,,,,
1,"['css', 'css-animations']","{'account_id': 86400, 'reputation': 3468, 'user_id': 240287, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/51cac7ccd32cd6c84e2167c48e3874ca?s=256&d=identicon&r=PG', 'display_name': 'Rey', 'link': 'https://stackoverflow.com/users/240287/rey'}",True,61590,9,119,1669368192,1350920166,1653182697.0,13014808,CC BY-SA 4.0,https://stackoverflow.com/questions/13014808/is-there-any-way-to-animate-an-ellipsis-with-css-animations,Is there any way to animate an ellipsis with CSS animations?,28074607.0,,,,,
2,"['javascript', 'css', 'html']","{'account_id': 454793, 'reputation': 711, 'user_id': 852602, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a41a46a4730a75900f0c31cadbdf37f3?s=256&d=identicon&r=PG', 'display_name': 'Akhil Paul', 'link': 'https://stackoverflow.com/users/852602/akhil-paul'}",True,6142,1,11,1669258719,1349737093,1349739208.0,12790645,CC BY-SA 3.0,https://stackoverflow.com/questions/12790645/how-to-scroll-a-background-image-together-with-text-in-textarea,How to scroll a background image together with text in textarea?,12790911.0,,,,,
3,"['css', 'css-animations']","{'account_id': 165943, 'reputation': 5602, 'user_id': 389765, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/08971a14bda1caaeb38ba797a1278c5c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/389765/dan'}",True,298904,5,460,1669150353,1350755928,1441034881.0,12991164,CC BY-SA 3.0,https://stackoverflow.com/questions/12991164/maintaining-the-final-state-at-end-of-a-css3-animation,Maintaining the final state at end of a CSS3 animation,12991203.0,,,,,
4,"['css', 'font-size']","{'account_id': 408114, 'reputation': 25739, 'user_id': 778581, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/e7c2d2c20eee156eb26cc21ba5405b3a?s=256&d=identicon&r=PG', 'display_name': 'daGUY', 'link': 'https://stackoverflow.com/users/778581/daguy'}",True,60519,7,69,1668237529,1350012495,1660145972.0,12851792,CC BY-SA 4.0,https://stackoverflow.com/questions/12851792/why-cant-i-decrease-the-line-height-of-this-text,Why can&#39;t I decrease the line-height of this text?,12851842.0,,,,,
5,"['css', 'image', 'aspect-ratio']","{'account_id': 1259754, 'reputation': 17989, 'user_id': 1218405, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/073953277a40385d13fcd1afd8c86cb5?s=256&d=identicon&r=PG', 'display_name': 'moonvader', 'link': 'https://stackoverflow.com/users/1218405/moonvader'}",True,1502368,26,833,1667573660,1350757213,1626634513.0,12991351,CC BY-SA 4.0,https://stackoverflow.com/questions/12991351/css-force-image-resize-and-keep-aspect-ratio,CSS force image resize and keep aspect ratio,17183996.0,1523403476.0,,,,
6,"['html', 'css', 'multiple-columns']","{'account_id': 1983979, 'reputation': 5964, 'user_id': 1779823, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/db49e95d75a7eca2d152689fa742b593?s=256&d=identicon&r=PG', 'display_name': 'Baumr', 'link': 'https://stackoverflow.com/users/1779823/baumr'}",True,1180,5,1,1667268716,1351394486,1351395231.0,13106121,CC BY-SA 3.0,https://stackoverflow.com/questions/13106121/simple-3-column-fluid-layout-but-center-column-empty-with-fixed-width,"Simple 3-column fluid layout, but center column empty with fixed-width?",13106212.0,,,,,
7,"['html', 'css']","{'account_id': 1367674, 'reputation': 2587, 'user_id': 1303771, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/ed4c3a2b1773d5995451930d35afb81b?s=256&d=identicon&r=PG', 'display_name': 'Chanckjh', 'link': 'https://stackoverflow.com/users/1303771/chanckjh'}",True,11936,4,3,1667047809,1350383182,1350383336.0,12912604,CC BY-SA 3.0,https://stackoverflow.com/questions/12912604/make-one-divs-height-match-anothers,Make one &lt;div&gt;&#39;s height match another&#39;s,12912848.0,,,,,
8,"['html', 'css', 'background']","{'account_id': 1678494, 'reputation': 5299, 'user_id': 1543403, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/03b64d1cfaeabf5734292079675ee05c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shrey Gupta', 'link': 'https://stackoverflow.com/users/1543403/shrey-gupta'}",True,10753,8,29,1666716976,1349470517,,12753900,CC BY-SA 3.0,https://stackoverflow.com/questions/12753900/is-there-any-difference-between-background-clip-and-background-origin,Is there any difference between background-clip and background-origin?,12753945.0,,,,,
9,"['css', 'responsive-design']","{'account_id': 365438, 'reputation': 12742, 'user_id': 710356, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/a8aa602294c27aaf830ae824c9836f3e?s=256&d=identicon&r=PG', 'display_name': 'sbichenko', 'link': 'https://stackoverflow.com/users/710356/sbichenko'}",True,148,1,0,1666642431,1349377230,1666642431.0,12734030,CC BY-SA 4.0,https://stackoverflow.com/questions/12734030/how-to-make-one-column-get-narrower-before-the-other-when-the-browser-window-is,How to make one column get narrower before the other when the browser window is narrowed,12734183.0,,,,,
10,"['html', 'css', 'position']","{'account_id': 1387439, 'reputation': 393, 'user_id': 1319140, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/a515f48b592e171e5b6f1e73709a5658?s=256&d=identicon&r=PG', 'display_name': 'Mohammer', 'link': 'https://stackoverflow.com/users/1319140/mohammer'}",False,2160,4,0,1666510212,1351169372,1351172276.0,13068997,CC BY-SA 3.0,https://stackoverflow.com/questions/13068997/position-text-at-bottom-but-letting-it-stay-in-document-flow,"Position text at bottom, but letting it stay in document flow",,,,,,
11,"['html', 'css', 'dynamic-columns']","{'account_id': 1249315, 'reputation': 155, 'user_id': 1210074, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/063ea811382501271576a405ef4cae84?s=256&d=identicon&r=PG', 'display_name': 'chazthetic', 'link': 'https://stackoverflow.com/users/1210074/chazthetic'}",False,440,1,1,1666384718,1349808326,1666384718.0,12806418,CC BY-SA 4.0,https://stackoverflow.com/questions/12806418/making-a-3-column-grid-with-flexible-middle,Making a 3-column grid with flexible middle,,,,,,
12,"['html', 'css', 'html-select', 'background-color']","{'account_id': 1176017, 'reputation': 19237, 'user_id': 1152045, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/xuvtX.png?s=256&g=1', 'display_name': 'ngplayground', 'link': 'https://stackoverflow.com/users/1152045/ngplayground'}",True,759353,9,154,1666129117,1349947093,1637586050.0,12836227,CC BY-SA 4.0,https://stackoverflow.com/questions/12836227/change-select-box-option-background-color,Change select box option background color,12836286.0,1535133421.0,,,,
13,"['css', 'css-float']","{'user_type': 'does_not_exist', 'display_name': 'user1708560'}",True,201088,5,315,1666042860,1350119852,1502545922.0,12871710,CC BY-SA 3.0,https://stackoverflow.com/questions/12871710/what-does-the-css-rule-clear-both-do,What does the CSS rule &quot;clear: both&quot; do?,12871734.0,1389021099.0,,,,
14,"['html', 'width', 'block', 'css']","{'account_id': 153728, 'reputation': 6455, 'user_id': 369185, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/23DaY.jpg?s=256&g=1', 'display_name': 'Staffan Estberg', 'link': 'https://stackoverflow.com/users/369185/staffan-estberg'}",True,100868,9,116,1665595358,1349266994,1349289993.0,12708381,CC BY-SA 3.0,https://stackoverflow.com/questions/12708381/display-block-without-100-width,Display block without 100% width,12708999.0,,,,,
15,"['css', 'xml', 'asp.net-mvc', 'json', 'razor']","{'account_id': 105082, 'reputation': 22080, 'user_id': 280602, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/wHKmF.jpg?s=256&g=1', 'display_name': 'Mike Flynn', 'link': 'https://stackoverflow.com/users/280602/mike-flynn'}",True,20715,3,11,1665054211,1349196052,,12694571,CC BY-SA 3.0,https://stackoverflow.com/questions/12694571/display-formatted-json-in-the-view-in-asp-net-mvc,Display formatted JSON in the view in ASP.NET MVC,12694708.0,,,,,
