,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason
0,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 10622262, 'reputation': 137, 'user_id': 7823016, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ca82d2a4a4901c9bbae905ff4e928ddf?s=256&d=identicon&r=PG&f=1', 'display_name': 'user7823016', 'link': 'https://stackoverflow.com/users/7823016/user7823016'}",True,4337,66629980.0,2,4,1669129016,1615737012,66626487,CC BY-SA 4.0,https://stackoverflow.com/questions/66626487/hiding-sidebar-component-on-outside-click,Hiding Sidebar Component on Outside Click,,,,
1,"['javascript', 'html', 'css']","{'account_id': 17716948, 'reputation': 27, 'user_id': 12863036, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/nFqFG.jpg?s=256&g=1', 'display_name': 'Amin Gholami', 'link': 'https://stackoverflow.com/users/12863036/amin-gholami'}",True,200,66543465.0,4,0,1669125174,1615209438,66530574,CC BY-SA 4.0,https://stackoverflow.com/questions/66530574/validation-password-and-show-password-are-not-working-with-value-match-in-javasc,Validation password and show password are not working with value.match in javascript and password type in HTML,1615278729.0,,,
2,"['html', 'css', 'border']","{'account_id': 14358563, 'reputation': 173, 'user_id': 10371641, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dff72bc1275dbaf35785cfdbd2fc9060?s=256&d=identicon&r=PG&f=1', 'display_name': 'Clown', 'link': 'https://stackoverflow.com/users/10371641/clown'}",False,270,,0,1,1669041050,1615782767,66632418,CC BY-SA 4.0,https://stackoverflow.com/questions/66632418/how-can-i-collapse-border-of-only-one-row-in-table-html,How can I collapse border of only one row in table HTML,1669041050.0,,,
3,"['php', 'html', 'css']","{'account_id': 20912676, 'reputation': 19, 'user_id': 15363193, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/961a958cd142c6673897333ef1eaa948?s=256&d=identicon&r=PG&f=1', 'display_name': 'Faruk &#199;elik', 'link': 'https://stackoverflow.com/users/15363193/faruk-%c3%87elik'}",True,55,,1,-2,1668975039,1615314751,66552777,CC BY-SA 4.0,https://stackoverflow.com/questions/66552777/my-css-class-code-doesnt-works-it-should-at-be-the-bottom-but-its-now-working,"My css class code doesnt works, it should at be the bottom but it&#39;s now working",1668975039.0,,,
4,"['css', 'bootstrap-4']","{'account_id': 20406058, 'reputation': 77, 'user_id': 14970599, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/39d85786a6509955774f4da6da26282f?s=256&d=identicon&r=PG&f=1', 'display_name': 'anpanman', 'link': 'https://stackoverflow.com/users/14970599/anpanman'}",True,106,66683292.0,2,-1,1668933556,1616026973,66683120,CC BY-SA 4.0,https://stackoverflow.com/questions/66683120/css-rotate-is-not-work-media-query-does-not-change-back-after-rotating,CSS rotate is not work @media query does not change back after rotating,,,,
5,"['css', 'next.js']","{'account_id': 2574632, 'reputation': 1665, 'user_id': 2232620, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/843451a0b102eb186b3494e6a009e9e1?s=256&d=identicon&r=PG', 'display_name': 'Coherent', 'link': 'https://stackoverflow.com/users/2232620/coherent'}",True,23415,,4,18,1668794602,1616963265,66845889,CC BY-SA 4.0,https://stackoverflow.com/questions/66845889/next-js-image-how-to-maintain-aspect-ratio-and-add-letterboxes-when-needed,Next.js Image- how to maintain aspect ratio and add letterboxes when needed,,,,
6,"['html', 'css', 'reactjs', 'overflow', 'chakra-ui']","{'account_id': 7929172, 'reputation': 1533, 'user_id': 6059506, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/d66a6a2103f5f4acc19e94effa7f5f4e?s=256&d=identicon&r=PG&f=1', 'display_name': 'theprogrammer', 'link': 'https://stackoverflow.com/users/6059506/theprogrammer'}",True,1576,66524868.0,2,0,1668561631,1615165234,66523133,CC BY-SA 4.0,https://stackoverflow.com/questions/66523133/why-does-react-chakra-ui-overflow-not-work,Why does react chakra-ui overflow not work?,,,,
7,"['javascript', 'css', 'leaflet']","{'account_id': 276507, 'reputation': 15358, 'user_id': 569976, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/7872694d27b3b6fd8d71297a4799a82b?s=256&d=identicon&r=PG', 'display_name': 'neubert', 'link': 'https://stackoverflow.com/users/569976/neubert'}",True,52,74398597.0,2,1,1668146734,1614949152,66493037,CC BY-SA 4.0,https://stackoverflow.com/questions/66493037/creating-a-popup-thats-not-tied-to-a-gps-coordinate,creating a popup that&#39;s not tied to a GPS coordinate?,1614949752.0,,,
8,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 15348651, 'reputation': 168, 'user_id': 11073182, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/tMVKh.jpg?s=256&g=1', 'display_name': 'lukew3', 'link': 'https://stackoverflow.com/users/11073182/lukew3'}",True,1428,66592696.0,1,2,1668044172,1615510109,66592646,CC BY-SA 4.0,https://stackoverflow.com/questions/66592646/is-it-possible-to-create-a-video-from-a-javascript-animation,Is it possible to create a video from a Javascript animation?,1652729305.0,,,
9,"['css', 'reactjs', 'css-modules', 'moveabletype']","{'account_id': 2177872, 'reputation': 400, 'user_id': 1928113, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/88510033683341e589d63f988f3f941a?s=256&d=identicon&r=PG', 'display_name': 'Shakedk', 'link': 'https://stackoverflow.com/users/1928113/shakedk'}",True,663,67022242.0,2,1,1668033179,1616615021,66788247,CC BY-SA 4.0,https://stackoverflow.com/questions/66788247/react-moveable-and-css-modules-cant-apply-css-styling,react-moveable and css modules - cant apply css styling,,,,
