,word,count
0,html,329
1,javascript,183
2,page,165
3,css,149
4,div,139
5,image,137
6,button,125
7,text,117
8,file,110
9,element,108
10,jquery,100
11,form,92
12,input,90
13,js,89
14,value,89
15,quot,81
16,tag,77
17,i,75
18,table,71
19,bootstrap,71
20,gt,69
21,function,67
22,code,65
23,t,65
24,content,56
25,class,53
26,php,50
27,list,49
28,background,48
29,way,47
30,change,46
31,box,44
32,position,44
33,error,43
34,color,43
35,click,41
36,link,38
37,column,38
38,video,36
39,hover,35
40,problem,34
41,s,34
42,line,34
43,style,33
44,field,32
45,space,31
46,width,31
47,browser,31
48,array,31
49,python,30
50,script,30
51,event,29
52,menu,29
53,attribute,29
54,work,28
55,show,27
56,lt,27
57,chrome,27
58,size,27
59,app,27
60,template,26
61,parent,26
62,container,26
63,row,26
64,option,25
65,component,25
66,bar,24
67,child,24
68,post,24
69,user,24
70,custom,24
71,django,24
72,display,24
73,scroll,23
74,height,23
75,navbar,23
76,json,23
77,window,23
78,id,22
79,modal,22
80,checkbox,21
81,google,21
82,web,21
83,time,21
84,divs,21
85,border,21
86,slider,20
87,webpage,20
88,property,20
89,cannot,20
90,header,20
91,canvas,20
92,selenium,20
93,center,20
94,svg,20
95,database,19
96,type,19
97,icon,19
98,animation,19
99,side,19
100,number,18
101,use,18
102,html5,18
103,item,18
104,date,18
105,ajax,18
106,string,17
107,dom,17
108,iframe,17
109,section,17
110,issue,17
111,react,16
112,selection,16
113,radio,16
114,view,16
115,navigation,16
116,select,16
117,load,16
118,website,16
119,path,15
120,loop,15
121,index,15
122,search,15
123,dropdown,15
124,title,15
125,request,15
126,grid,15
127,amp,15
128,word,15
129,submit,15
130,server,14
131,vue,14
132,email,14
133,pdf,14
134,tab,14
135,document,14
136,access,14
137,block,14
138,li,14
139,method,14
140,align,14
141,drop,14
142,span,14
143,layout,13
144,carousel,13
145,default,13
146,screen,13
147,name,13
148,columns,13
149,part,13
150,call,13
151,editor,12
152,site,12
153,flask,12
154,bottom,12
155,beautifulsoup,12
156,href,12
157,doesn,12
158,mysql,11
159,java,11
160,card,11
161,typeerror,11
162,edge,11
163,control,11
164,auto,11
165,td,11
166,get,11
167,url,11
168,application,11
169,anchor,11
170,body,10
171,margin,10
172,parameter,10
173,scrollbar,10
174,map,10
175,place,10
176,project,10
177,validation,10
178,sidebar,10
179,audio,9
180,reload,9
181,source,9
182,footer,9
183,prevent,9
184,absolute,9
185,outlook,9
186,information,9
187,right,9
188,gradient,9
189,textbox,9
190,effect,9
191,img,9
192,focus,8
193,range,8
194,object,8
195,material,8
196,flexbox,8
197,area,8
198,api,8
199,filter,8
200,result,8
201,textarea,8
202,break,8
203,query,8
204,node,8
205,label,8
206,response,8
207,hide,8
208,mode,7
209,transition,7
210,tooltip,7
211,group,7
212,message,7
213,data,7
214,state,7
215,format,7
216,c,7
217,selector,7
218,overlay,7
219,variable,7
220,jsp,7
221,check,7
222,desktop,7
223,slide,7
224,xpath,7
225,store,7
226,storage,7
227,target,7
228,create,7
229,mvc,7
230,p,7
231,update,7
232,paragraph,7
233,leaflet,7
234,mouse,7
235,alignment,7
236,left,7
237,output,7
238,wrap,6
239,safari,6
240,innerhtml,6
241,edit,6
242,dialog,6
243,set,6
244,sheet,6
245,frame,6
246,zoom,6
247,cursor,6
248,security,6
249,policy,6
250,csv,6
251,sql,6
252,popup,6
253,game,6
254,shadow,6
255,arrow,6
256,behavior,6
257,panel,6
258,session,6
259,mat,6
260,xml,6
261,soup,6
262,br,6
263,player,6
264,log,6
265,pagination,6
266,collapse,5
267,press,5
268,pop,5
269,middle,5
270,blogger,5
271,convert,5
272,explorer,5
273,print,5
274,theme,5
275,circle,5
276,chart,5
277,z,5
278,picture,5
279,help,5
280,share,5
281,gmail,5
282,render,5
283,firefox,5
284,http,5
285,play,5
286,boostrap,5
287,electron,5
288,multiple,5
289,directory,5
290,float,5
291,apps,5
292,return,5
293,picker,5
294,add,5
295,length,5
296,styling,5
297,spring,5
298,src,5
299,slideshow,5
300,signature,5
301,program,5
302,core,5
303,pass,5
304,m,5
305,statement,5
306,cell,5
307,rest,5
308,accordion,5
309,autoplay,4
310,operator,4
311,studio,4
312,v,4
313,non,4
314,blog,4
315,console,4
316,send,4
317,mail,4
318,phone,4
319,whatsapp,4
320,enter,4
321,font,4
322,fit,4
323,extension,4
324,client,4
325,solution,4
326,min,4
327,design,4
328,toggle,4
329,package,4
330,fetch,4
331,amount,4
332,gallery,4
333,square,4
334,redirect,4
335,price,4
336,calculator,4
337,none,4
338,scrape,4
339,r,4
340,library,4
341,refresh,4
342,condition,4
343,datalist,4
344,cloud,4
345,vs,4
346,language,4
347,widget,4
348,confusion,4
349,action,4
350,wordpress,4
351,keyboard,4
352,hyperlink,4
353,rotate,4
354,plugin,4
355,transform,4
356,github,4
357,description,4
358,www,4
359,folder,4
360,onclick,4
361,drag,4
362,top,4
363,triangle,4
364,history,4
365,webbrowser,4
366,end,4
367,level,4
368,e,4
369,password,4
370,gap,4
371,y,4
372,https,4
373,performance,4
374,opacity,4
375,switch,4
376,location,4
377,hovering,4
378,mp4,3
379,submission,3
380,angular,3
381,ellipsis,3
382,direction,3
383,isn,3
384,doesnt,3
385,autofill,3
386,hidden,3
387,track,3
388,excel,3
389,onchange,3
390,pre,3
391,col,3
392,conflict,3
393,generator,3
394,module,3
395,internet,3
396,favicon,3
397,max,3
398,record,3
399,thumbnail,3
400,term,3
401,apple,3
402,codeigniter,3
403,iphone,3
404,vba,3
405,null,3
406,bind,3
407,resource,3
408,webview,3
409,flutter,3
410,webpack,3
411,multi,3
412,developer,3
413,dashboard,3
414,force,3
415,ion,3
416,tabulator,3
417,success,3
418,read,3
419,computer,3
420,formatting,3
421,kendo,3
422,ancestor,3
423,framework,3
424,start,3
425,capture,3
426,progress,3
427,compatibility,3
428,counter,3
429,fade,3
430,flex,3
431,vanilla,3
432,base,3
433,context,3
434,meta,3
435,paragraphs,3
436,entry,3
437,ie,3
438,laravel,3
439,stroke,3
440,hamburger,3
441,controller,3
442,getelementbyid,3
443,webdriver,3
444,timer,3
445,need,3
446,tabs,3
447,inline,3
448,wall,3
449,md,3
450,append,3
451,caption,3
452,chat,3
453,clock,3
454,eventlistener,3
455,portion,3
456,parallax,3
457,alternative,3
458,device,3
459,please,3
460,sound,3
461,order,3
462,keyframe,3
463,example,3
464,regardless,3
465,detect,3
466,apply,3
467,express,3
468,offset,3
469,reason,3
470,settimeout,3
471,pattern,3
472,anyone,3
473,htaccess,3
474,interaction,2
475,socket,2
476,jinja,2
477,dash,2
478,reverse,2
479,pwa,2
480,python3,2
481,mustache,2
482,ngmodel,2
483,shape,2
484,reference,2
485,wysiwyg,2
486,prettier,2
487,discord,2
488,practice,2
489,ckeditor,2
490,pause,2
491,spinner,2
492,tree,2
493,passing,2
494,multiline,2
495,overflow,2
496,layer,2
497,reactjs,2
498,sandbox,2
499,completion,2
500,manage,2
501,photo,2
502,puppeteer,2
503,argument,2
504,webscraper,2
505,sticky,2
506,camera,2
507,dataframe,2
508,depend,2
509,blazor,2
510,copy,2
511,edgar,2
512,badge,2
513,offline,2
514,backdrop,2
515,blur,2
516,division,2
517,timezone,2
518,plyr,2
519,callback,2
520,sub,2
521,wheel,2
522,split,2
523,pandas,2
524,videos,2
525,ie11,2
526,referrer,2
527,entity,2
528,clipboard,2
529,io,2
530,shrink,2
531,printing,2
532,step,2
533,cache,2
534,localhost,2
535,host,2
536,distance,2
537,half,2
538,viewport,2
539,office,2
540,don,2
541,highlight,2
542,azure,2
543,move,2
544,version,2
545,today,2
546,boot,2
547,reader,2
548,wait,2
549,transparent,2
550,sign,2
551,binding,2
552,radius,2
553,webkit,2
554,thunderbird,2
555,nav,2
556,specific,2
557,support,2
558,clip,2
559,functionality,2
560,populate,2
561,spacebar,2
562,mix,2
563,crud,2
564,bootstrap4,2
565,tcpdf,2
566,bokeh,2
567,someone,2
568,front,2
569,spreadsheet,2
570,weird,2
571,notification,2
572,removal,2
573,ability,2
574,marker,2
575,expression,2
576,process,2
577,stack,2
578,pick,2
579,origin,2
580,angle,2
581,twig,2
582,month,2
583,pointer,2
584,everything,2
585,razor,2
586,datatable,2
587,heroku,2
588,buildpack,2
589,nodejs,2
590,listener,2
591,trigger,2
592,implement,2
593,bs4,2
594,g,2
595,pair,2
596,banner,2
597,accessibility,2
598,appear,2
599,scrolling,2
600,servlet,2
601,filename,2
602,gridview,2
603,connection,2
604,question,2
605,connect,2
606,technology,2
607,addeventlistener,2
608,chartjs,2
609,freeze,2
610,mobile,2
611,css3,2
612,article,2
613,loader,2
614,rectangle,2
615,responsive,2
616,character,2
617,look,2
618,system,2
619,day,2
620,cycle,2
621,justify,2
622,scene,2
623,upload,2
624,comment,2
625,extract,2
626,innertext,2
627,firebase,2
628,tv,2
629,angularjs,2
630,substring,2
631,behaviour,2
632,messenger,2
633,newsletter,2
634,x,2
