,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,community_owned_date
0,"['javascript', 'html', 'input']","{'account_id': 1640666, 'reputation': 1852, 'user_id': 1513171, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/5e46ebc28397916824beae908a3110bd?s=256&d=identicon&r=PG', 'display_name': 'user1513171', 'link': 'https://stackoverflow.com/users/1513171/user1513171'}",True,65839,13607453.0,11,33,1669220463,1354112592,1662821251.0,13607278,CC BY-SA 4.0,https://stackoverflow.com/questions/13607278/html5-restricting-input-characters,HTML5 restricting input characters,,,,,
1,"['css', 'html', 'html-table']","{'account_id': 174918, 'reputation': 13054, 'user_id': 404568, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://i.stack.imgur.com/W1j32.jpg?s=256&g=1', 'display_name': 'David Given', 'link': 'https://stackoverflow.com/users/404568/david-given'}",False,2095,,2,8,1669199743,1353280689,1519574323.0,13445653,CC BY-SA 3.0,https://stackoverflow.com/questions/13445653/table-columns-with-relative-size-in-html5,Table columns with relative size in HTML5,,,,,
2,"['javascript', 'jquery', 'html', 'twitter-bootstrap', 'twitter-bootstrap-tooltip']","{'account_id': 1125923, 'reputation': 12692, 'user_id': 1113216, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/22a19975c6e3dc8c25d79bcf7814f601?s=256&d=identicon&r=PG', 'display_name': 'Lorraine Bernard', 'link': 'https://stackoverflow.com/users/1113216/lorraine-bernard'}",True,198524,13316157.0,20,212,1669047345,1352477031,1565776022.0,13311574,CC BY-SA 4.0,https://stackoverflow.com/questions/13311574/how-to-enable-bootstrap-tooltip-on-disabled-button,How to enable Bootstrap tooltip on disabled button?,,,,,
3,"['html', 'css', 'onclick']","{'account_id': 1612536, 'reputation': 7204, 'user_id': 1491095, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/a0f783197120b449becc11025ceef9ec?s=256&d=identicon&r=PG', 'display_name': 'Alegro', 'link': 'https://stackoverflow.com/users/1491095/alegro'}",True,1505310,13630259.0,14,460,1668604718,1354206478,1660149486.0,13630229,CC BY-SA 4.0,https://stackoverflow.com/questions/13630229/can-i-have-an-onclick-effect-in-css,Can I have an onclick effect in CSS?,1374560358.0,,,,
4,"['html', 'css', 'svg']","{'account_id': 292098, 'reputation': 5415, 'user_id': 594646, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/756da3a3c911696339c8eaa255c0f93e?s=256&d=identicon&r=PG', 'display_name': 'Joe', 'link': 'https://stackoverflow.com/users/594646/joe'}",True,583898,27827090.0,24,451,1668554832,1352836963,1627229861.0,13367868,CC BY-SA 4.0,https://stackoverflow.com/questions/13367868/how-to-modify-the-fill-color-of-an-svg-image-when-being-served-as-background-ima,How to modify the fill color of an SVG image when being served as background image?,,,,,
5,"['html', 'css', 'forms', 'xhtml', 'radio-button']","{'account_id': 1967842, 'reputation': 1444, 'user_id': 1767589, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/bd1f6a5abf25570c265a62b4ba2c6a74?s=256&d=identicon&r=PG', 'display_name': 'ninjacoder', 'link': 'https://stackoverflow.com/users/1767589/ninjacoder'}",True,207848,,14,111,1668478801,1353577818,1353578363.0,13509883,CC BY-SA 3.0,https://stackoverflow.com/questions/13509883/how-to-vertically-align-a-html-radio-button-to-its-label,How to vertically align a html radio button to it&#39;s label?,,,,,
6,"['html', 'css']","{'account_id': 1864807, 'reputation': 1827, 'user_id': 1688631, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/1e4160858c2965d9ccf97c4a72cf3ddf?s=256&d=identicon&r=PG', 'display_name': 'harikrishnan.n0077', 'link': 'https://stackoverflow.com/users/1688631/harikrishnan-n0077'}",True,41077,13526971.0,11,48,1667667377,1353665461,1495542832.0,13526883,CC BY-SA 3.0,https://stackoverflow.com/questions/13526883/using-a-auto-margin-in-css-but-want-a-minimum-margin,Using a auto margin in css but want a minimum margin,,,,,
7,"['html', 'css']","{'account_id': 2089647, 'reputation': 123, 'user_id': 1859773, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/6b8fa215d05639e986e526ffa16a3d7f?s=256&d=identicon&r=PG', 'display_name': 'Sebastian', 'link': 'https://stackoverflow.com/users/1859773/sebastian'}",True,80,13605061.0,5,1,1666367552,1354105228,1666367552.0,13604941,CC BY-SA 4.0,https://stackoverflow.com/questions/13604941/ordering-two-columns-avoiding-skip-to-new-line,"Ordering two columns, avoiding skip to new line",,,,,
8,"['html', 'css', 'css-float']","{'account_id': 1063634, 'reputation': 6743, 'user_id': 1064717, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/lJtwA.png?s=256&g=1', 'display_name': 'coiso', 'link': 'https://stackoverflow.com/users/1064717/coiso'}",True,86,13263777.0,5,1,1665854394,1352239976,1352370269.0,13260258,CC BY-SA 3.0,https://stackoverflow.com/questions/13260258/filling-area-with-elements-using-float,filling area with elements using float,,,,,
9,"['html', 'header', 'download']","{'account_id': 283140, 'reputation': 2604, 'user_id': 580488, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://graph.facebook.com/618886238/picture?type=large', 'display_name': 'keepwalking', 'link': 'https://stackoverflow.com/users/580488/keepwalking'}",True,26334,,3,14,1665743684,1353320145,1365766067.0,13451720,CC BY-SA 3.0,https://stackoverflow.com/questions/13451720/force-external-download-url,Force external download url,,,,,
