,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from
0,"['javascript', 'html', 'css', 'accordion']","{'account_id': 1786911, 'reputation': 990, 'user_id': 1628193, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/63024b1b348c2d5237177ea5a8868b02?s=256&d=identicon&r=PG', 'display_name': 'Nesta', 'link': 'https://stackoverflow.com/users/1628193/nesta'}",True,91,67063255.0,1,0,1669046309,1618248644,1669046309.0,67063023,CC BY-SA 4.0,https://stackoverflow.com/questions/67063023/collapse-accordion-panel-when-another-one-opens,Collapse accordion panel when another one opens,,,,
1,"['javascript', 'html', 'css', 'accordion']","{'account_id': 1786911, 'reputation': 990, 'user_id': 1628193, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/63024b1b348c2d5237177ea5a8868b02?s=256&d=identicon&r=PG', 'display_name': 'Nesta', 'link': 'https://stackoverflow.com/users/1628193/nesta'}",True,190,67071409.0,4,0,1669046293,1618302266,1669046293.0,67071217,CC BY-SA 4.0,https://stackoverflow.com/questions/67071217/add-or-remove-class-only-to-the-accordion-panel-that-got-clicked,Add or remove class only to the accordion panel that got clicked,,,,
2,"['html', 'reactjs', 'html5-video', 'capturestream']","{'account_id': 15297218, 'reputation': 21, 'user_id': 11036872, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-CemofTyqX7g/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQNuHnslPAfqASHbBw_3qZEQrOYt2Q/mo/photo.jpg?sz=256', 'display_name': 'hachi09', 'link': 'https://stackoverflow.com/users/11036872/hachi09'}",False,150,,0,0,1669006636,1619081363,1669006636.0,67209874,CC BY-SA 4.0,https://stackoverflow.com/questions/67209874/how-to-call-capturestream-method-of-htmlvideoelement-in-react,How to call captureStream method of HTMLVideoElement in React,,,,
3,"['python', 'html', 'flask', 'visual-studio-code', 'python-dotenv']","{'account_id': 20930300, 'reputation': 57, 'user_id': 15376837, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e5c2ca9758e6b0016787c05e50a93531?s=256&d=identicon&r=PG&f=1', 'display_name': 'Heidar-An', 'link': 'https://stackoverflow.com/users/15376837/heidar-an'}",True,3271,67158710.0,3,1,1668923552,1618752849,1618757800.0,67149169,CC BY-SA 4.0,https://stackoverflow.com/questions/67149169/no-module-named-dotenv-in-visual-studio-code,no module named &quot;dotenv&quot; in visual studio code,,,,
4,"['javascript', 'html', 'npm', 'svg', 'parceljs']","{'account_id': 7532689, 'reputation': 856, 'user_id': 5720206, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/ab16b38ae65f1fcbf9c223662b408c27?s=256&d=identicon&r=PG&f=1', 'display_name': 'Karanveer Singh', 'link': 'https://stackoverflow.com/users/5720206/karanveer-singh'}",True,5125,67136504.0,4,19,1668579917,1618386815,1637395586.0,67087634,CC BY-SA 4.0,https://stackoverflow.com/questions/67087634/parcel-js-tree-render-is-not-a-function,Parcel JS: tree.render is not a function,,,,
5,"['javascript', 'html', 'css', 'animation']","{'account_id': 1480413, 'reputation': 507, 'user_id': 1389946, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/a83cc91d34216f34c708b44dc83de36b?s=256&d=identicon&r=PG', 'display_name': 'Dima', 'link': 'https://stackoverflow.com/users/1389946/dima'}",True,1574,,1,2,1668256528,1617658277,,66960023,CC BY-SA 4.0,https://stackoverflow.com/questions/66960023/animate-number-increments-with-css-animate-css-property-integer-with-keyframes,Animate number increments with CSS (Animate CSS @property integer with keyframes),,,,
6,"['javascript', 'python', 'html', 'pywebview']","{'account_id': 20291879, 'reputation': 227, 'user_id': 14883370, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5G3QO.png?s=256&g=1', 'display_name': 'JueK3y', 'link': 'https://stackoverflow.com/users/14883370/juek3y'}",True,880,67617153.0,2,0,1668108403,1619076222,,67208598,CC BY-SA 4.0,https://stackoverflow.com/questions/67208598/close-pywebview-window-with-html-button-click,Close PyWebView Window with HTML Button click,,,,
7,"['html', 'css', 'vue.js']","{'account_id': 21082290, 'reputation': 31, 'user_id': 15496325, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/07d21eb5dfaafa2d947cfa89172d1679?s=256&d=identicon&r=PG&f=1', 'display_name': 'pikuio625', 'link': 'https://stackoverflow.com/users/15496325/pikuio625'}",True,534,,2,1,1668102284,1618763480,1667993666.0,67150900,CC BY-SA 4.0,https://stackoverflow.com/questions/67150900/how-to-have-full-screen-background,How to have full-screen background?,,,,
8,"['html', 'css']","{'account_id': 21354653, 'reputation': 21, 'user_id': 15723770, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiLY4RxCsbofbf9xbLVPeY-mWvSNESnEASiDQpgKg=k-s256', 'display_name': 'Suhaib Ahmed', 'link': 'https://stackoverflow.com/users/15723770/suhaib-ahmed'}",True,68,67200447.0,2,0,1667994235,1619022829,1619051598.0,67199928,CC BY-SA 4.0,https://stackoverflow.com/questions/67199928/how-do-i-make-my-container-increase-itself-when-the-children-increase,How do I make my container increase itself when the children increase?,,,,
9,"['html', 'css']","{'account_id': 7140475, 'reputation': 113, 'user_id': 13319982, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d904774ce84e8d50b4df7eee7cfc86a5?s=256&d=identicon&r=PG&f=1', 'display_name': 'venndi', 'link': 'https://stackoverflow.com/users/13319982/venndi'}",True,1492,,4,0,1667994042,1619165830,,67226390,,https://stackoverflow.com/questions/67226390/how-to-fit-image-height-to-the-parent-divs-height,How to fit image height to the parent div&#39;s height,1619175901.0,Duplicate,,
