,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['javascript', 'html', 'vega-lite', 'vega']","{'account_id': 3434881, 'reputation': 21, 'user_id': 2878224, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5239a6f2b809d51b8267a19d34d132d5?s=256&d=identicon&r=PG&f=1', 'display_name': 'mjpro', 'link': 'https://stackoverflow.com/users/2878224/mjpro'}",False,113,1,2,1669095064,1658158522,1658160639.0,73024956,CC BY-SA 4.0,https://stackoverflow.com/questions/73024956/vega-lite-filter-out-bar-chart-values-by-interacting-with-legend,Vega Lite - Filter out bar chart values by interacting with legend,,,,
1,"['html', 'css', 'css-position', 'bootstrap-5']","{'account_id': 1064381, 'reputation': 705, 'user_id': 1065313, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/eb5c5e97cfebef555559c78e220c2c10?s=256&d=identicon&r=PG', 'display_name': 'Rothens', 'link': 'https://stackoverflow.com/users/1065313/rothens'}",True,263,1,-1,1669057859,1657632167,1657635981.0,72953043,CC BY-SA 4.0,https://stackoverflow.com/questions/72953043/how-to-align-text-on-both-sides-of-a-bootstrap-switch,How to align text on both sides of a Bootstrap switch,72954072.0,,,
2,"['javascript', 'html', 'django']","{'account_id': 25230965, 'reputation': 3, 'user_id': 19066129, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzrDRohMb9WP3Gvc04U6Ip96RDYIQ5zo5yLXyEP=k-s256', 'display_name': 'deniz', 'link': 'https://stackoverflow.com/users/19066129/deniz'}",False,921,2,0,1669045394,1656623761,1656623795.0,72822120,CC BY-SA 4.0,https://stackoverflow.com/questions/72822120/capturing-an-image-from-the-computers-camera-and-saving-it,Capturing An Image From The Computer&#39;s Camera And Saving It,,,,
3,"['javascript', 'html', 'reactjs', 'editorjs']","{'account_id': 13640849, 'reputation': 143, 'user_id': 9840884, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/BAGZa.jpg?s=256&g=1', 'display_name': 'Vyacheslav Fedorin', 'link': 'https://stackoverflow.com/users/9840884/vyacheslav-fedorin'}",False,272,0,1,1668894636,1658325883,,73053123,CC BY-SA 4.0,https://stackoverflow.com/questions/73053123/editor-js-how-to-add-unique-block-id-for-each-editor-element-as-id-attribute,Editor.js: how to add unique block id for each editor element as &#39;id&#39; attribute?,,,,
4,"['python', 'html', 'flask', 'web-applications', 'httpresponse']","{'account_id': 10890911, 'reputation': 272, 'user_id': 8006721, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6362471fab1b1ba7fc9f2541beebd082?s=256&d=identicon&r=PG&f=1', 'display_name': 'sushi', 'link': 'https://stackoverflow.com/users/8006721/sushi'}",True,461,3,3,1668843006,1658536752,,73087264,CC BY-SA 4.0,https://stackoverflow.com/questions/73087264/flask-load-new-page-after-streaming-data,Flask Load New Page After Streaming Data,73160662.0,,,
5,"['python', 'html', 'pyscript']","{'account_id': 23211045, 'reputation': 23, 'user_id': 19615620, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gguonn86B24sDqaCosHP0_mwKK0n3xUm5fpwuErsLk=k-s256', 'display_name': 'Miguel Ramirez', 'link': 'https://stackoverflow.com/users/19615620/miguel-ramirez'}",True,485,1,2,1668523443,1658733731,1658781175.0,73105350,CC BY-SA 4.0,https://stackoverflow.com/questions/73105350/from-pyscript-how-can-i-access-the-file-that-i-load-from-html,"From pyscript, how can I access the file that I load from html?",73125530.0,,,
6,"['html', 'mime-types', 'content-type', 'mime', 'modx']","{'account_id': 25907147, 'reputation': 1, 'user_id': 19632052, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmmY7oDYWpJ1jRG_KYhfaviMbikHuD9o3SMhq4qx=k-s256', 'display_name': 'Manfred Kn&#246;bel', 'link': 'https://stackoverflow.com/users/19632052/manfred-kn%c3%b6bel'}",True,39,2,0,1668518668,1658918922,,73136562,CC BY-SA 4.0,https://stackoverflow.com/questions/73136562/modx-change-mime-type-for-images,Modx change mime type for images,,,,
7,"['javascript', 'html', 'tradingview-api']","{'account_id': 25799460, 'reputation': 26, 'user_id': 19542121, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/kgTAG.jpg?s=256&g=1', 'display_name': 'devmgod', 'link': 'https://stackoverflow.com/users/19542121/devmgod'}",False,169,0,0,1668412032,1657722781,1657910937.0,72968060,CC BY-SA 4.0,https://stackoverflow.com/questions/72968060/brokerage-integration-with-tradingview-api,Brokerage integration with tradingview api,,,,
8,"['html', 'css', 'angular', 'bootstrap-5', 'bootstrap-icons']","{'account_id': 25810302, 'reputation': 1, 'user_id': 19551194, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f20c6a5988eba2c090806c0d8238e3f?s=256&d=identicon&r=PG', 'display_name': 'Swaraj Behera', 'link': 'https://stackoverflow.com/users/19551194/swaraj-behera'}",True,840,3,0,1668405812,1657819379,,72984410,CC BY-SA 4.0,https://stackoverflow.com/questions/72984410/i-want-to-incorporate-bootstrap-icons-in-an-angular-project-but-it-is-not-workin,I want to incorporate bootstrap-icons in an angular project but it is not working,,,,
9,"['html', 'css', 'reactjs', 'email']","{'account_id': 24734451, 'reputation': 23, 'user_id': 18622011, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzqYLVwTjrZrfdT5Ib2UWxuLJ4iu7DbG3XCJWK7=k-s256', 'display_name': 'ANSHU JOSHI', 'link': 'https://stackoverflow.com/users/18622011/anshu-joshi'}",False,81,2,0,1668364112,1658251745,,73041224,CC BY-SA 4.0,https://stackoverflow.com/questions/73041224/why-email-js-not-sending-mail-when-using-from-react-app,Why email js not sending mail when using from react app?,,,,
10,"['php', 'html', 'css', 'laravel']","{'account_id': 24320946, 'reputation': 1, 'user_id': 18261351, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzRyOPCw1hrijVP30djJS1m8jZdDU-ApXoEtoFi=k-s256', 'display_name': 'zeeshan shoukat', 'link': 'https://stackoverflow.com/users/18261351/zeeshan-shoukat'}",False,43,2,0,1668061895,1658373590,,73060311,CC BY-SA 4.0,https://stackoverflow.com/questions/73060311/image-not-showing-on-browser-laravel,Image not showing on browser laravel,,,,
11,"['javascript', 'html', 'angular', 'popover', 'auto-close']","{'account_id': 25789858, 'reputation': 1, 'user_id': 19534100, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmkF2EMDsLwqtk2-4p9Q0A9COHL_ATo4_iDmvoSK=k-s256', 'display_name': 'Anand Joshi', 'link': 'https://stackoverflow.com/users/19534100/anand-joshi'}",False,73,1,0,1668012645,1657693881,,72961839,CC BY-SA 4.0,https://stackoverflow.com/questions/72961839/angular-11-ng-popover-close-automatically-when-selecting-date-from-ng-popover,Angular 11: Ng-popover close automatically when selecting date from Ng-popover,,,,
12,"['html', 'reactjs', 'bootstrap-4', 'accordion', 'bootstrap-accordion']","{'account_id': 15529176, 'reputation': 25, 'user_id': 11454315, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-RxRNHmKGHR8/AAAAAAAAAAI/AAAAAAAAAAs/gFFFihqRiQE/photo.jpg?sz=256', 'display_name': 'Tanmay Patel', 'link': 'https://stackoverflow.com/users/11454315/tanmay-patel'}",False,591,2,0,1667999935,1657011801,,72866715,CC BY-SA 4.0,https://stackoverflow.com/questions/72866715/bootstrap-accordion-not-working-properly-in-react,Bootstrap Accordion not working properly in React,,,,
