,word,count
0,java,723
1,class,111
2,file,102
3,spring,62
4,quot,62
5,application,60
6,method,54
7,code,50
8,hibernate,49
9,way,48
10,error,47
11,eclipse,47
12,problem,45
13,object,39
14,array,36
15,s,36
16,string,36
17,value,35
18,web,35
19,server,34
20,t,33
21,tomcat,30
22,xml,29
23,project,27
24,type,27
25,memory,27
26,access,27
27,service,26
28,list,25
29,exception,25
30,session,25
31,source,25
32,jar,24
33,connection,24
34,time,24
35,applet,24
36,use,24
37,jsp,24
38,client,23
39,app,23
40,servlet,23
41,text,22
42,jpa,22
43,line,22
44,google,22
45,output,22
46,equivalent,20
47,apache,20
48,path,20
49,vs,19
50,gt,19
51,custom,19
52,parameter,19
53,database,19
54,junit,18
55,gwt,18
56,difference,18
57,field,18
58,jboss,18
59,name,17
60,program,17
61,x,17
62,implementation,17
63,performance,17
64,function,16
65,question,16
66,directory,16
67,image,16
68,jdbc,16
69,collection,16
70,engine,16
71,api,16
72,process,16
73,tool,15
74,command,15
75,test,15
76,system,15
77,socket,15
78,framework,15
79,war,15
80,c,14
81,development,14
82,runtime,14
83,lt,14
84,i,14
85,thread,14
86,configuration,14
87,pattern,14
88,order,13
89,enum,13
90,constructor,13
91,jvm,13
92,number,13
93,default,13
94,plugin,13
95,browser,13
96,design,13
97,package,12
98,stack,12
99,message,12
100,size,12
101,tag,12
102,request,12
103,jframe,12
104,library,12
105,network,12
106,page,12
107,mac,11
108,practice,11
109,date,11
110,case,11
111,work,11
112,issue,11
113,classpath,11
114,unit,11
115,security,11
116,http,10
117,loop,10
118,python,10
119,character,10
120,property,10
121,entity,10
122,version,10
123,interface,10
124,reflection,10
125,input,10
126,support,10
127,change,10
128,j2me,10
129,map,10
130,copy,9
131,hashmap,9
132,something,9
133,component,9
134,amp,9
135,call,9
136,gui,9
137,task,9
138,javascript,9
139,expression,9
140,javadoc,8
141,background,8
142,statement,8
143,user,8
144,bit,8
145,conversion,8
146,word,8
147,annotation,8
148,resource,8
149,sql,8
150,start,8
151,example,8
152,php,8
153,event,8
154,structure,8
155,html,8
156,validation,8
157,button,8
158,form,8
159,trace,7
160,mvc,7
161,get,7
162,return,7
163,console,7
164,element,7
165,os,7
166,set,7
167,create,7
168,lang,7
169,log4j,7
170,oracle,7
171,reference,7
172,pool,7
173,net,7
174,jasper,7
175,doesn,7
176,wicket,7
177,platform,7
178,print,7
179,bean,7
180,jdk,7
181,garbage,7
182,regex,7
183,search,7
184,document,7
185,help,7
186,environment,7
187,key,7
188,query,7
189,authentication,7
190,instance,7
191,need,7
192,color,6
193,int,6
194,zip,6
195,module,6
196,persistence,6
197,arraylist,6
198,idea,6
199,serialization,6
200,integer,6
201,screen,6
202,pdf,6
203,window,6
204,action,6
205,cannot,6
206,content,6
207,determine,6
208,injection,6
209,state,6
210,information,6
211,mysql,6
212,singleton,6
213,httpclient,6
214,blackberry,6
215,cache,6
216,log,6
217,display,6
218,byte,6
219,android,6
220,part,6
221,generate,6
222,jre,6
223,script,6
224,point,6
225,appengine,6
226,clojure,6
227,gae,6
228,m,6
229,anyone,6
230,multi,6
231,view,5
232,inputstream,5
233,poi,5
234,excel,5
235,db,5
236,relationship,5
237,deadlock,5
238,classnotfoundexception,5
239,id,5
240,datasource,5
241,jni,5
242,insert,5
243,parser,5
244,clone,5
245,non,5
246,auto,5
247,compiler,5
248,sun,5
249,store,5
250,side,5
251,jaxb,5
252,dtd,5
253,context,5
254,table,5
255,management,5
256,result,5
257,software,5
258,folder,5
259,rmi,5
260,game,5
261,compile,5
262,lib,5
263,webservice,5
264,nullpointerexception,5
265,info,4
266,certificate,4
267,https,4
268,url,4
269,layer,4
270,scala,4
271,awt,4
272,check,4
273,compilation,4
274,ant,4
275,mail,4
276,response,4
277,mouse,4
278,jeditorpane,4
279,column,4
280,build,4
281,debug,4
282,focus,4
283,blob,4
284,join,4
285,provider,4
286,symbol,4
287,jna,4
288,scope,4
289,index,4
290,attribute,4
291,language,4
292,org,4
293,configure,4
294,struts2,4
295,icon,4
296,email,4
297,dom,4
298,inner,4
299,format,4
300,communication,4
301,lock,4
302,password,4
303,w,4
304,locale,4
305,vm,4
306,calendar,4
307,report,4
308,apps,4
309,box,4
310,end,4
311,self,4
312,ws,4
313,technology,4
314,prevent,4
315,webstart,4
316,desktop,4
317,proxy,4
318,behavior,4
319,webapp,4
320,capture,4
321,generation,4
322,monitor,4
323,manager,4
324,jython,4
325,mean,4
326,foo,4
327,datastore,4
328,ui,4
329,illegalargumentexception,4
330,shell,4
331,editor,4
332,hql,4
333,documentation,3
334,ssl,3
335,controller,3
336,urlconnection,3
337,convention,3
338,integration,3
339,heap,3
340,font,3
341,processor,3
342,filename,3
343,position,3
344,target,3
345,representation,3
346,ie,3
347,setup,3
348,jpanel,3
349,ide,3
350,filter,3
351,entitymanager,3
352,frame,3
353,bar,3
354,driver,3
355,repository,3
356,pointer,3
357,mode,3
358,timestamp,3
359,transfer,3
360,delay,3
361,getter,3
362,selection,3
363,se,3
364,keyword,3
365,cross,3
366,production,3
367,analysis,3
368,deploy,3
369,confusion,3
370,ioexception,3
371,schema,3
372,address,3
373,purpose,3
374,machine,3
375,convert,3
376,vector,3
377,bytecode,3
378,effect,3
379,look,3
380,feel,3
381,earth,3
382,trouble,3
383,jlabel,3
384,queue,3
385,bridge,3
386,block,3
387,rule,3
388,cookie,3
389,book,3
390,freemarker,3
391,algorithm,3
392,passing,3
393,storage,3
394,post,3
395,level,3
396,transaction,3
397,usage,3
398,jcombobox,3
399,transparent,3
400,jsf,3
401,logger,3
402,container,3
403,layout,3
404,io,3
405,row,3
406,panel,3
407,ejb,3
408,activity,3
409,tabhost,3
410,jscrollpane,3
411,redirection,3
412,style,3
413,hierarchy,3
414,jspc,3
415,maven,3
416,selenium,3
417,video,3
418,keyboard,3
419,jax,3
420,implement,3
421,control,3
422,ruby,3
423,drop,3
424,curve,3
425,designer,3
426,orm,3
427,ee,3
428,architecture,3
429,bea,3
430,upload,3
431,argument,3
432,header,3
433,classloader,3
434,catch,3
435,tab,3
436,behaviour,3
437,model,3
438,release,3
439,programming,3
440,rest,3
441,operator,3
442,linux,3
443,cluster,3
444,load,3
445,replacement,3
446,erasure,3
447,velocity,3
448,device,3
449,business,3
450,dao,3
451,callback,3
452,hex,3
453,swt,3
454,reason,3
455,computer,3
456,data,3
457,stream,3
458,toplink,3
459,intellij,3
460,junit4,3
461,groovy,3
462,sqlexception,3
463,match,3
464,member,3
465,commandline,3
466,comparator,3
467,bug,3
468,seam,3
469,location,3
470,xsd,3
471,declare,2
472,oo,2
473,iterate,2
474,jformattedtextfield,2
475,ntlm,2
476,covariance,2
477,saveorupdate,2
478,max,2
479,run,2
480,import,2
481,split,2
482,home,2
483,scheme,2
484,char,2
485,abstractmethoderror,2
486,manytomany,2
487,cleanup,2
488,limit,2
489,bracket,2
