,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,locked_date,community_owned_date
0,"['java', 'dictionary', 'collections', 'hashmap']","{'account_id': 27969, 'reputation': 2160, 'user_id': 74280, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/8f1b9d0525471ba28da2513cf75667bb?s=256&d=identicon&r=PG', 'display_name': 'JorgeO', 'link': 'https://stackoverflow.com/users/74280/jorgeo'}",True,199285,636151.0,8,151,1668419486,1236801940,1539811947.0,636126,CC BY-SA 4.0,https://stackoverflow.com/questions/636126/best-way-to-create-an-empty-map-in-java,Best way to create an empty map in Java,,,,,
1,"['java', 'user-interface', 'swing', 'jframe']","{'account_id': 24050, 'reputation': 333, 'user_id': 60881, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d67cd2eb9233965331f3fc0dc445c4c4?s=256&d=identicon&r=PG', 'display_name': 'John Murano', 'link': 'https://stackoverflow.com/users/60881/john-murano'}",True,64640,641190.0,7,11,1667610462,1236908187,1432903911.0,641172,CC BY-SA 3.0,https://stackoverflow.com/questions/641172/how-to-focus-a-jframe,How to focus a JFrame?,,,,,
2,"['java', 'time']","{'account_id': 20530, 'reputation': 255145, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,647711,625624.0,29,616,1667336396,1236588066,,625433,CC BY-SA 2.5,https://stackoverflow.com/questions/625433/how-to-convert-milliseconds-to-x-mins-x-seconds-in-java,"How to convert Milliseconds to &quot;X mins, x seconds&quot; in Java?",1336217242.0,,,,
3,"['java', 'enums']","{'account_id': 561669, 'reputation': 10365, 'user_id': 72546, 'user_type': 'unregistered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/be1bdaeea4ed5e320485effde2b4d0bd?s=256&d=identicon&r=PG', 'display_name': 'Lennie', 'link': 'https://stackoverflow.com/users/72546/lennie'}",True,194542,609866.0,15,355,1667250653,1236159127,1462471970.0,609860,CC BY-SA 3.0,https://stackoverflow.com/questions/609860/convert-from-enum-ordinal-to-enum-type,Convert from enum ordinal to enum type,1524473644.0,,,,
4,"['java', 'generics', 'casting']","{'account_id': 19806, 'reputation': 405, 'user_id': 46726, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/34692af87ddaee5a2585e01714cd8501?s=256&d=identicon&r=PG', 'display_name': 'Ry.', 'link': 'https://stackoverflow.com/users/46726/ry'}",True,27397,662515.0,6,27,1667216113,1237474403,,662508,CC BY-SA 2.5,https://stackoverflow.com/questions/662508/how-can-i-cast-a-list-using-generics-in-java,How can I cast a list using generics in Java?,,,,,
5,"['java', 'bit-manipulation', 'bit']","{'account_id': 562120, 'reputation': 1267, 'user_id': 69658, 'user_type': 'unregistered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/6b92f1247d0f897eda4d31a467a86cbd?s=256&d=identicon&r=PG', 'display_name': 'joinJpegs', 'link': 'https://stackoverflow.com/users/69658/joinjpegs'}",True,47587,680012.0,14,34,1667111825,1237947649,1400974648.0,680002,CC BY-SA 3.0,https://stackoverflow.com/questions/680002/find-out-number-of-bits-needed-to-represent-a-positive-integer-in-binary,Find out number of bits needed to represent a positive integer in binary?,,,,,
6,"['java', 'ant', 'junit', 'testing']","{'account_id': 21692, 'reputation': 18116, 'user_id': 52954, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/49313a97f8c3f50e05b6c7ce6d3e8ecd?s=256&d=identicon&r=PG', 'display_name': 'LiorH', 'link': 'https://stackoverflow.com/users/52954/liorh'}",True,122958,672497.0,11,121,1666073754,1237793182,1237795789.0,672466,CC BY-SA 2.5,https://stackoverflow.com/questions/672466/junit-how-to-avoid-no-runnable-methods-in-test-utils-classes,JUnit: how to avoid &quot;no runnable methods&quot; in test utils classes,1533934539.0,,,,
7,"['java', 'multithreading', 'findbugs', 'synchronized']","{'account_id': 8975, 'reputation': 6256, 'user_id': 16399, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/8237188b2f08a3f06e8d64dd1101f504?s=256&d=identicon&r=PG', 'display_name': 'sk.', 'link': 'https://stackoverflow.com/users/16399/sk'}",True,5834,686438.0,5,29,1665806785,1238083552,1325683860.0,686415,CC BY-SA 3.0,https://stackoverflow.com/questions/686415/in-what-situations-could-an-empty-synchronized-block-achieve-correct-threading-s,In what situations could an empty synchronized block achieve correct threading semantics?,,,,,
8,"['java', 'collections']","{'account_id': 22421, 'reputation': 9977, 'user_id': 55245, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/9fb924530740ee2101617acd4dd2c9c2?s=256&d=identicon&r=PG', 'display_name': 'Whatsit', 'link': 'https://stackoverflow.com/users/55245/whatsit'}",True,404073,663396.0,10,376,1665142538,1237486261,1665142538.0,663374,CC BY-SA 4.0,https://stackoverflow.com/questions/663374/java-ordered-map,Java Ordered Map,,,,,
9,"['java', 'dictionary', 'key-value']","{'account_id': 15783, 'reputation': 5765, 'user_id': 33725, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d2d868ebbc728d189898bcbb3fadad49?s=256&d=identicon&r=PG', 'display_name': 'Shane', 'link': 'https://stackoverflow.com/users/33725/shane'}",True,367056,683524.0,8,568,1664894035,1238016124,1478204738.0,683518,CC BY-SA 3.0,https://stackoverflow.com/questions/683518/java-class-that-implements-map-and-keeps-insertion-order,Java Class that implements Map and keeps insertion order?,,,,,
