,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date
0,"['java', 'android', 'firebase', 'android-studio']","{'account_id': 13263038, 'reputation': 622, 'user_id': 9576915, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/33ef74b811dca6676c095b660c050eb7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mohamed Ali', 'link': 'https://stackoverflow.com/users/9576915/mohamed-ali'}",True,528,63105628.0,4,1,1669165005,1595793344,1595796241.0,63105037,CC BY-SA 4.0,https://stackoverflow.com/questions/63105037/display-buttons-dynamically-in-recyclerview-android-studio,Display buttons dynamically in recyclerview android studio,,,
1,"['java', 'docker', 'maven', 'jenkins']","{'account_id': 6191205, 'reputation': 143, 'user_id': 4823870, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/be4e38e25f80196e1dca61779ca0c097?s=256&d=identicon&r=PG&f=1', 'display_name': 'pampa', 'link': 'https://stackoverflow.com/users/4823870/pampa'}",True,4169,,2,1,1669088429,1596009477,,63148930,CC BY-SA 4.0,https://stackoverflow.com/questions/63148930/i-o-exceptionjava-io-ioexceptioncaught-when-processing-request-to-unix-lo,I/O exception(java.io.IOException)caught when processing request to{}-&gt;unix://localhost:80:No such file or directory -when build image frm Dockerfile,,,
2,"['java', 'spring', 'spring-boot', 'mockito']","{'account_id': 873703, 'reputation': 2415, 'user_id': 923988, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/ec149bc8592beac68d12eec2b2a62e9e?s=256&d=identicon&r=PG', 'display_name': 'VictorGram', 'link': 'https://stackoverflow.com/users/923988/victorgram'}",True,5336,,4,0,1668789662,1594345494,1594380514.0,62826154,CC BY-SA 4.0,https://stackoverflow.com/questions/62826154/calling-real-method-using-mockito,Calling real method using Mockito,,,
3,"['java', 'spring-boot', 'elasticsearch', 'spring-data', 'spring-data-elasticsearch']","{'account_id': 7593446, 'reputation': 253, 'user_id': 5760338, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7e990208fba3ea8507e736e6d1a01f72?s=256&d=identicon&r=PG&f=1', 'display_name': 'Oliver Henlich', 'link': 'https://stackoverflow.com/users/5760338/oliver-henlich'}",True,2226,62782212.0,1,7,1668752123,1594076447,,62765711,CC BY-SA 4.0,https://stackoverflow.com/questions/62765711/spring-data-elasticsearch-4-x-using-id-forces-id-field-in-source,Spring Data Elasticsearch (4.x) - Using @Id forces id field in _source,,,
4,"['java', 'spring-boot', 'hibernate']","{'account_id': 14579112, 'reputation': 165, 'user_id': 10530163, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-nw9JQFdo37o/AAAAAAAAAAI/AAAAAAAAJo0/P5O5f92V12A/photo.jpg?sz=256', 'display_name': 'Manujaya Premathilaka', 'link': 'https://stackoverflow.com/users/10530163/manujaya-premathilaka'}",True,12475,63110670.0,3,2,1668673629,1595834731,1595840911.0,63110542,CC BY-SA 4.0,https://stackoverflow.com/questions/63110542/unsatisfieddependencyexception-error-creating-bean-with-name-requestmappinghan,UnsatisfiedDependencyException: Error creating bean with name &#39;requestMappingHandlerAdapter&#39;,,,
5,"['java', 'sql', 'oracle', 'jdbc', 'transactions']","{'account_id': 10946826, 'reputation': 17, 'user_id': 12719438, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4c0dcb8a82cf34f438a2becff95a00e5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Adrian', 'link': 'https://stackoverflow.com/users/12719438/adrian'}",False,62,,2,0,1668612701,1593791791,1668612701.0,62718932,CC BY-SA 4.0,https://stackoverflow.com/questions/62718932/how-to-refresh-table-after-con-commit-in-java,How to refresh table after con.commit() in java?,,,
6,"['java', 'dataframe', 'apache-spark']","{'account_id': 12080821, 'reputation': 933, 'user_id': 8832641, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/fe38ab7d8165a471c3539f5525501824?s=256&d=identicon&r=PG&f=1', 'display_name': 'Padfoot123', 'link': 'https://stackoverflow.com/users/8832641/padfoot123'}",True,4326,62900270.0,2,0,1668511294,1594739176,,62898190,CC BY-SA 4.0,https://stackoverflow.com/questions/62898190/create-empty-dataframe-java-spark,Create Empty dataframe Java Spark,,,
7,"['java', 'google-bigquery', 'gcloud-java']","{'account_id': 7684430, 'reputation': 120, 'user_id': 5822717, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3c25801ec5077ff1ea31c1107fe2fb54?s=256&d=identicon&r=PG&f=1', 'display_name': 'Pritbh', 'link': 'https://stackoverflow.com/users/5822717/pritbh'}",False,1270,,2,0,1668451719,1595930989,1596004994.0,63131722,CC BY-SA 4.0,https://stackoverflow.com/questions/63131722/google-bigquery-proxy-settings-in-java-sdk,Google BigQuery Proxy settings in JAVA SDK,,,
8,"['java', 'maven', 'gson']","{'account_id': 12865856, 'reputation': 59, 'user_id': 9306171, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/74d7c76219354b0c181638d579ba6cff?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shao', 'link': 'https://stackoverflow.com/users/9306171/shao'}",True,6800,62917101.0,2,1,1668369423,1594820868,,62916419,CC BY-SA 4.0,https://stackoverflow.com/questions/62916419/intellij-java-maven-gson-import-doesnt-work-package-doesnt-exist,Intellij Java Maven Gson import doesn&#39;t work - package doesn&#39;t exist,,,
9,"['java', 'android', 'android-studio']","{'account_id': 1874468, 'reputation': 103, 'user_id': 1695971, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/a8cf1d214c915d681c8cde79e48864da?s=256&d=identicon&r=PG', 'display_name': 'user1695971', 'link': 'https://stackoverflow.com/users/1695971/user1695971'}",True,996,,2,-2,1668029052,1593783407,1593786987.0,62716597,CC BY-SA 4.0,https://stackoverflow.com/questions/62716597/java-io-ioexception-permission-denied-when-using-camera-on-andoid,java.io.IOException: Permission denied when using Camera on Andoid?,,,
