,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from
0,"['java', 'spring', 'spring-boot', 'spring-security', 'keycloak']","{'account_id': 19579925, 'reputation': 321, 'user_id': 14329215, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/87cea04a80600aa9eff2d0a477cff23b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Cale W', 'link': 'https://stackoverflow.com/users/14329215/cale-w'}",True,9912,3,32,1669124003,1638486411,70207564,CC BY-SA 4.0,https://stackoverflow.com/questions/70207564/spring-boot-2-6-regression-how-can-i-fix-keycloak-circular-dependency-in-adapte,Spring Boot 2.6 regression: How can I fix Keycloak circular dependency in adapter?,,,,,,
1,"['java', 'vaadin', 'vaadin22']","{'account_id': 12788787, 'reputation': 41, 'user_id': 9314716, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-1HNFTWe_yFc/AAAAAAAAAAI/AAAAAAAACaM/mXtECCZguvQ/photo.jpg?sz=256', 'display_name': 'yeferson cordoba', 'link': 'https://stackoverflow.com/users/9314716/yeferson-cordoba'}",False,780,2,1,1669069436,1639240600,70316973,CC BY-SA 4.0,https://stackoverflow.com/questions/70316973/vaadin-frontend-folder-failed-to-load-content-of-frontend-index-html,Vaadin frontend folder Failed to load content of &#39;./frontend/index.html&#39;,1639242786.0,,,,,
2,"['java', 'spring', 'spring-boot', 'tomcat']","{'account_id': 9726305, 'reputation': 38, 'user_id': 7213133, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-U2iQy2WPfRQ/AAAAAAAAAAI/AAAAAAAAADc/L9MwAROgO9s/photo.jpg?sz=256', 'display_name': 'Berkay Bingol', 'link': 'https://stackoverflow.com/users/7213133/berkay-bingol'}",True,768,3,1,1669023793,1638360923,70184026,CC BY-SA 4.0,https://stackoverflow.com/questions/70184026/how-to-mask-apache-version-on-error-page-of-spring-boot-application,How to mask Apache Version on Error Page of Spring Boot application?,1638363235.0,70196883.0,,,,
3,"['java', 'junit', 'junit5', 'spring-test', 'junit-jupiter']","{'account_id': 965625, 'reputation': 2156, 'user_id': 1103606, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/0d93cc650b93939ea91066fcb5aefae0?s=256&d=identicon&r=PG', 'display_name': 'Peter Penzov', 'link': 'https://stackoverflow.com/users/1103606/peter-penzov'}",True,41715,12,18,1669017529,1640192711,70452633,CC BY-SA 4.0,https://stackoverflow.com/questions/70452633/org-junit-platform-commons-junitexception-testengine-with-id-junit-jupiter-fa,org.junit.platform.commons.JUnitException: TestEngine with ID &#39;junit-jupiter&#39; failed to discover tests,1640210015.0,70503467.0,,,,
4,"['java', 'jmx-exporter']","{'account_id': 16997299, 'reputation': 161, 'user_id': 12295402, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/3n5e3.jpg?s=256&g=1', 'display_name': 'Maksim', 'link': 'https://stackoverflow.com/users/12295402/maksim'}",False,122,1,0,1669016956,1638677193,70231394,CC BY-SA 4.0,https://stackoverflow.com/questions/70231394/why-doesnt-the-jmx-exporter-add-tomcat-metrics,Why doesn&#39;t the JMX Exporter add Tomcat metrics?,,,,,,
5,['java'],"{'account_id': 22796362, 'reputation': 81, 'user_id': 16949863, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/UrwIJ.jpg?s=256&g=1', 'display_name': 'Piyush Pandita', 'link': 'https://stackoverflow.com/users/16949863/piyush-pandita'}",True,97,1,-1,1668937401,1640180926,70450092,,https://stackoverflow.com/questions/70450092/combining-println-in-java,Combining println in Java,1668937401.0,70450200.0,1640181430.0,Duplicate,,
6,"['java', 'spring-boot', 'configuration', 'application.properties']","{'account_id': 18128966, 'reputation': 305, 'user_id': 13184263, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3f6c5b93b0c1050953305afbf5c21048?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jenny', 'link': 'https://stackoverflow.com/users/13184263/jenny'}",True,7390,4,1,1668934799,1639567594,70362864,CC BY-SA 4.0,https://stackoverflow.com/questions/70362864/how-to-read-the-application-properties-file-from-a-location-outside-the-spring-b,How to read the application.properties file from a location outside the spring boot application,,70363222.0,,,,
7,"['java', 'apache-kafka', 'spring-kafka', 'spring-cloud-stream']","{'account_id': 470642, 'reputation': 7652, 'user_id': 877942, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/dlJeS.jpg?s=256&g=1', 'display_name': 'Shades88', 'link': 'https://stackoverflow.com/users/877942/shades88'}",False,246,1,0,1668802922,1639498637,70352122,CC BY-SA 4.0,https://stackoverflow.com/questions/70352122/spring-cloud-stream-kafka-streams-binder-check-headers-before-deserializing-the,"Spring Cloud Stream Kafka-Streams binder, check headers before deserializing the message",1668802922.0,,,,,
8,"['java', 'spring-boot', 'swagger-ui', 'springfox']","{'account_id': 17819892, 'reputation': 61, 'user_id': 12942508, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c4b3afe76f8609c60010dc3973400312?s=256&d=identicon&r=PG&f=1', 'display_name': 'Narayana Rao Kancharana', 'link': 'https://stackoverflow.com/users/12942508/narayana-rao-kancharana'}",True,5773,4,2,1668776356,1639275489,70320464,CC BY-SA 4.0,https://stackoverflow.com/questions/70320464/swagger-ui-html-is-giving-blank-page,Swagger-ui.html is giving blank page,1639384247.0,70332088.0,,,,
9,"['java', 'sql', 'spring-boot', 'hibernate', 'jpa']","{'account_id': 9589070, 'reputation': 91, 'user_id': 7120670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/535d89ea63243a282995bb3f476881d0?s=256&d=identicon&r=PG&f=1', 'display_name': 'MarcoA7', 'link': 'https://stackoverflow.com/users/7120670/marcoa7'}",True,109,1,0,1668720517,1640304450,70468475,CC BY-SA 4.0,https://stackoverflow.com/questions/70468475/spring-boot-and-jpa-query-p0,Spring boot and jpa query @P0,1668720517.0,70472174.0,,,,
10,"['java', 'android', 'android-11', 'android-fileprovider']","{'account_id': 21012762, 'reputation': 71, 'user_id': 15441000, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/afa9a005f9b12bec1d6b18285fc0d3ed?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dipsy', 'link': 'https://stackoverflow.com/users/15441000/dipsy'}",False,446,1,0,1668694836,1639052088,70289765,CC BY-SA 4.0,https://stackoverflow.com/questions/70289765/file-provider-android-11,File Provider Android 11,1668694836.0,,,,,
