,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['java', 'spring', 'minecraft', 'bukkit', 'spigot']","{'account_id': 20659062, 'reputation': 37, 'user_id': 15167433, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fcce3651d45dd5eaaa8d1308b968c6ec?s=256&d=identicon&r=PG&f=1', 'display_name': 'Justin', 'link': 'https://stackoverflow.com/users/15167433/justin'}",False,69,1,1,1669151329,1645178513,71171572,CC BY-SA 4.0,https://stackoverflow.com/questions/71171572/spring-does-not-scan-components-without-main-function,Spring does not scan components without main function,,,,,,
1,"['java', 'encryption', 'rsa']","{'account_id': 14482834, 'reputation': 3002, 'user_id': 10461625, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fgo5D.jpg?s=256&g=1', 'display_name': 'PatPatPat', 'link': 'https://stackoverflow.com/users/10461625/patpatpat'}",True,553,1,0,1669072156,1645447548,71206560,CC BY-SA 4.0,https://stackoverflow.com/questions/71206560/java-rsa-decryption-javax-crypto-illegalblocksizeexception-data-must-not-be-lon,Java RSA decryption javax.crypto.IllegalBlockSizeException: Data must not be longer than 256 bytes,71906692.0,,,,,
2,"['java', 'outlook', 'office365', 'exchange-server']","{'account_id': 22539698, 'reputation': 21, 'user_id': 16730426, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJye0XwWPE4JFzS9roP8-3TAjBPOwZDm70jx0c5W=k-s256', 'display_name': 'aspini mohanty', 'link': 'https://stackoverflow.com/users/16730426/aspini-mohanty'}",True,26243,2,2,1669071487,1643801662,70954881,CC BY-SA 4.0,https://stackoverflow.com/questions/70954881/535-5-7-139-authentication-unsuccessful-smtpclientauthentication-is-disabled-fo,"535 5.7.139 Authentication unsuccessful, SmtpClientAuthentication is disabled for the Tenant",,1652773699.0,,,,
3,"['java', 'maven']","{'account_id': 12512970, 'reputation': 61, 'user_id': 9107365, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-61Vnu7btfWU/AAAAAAAAAAI/AAAAAAAAARw/XfmxIVUfEtM/photo.jpg?sz=256', 'display_name': 'Lenn Van Haverbeke', 'link': 'https://stackoverflow.com/users/9107365/lenn-van-haverbeke'}",True,2775,2,5,1669032976,1645534772,71221778,CC BY-SA 4.0,https://stackoverflow.com/questions/71221778/maven-error-unable-to-load-cache-item-not-working-on-vps-but-works-locally,Maven error: Unable to load cache item not working on vps but works locally,,,,,,
4,"['java', 'selenium', 'selenium-webdriver', 'drag-and-drop', 'webdriverwait']","{'account_id': 13375031, 'reputation': 9, 'user_id': 9652136, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ebea5677c4a02677f696e5ed4900b03a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Satyabrata Das', 'link': 'https://stackoverflow.com/users/9652136/satyabrata-das'}",False,220,2,0,1669002164,1645302934,71188974,CC BY-SA 4.0,https://stackoverflow.com/questions/71188974/how-to-perform-drag-and-drop-on-html5-element-using-selenium-3-141-59-java,How to perform drag and drop on HTML5 element using Selenium 3.141.59 + Java,,1645305276.0,,,,
5,"['java', 'maven', 'artifactory', 'bazel']","{'account_id': 1615235, 'reputation': 534, 'user_id': 1544322, 'user_type': 'registered', 'accept_rate': 3, 'profile_image': 'https://www.gravatar.com/avatar/7cf5fbf80943ea67a8951dbcdfd6a9ab?s=256&d=identicon&r=PG', 'display_name': 'user12331', 'link': 'https://stackoverflow.com/users/1544322/user12331'}",False,296,0,0,1668807837,1644564422,71076466,CC BY-SA 4.0,https://stackoverflow.com/questions/71076466/why-am-i-seeing-authentication-failure-when-fetching-artifacts-during-bazel-buil,Why am I seeing authentication failure when fetching artifacts during bazel build?,,1668807837.0,,,,
6,"['java', 'spring', 'spring-boot', 'spring-security']","{'account_id': 1330451, 'reputation': 12815, 'user_id': 1274485, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/2SoGM.jpg?s=256&g=1', 'display_name': 'Yann39', 'link': 'https://stackoverflow.com/users/1274485/yann39'}",True,11374,4,22,1668802173,1645917927,71281032,CC BY-SA 4.0,https://stackoverflow.com/questions/71281032/spring-security-exposing-authenticationmanager-without-websecurityconfigureradap,Spring Security exposing AuthenticationManager without WebSecurityConfigurerAdapter,72598317.0,1653732901.0,,,,
7,"['java', 'android', 'android-studio']","{'account_id': 19798275, 'reputation': 21, 'user_id': 14499846, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-bHmbI9cEz58/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclciNjj8_wbvSlF9IquAxkzFGnIeg/s96-c/photo.jpg?sz=256', 'display_name': 'Dev Garg', 'link': 'https://stackoverflow.com/users/14499846/dev-garg'}",False,7681,3,2,1668693995,1645012249,71141351,CC BY-SA 4.0,https://stackoverflow.com/questions/71141351/caused-by-org-gradle-workers-internal-defaultworkerexecutorworkexecutionexcept,Caused by: org.gradle.workers.internal.DefaultWorkerExecutor$WorkExecutionException:,,,,,,
8,"['java', 'selenium', 'maven', 'selenium-webdriver', 'nosuchmethoderror']","{'account_id': 13061287, 'reputation': 101, 'user_id': 9438380, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Tuna', 'link': 'https://stackoverflow.com/users/9438380/tuna'}",True,17577,10,10,1668691009,1644697244,71095560,CC BY-SA 4.0,https://stackoverflow.com/questions/71095560/java-lang-nosuchmethoderror-com-google-common-collect-immutablemap-error-when,java.lang.NoSuchMethodError: &#39;com.google.common.collect.ImmutableMap error when trying to execute tests using Chromedriver and Maven,,1644698941.0,,,,
9,"['java', 'android', 'android-studio', 'mobile-development', 'android-update-app']","{'account_id': 21351587, 'reputation': 403, 'user_id': 15721032, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/92cf5ec78ed0b789d5f201c2100cb52e?s=256&d=identicon&r=PG', 'display_name': 'Joshua Simon', 'link': 'https://stackoverflow.com/users/15721032/joshua-simon'}",True,30619,17,40,1668674720,1643747668,70947176,CC BY-SA 4.0,https://stackoverflow.com/questions/70947176/bumblebee-android-studio-plugin-id-com-android-application-version-7-1-0,"Bumblebee Android studio Plugin [id: &#39;com.android.application&#39;, version: &#39;7.1.0&#39;, apply: false] was not found in any of the following sources:",,1646135576.0,,,,
