,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from
0,"['java', 'spring-boot', 'spring-mvc']","{'account_id': 171189, 'reputation': 34948, 'user_id': 398441, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/a8950160c2b3d7d0bf948d8c1f937e7f?s=256&d=identicon&r=PG', 'display_name': 'Johan', 'link': 'https://stackoverflow.com/users/398441/johan'}",True,193,74490277.0,3,1,1669018933,1652942328,1668524674.0,72299733,CC BY-SA 4.0,https://stackoverflow.com/questions/72299733/how-to-create-a-spring-boot-actuator-endpoint-that-delegates-all-calls-to-a-diff,How to create a Spring Boot Actuator endpoint that delegates all calls to a different port?,,,
1,"['java', 'okhttp', 'web-api-testing', 'mockserver']","{'account_id': 1310169, 'reputation': 3243, 'user_id': 1258319, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/67086da1ef9edd20f318ae4b979be08d?s=256&d=identicon&r=PG', 'display_name': 'Julian', 'link': 'https://stackoverflow.com/users/1258319/julian'}",True,225,74515623.0,1,1,1669016499,1653387855,,72361245,CC BY-SA 4.0,https://stackoverflow.com/questions/72361245/mockserver-headers-expectations-are-too-strict,MockServer headers expectations are too strict,,,
2,"['java', 'amazon-s3', 'minio', 'testcontainers']","{'account_id': 6197039, 'reputation': 5312, 'user_id': 4828060, 'user_type': 'registered', 'accept_rate': 21, 'profile_image': 'https://i.stack.imgur.com/tsXON.png?s=256&g=1', 'display_name': 'Jo&#227;o Matos', 'link': 'https://stackoverflow.com/users/4828060/jo%c3%a3o-matos'}",True,337,72221858.0,2,2,1668981397,1652289263,1652546547.0,72205086,CC BY-SA 4.0,https://stackoverflow.com/questions/72205086/amazonss3client-throws-unknownhostexception-if-attempting-to-connect-to-a-local,AmazonsS3Client throws UnknownHostException if attempting to connect to a local service (MinIO),,,
3,"['java', 'unit-testing', 'tags', 'aem']","{'account_id': 3338979, 'reputation': 15453, 'user_id': 4452553, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/TdlCJ.jpg?s=256&g=1', 'display_name': 'guradio', 'link': 'https://stackoverflow.com/users/4452553/guradio'}",True,253,74496412.0,1,0,1668815349,1653257231,1653257570.0,72341601,CC BY-SA 4.0,https://stackoverflow.com/questions/72341601/aem-java-unit-test-for-tags,AEM JAVA Unit test for tags,,,
4,"['java', 'android', 'material-ui', 'material-components-android']","{'account_id': 8341728, 'reputation': 418, 'user_id': 6266842, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/94f6c9826028b978944877a5fe8129b1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anon', 'link': 'https://stackoverflow.com/users/6266842/anon'}",True,1090,72169923.0,4,1,1668806794,1651659761,1668806794.0,72111416,CC BY-SA 4.0,https://stackoverflow.com/questions/72111416/error-inflating-class-com-google-android-material-button-materialbutton,Error inflating class com.google.android.material.button.MaterialButton,,,
5,"['java', 'android', 'gstreamer', 'rtsp']","{'account_id': 24947863, 'reputation': 1, 'user_id': 18813005, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxuzBhWrMF8bVAGvrVPVm-ZPqKlq5OnlBdVGeNB=k-s256', 'display_name': 'Sima I', 'link': 'https://stackoverflow.com/users/18813005/sima-i'}",False,186,,0,0,1668727007,1652776077,1658390613.0,72270615,CC BY-SA 4.0,https://stackoverflow.com/questions/72270615/restart-a-gstreamer-pipeline-when-an-error-occurs-on-android,Restart a gstreamer pipeline when an error occurs on Android,,,
6,"['java', 'spring-boot', 'cassandra', 'datastax-java-driver', 'amazon-keyspaces']","{'account_id': 2821173, 'reputation': 555, 'user_id': 2424904, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/ae63019586679abb6645b27dd1f1ba59?s=256&d=identicon&r=PG', 'display_name': 'RachitSharma', 'link': 'https://stackoverflow.com/users/2424904/rachitsharma'}",False,154,,1,0,1668715410,1652331211,1652381585.0,72210279,CC BY-SA 4.0,https://stackoverflow.com/questions/72210279/how-can-we-create-two-separate-cassandra-clusters-from-the-same-spring-boot-appl,How can we create two separate cassandra clusters from the same Spring Boot application?,,,
7,"['java', 'eclipse']","{'account_id': 25287987, 'reputation': 11, 'user_id': 19114580, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJy1Jk50Y8vgHpJWbNp3iNfwCfaIAGbKFJ3hKOuE=k-s256', 'display_name': 'Murad Axundov', 'link': 'https://stackoverflow.com/users/19114580/murad-axundov'}",True,86,72238294.0,1,0,1668630263,1652514153,1652518719.0,72238255,CC BY-SA 4.0,https://stackoverflow.com/questions/72238255/why-cant-i-declare-object-in-my-local-class-in-java,Why can&#39;t I declare object in my local class in Java?,,,
8,"['java', 'spring', 'spring-boot', 'multipartform-data', 'email-attachments']","{'account_id': 15819723, 'reputation': 35, 'user_id': 11414354, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-vvhR68maPYo/AAAAAAAAAAI/AAAAAAAAJdo/h0MNr8kBAro/photo.jpg?sz=256', 'display_name': 'Nivin Viraj', 'link': 'https://stackoverflow.com/users/11414354/nivin-viraj'}",True,1046,72213344.0,2,0,1668601262,1652347750,1652348070.0,72213150,CC BY-SA 4.0,https://stackoverflow.com/questions/72213150/adding-multipart-file-as-an-attachment-to-an-email-in-spring-boot,Adding multipart file as an attachment to an email in Spring Boot,,,
9,"['java', 'junit', 'mockito']","{'account_id': 1600176, 'reputation': 796, 'user_id': 1481358, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/05bd1c0bb267bdb183c0cbd0e6cd0d00?s=256&d=identicon&r=PG', 'display_name': 'ChaoSXDemon', 'link': 'https://stackoverflow.com/users/1481358/chaosxdemon'}",False,129,,2,0,1668448663,1653959809,,72441316,CC BY-SA 4.0,https://stackoverflow.com/questions/72441316/java-mockedstatic-method-is-still-called,Java MockedStatic method is still called,,,
