,word,count
0,javascript,501
1,jquery,230
2,function,80
3,page,69
4,html,57
5,quot,57
6,event,56
7,js,54
8,way,50
9,file,50
10,element,48
11,form,39
12,image,37
13,ajax,37
14,window,36
15,script,34
16,object,32
17,div,32
18,code,31
19,array,31
20,error,29
21,value,29
22,browser,28
23,access,27
24,json,27
25,control,26
26,google,25
27,iframe,25
28,problem,25
29,firefox,24
30,text,23
31,php,23
32,document,23
33,t,23
34,time,23
35,input,22
36,gt,22
37,css,22
38,string,21
39,date,21
40,s,21
41,ie,21
42,click,20
43,side,20
44,web,18
45,user,17
46,field,17
47,question,17
48,xml,16
49,button,16
50,dom,16
51,link,16
52,client,15
53,mouse,15
54,method,15
55,content,15
56,issue,14
57,load,14
58,server,14
59,box,13
60,parent,13
61,pass,13
62,plugin,13
63,site,13
64,validation,12
65,request,12
66,mvc,12
67,name,11
68,class,11
69,prototype,11
70,vs,11
71,use,11
72,style,11
73,position,11
74,java,11
75,flash,11
76,height,11
77,domain,11
78,call,10
79,handler,10
80,expression,10
81,change,10
82,attribute,10
83,application,10
84,editor,10
85,memory,10
86,id,10
87,i,10
88,net,10
89,doesn,10
90,screen,9
91,submit,9
92,selector,9
93,bar,9
94,cross,9
95,focus,9
96,work,9
97,post,9
98,textbox,9
99,checkbox,9
100,type,9
101,tag,9
102,number,8
103,safari,8
104,location,8
105,part,8
106,tab,8
107,show,8
108,reference,8
109,cookie,8
110,response,8
111,custom,8
112,yui,8
113,title,7
114,table,7
115,url,7
116,keyboard,7
117,check,7
118,ie7,7
119,child,7
120,message,7
121,regex,7
122,help,7
123,studio,7
124,list,7
125,view,7
126,applet,7
127,property,6
128,lt,6
129,href,6
130,frame,6
131,prevent,6
132,variable,6
133,background,6
134,amp,6
135,line,6
136,c,6
137,word,6
138,area,6
139,ie8,6
140,explorer,6
141,mysql,5
142,zoom,5
143,parameter,5
144,language,5
145,sort,5
146,marker,5
147,parse,5
148,enter,5
149,cursor,5
150,equivalent,5
151,alternative,5
152,drag,5
153,drop,5
154,anyone,5
155,widget,5
156,auto,5
157,set,5
158,animation,5
159,performance,5
160,hide,5
161,x,5
162,iphone,5
163,information,5
164,callback,5
165,display,5
166,source,5
167,bug,5
168,tool,5
169,app,5
170,ruby,5
171,security,5
172,search,5
173,webpage,5
174,effect,5
175,select,5
176,something,4
177,difference,4
178,alert,4
179,opera,4
180,addition,4
181,internet,4
182,loop,4
183,communication,4
184,chrome,4
185,textarea,4
186,get,4
187,settimeout,4
188,ie6,4
189,pagination,4
190,debugger,4
191,break,4
192,inline,4
193,video,4
194,default,4
195,anchor,4
196,divs,4
197,path,4
198,address,4
199,cannot,4
200,framework,4
201,markup,4
202,return,4
203,xslt,4
204,facebook,4
205,split,4
206,pop,4
207,silverlight,4
208,ctrl,4
209,menu,4
210,eval,4
211,pre,4
212,popup,4
213,jscript,4
214,tree,4
215,visibility,4
216,argument,4
217,toolbar,4
218,air,4
219,functionality,4
220,scroll,4
221,width,4
222,column,4
223,trigger,4
224,state,4
225,action,4
226,map,4
227,slider,4
228,version,3
229,option,3
230,anything,3
231,place,3
232,node,3
233,buster,3
234,handle,3
235,keypress,3
236,size,3
237,catch,3
238,documentation,3
239,getelementbyid,3
240,point,3
241,length,3
242,closure,3
243,character,3
244,head,3
245,format,3
246,press,3
