,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,community_owned_date,closed_date,closed_reason,locked_date,migrated_from
0,"['javascript', 'unicode', 'character', 'alert', 'superscript']","{'account_id': 50891, 'reputation': 1457, 'user_id': 151907, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/f1d6c5bcb05f5ba8d41099536752459d?s=256&d=identicon&r=PG', 'display_name': 'George', 'link': 'https://stackoverflow.com/users/151907/george'}",True,17227,1348791.0,4,8,1669111714,1251486119,1251487040.0,1348762,CC BY-SA 2.5,https://stackoverflow.com/questions/1348762/is-it-possible-to-display-superscript-characters-in-the-alert-dialog,Is it possible to display superscript characters in the alert() dialog?,,,,,,
1,"['javascript', 'jquery', 'jquery-events']","{'account_id': 15575, 'reputation': 13326, 'user_id': 33052, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/I0cQW.jpg?s=256&g=1', 'display_name': 'Cyril Gupta', 'link': 'https://stackoverflow.com/users/33052/cyril-gupta'}",True,21922,1237226.0,5,16,1668964611,1249537826,1668964611.0,1237164,CC BY-SA 4.0,https://stackoverflow.com/questions/1237164/jquery-listbox-change-event-does-not-fire-on-keyboard-scrolling,Jquery Listbox Change event does not fire on Keyboard scrolling,,,,,,
2,"['javascript', 'date']","{'account_id': 16817, 'reputation': 71244, 'user_id': 37020, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/9c52ad00ba2f2602661c49f896733229?s=256&d=identicon&r=PG', 'display_name': 'orip', 'link': 'https://stackoverflow.com/users/37020/orip'}",True,1312352,1353711.0,51,1972,1668646029,1251632080,1467747294.0,1353684,CC BY-SA 3.0,https://stackoverflow.com/questions/1353684/detecting-an-invalid-date-date-instance-in-javascript,Detecting an &quot;invalid date&quot; Date instance in JavaScript,1415050123.0,,,,,
3,"['javascript', 'contextmenu']","{'account_id': 50941, 'reputation': 64603, 'user_id': 152083, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/6868c2908859c318f4fa0911eb6029b0?s=256&d=identicon&r=PG', 'display_name': 'Doug Neiner', 'link': 'https://stackoverflow.com/users/152083/doug-neiner'}",True,11159,1241569.0,4,13,1668385105,1249592978,,1241478,CC BY-SA 2.5,https://stackoverflow.com/questions/1241478/how-do-i-trigger-the-browser-context-menu-on-an-element-as-if-the-user-right-c,How do I trigger the browser context menu on an element. (As if the user right-clicked),,,,,,
4,"['javascript', 'debugging', 'console']","{'account_id': 36610, 'reputation': 8047, 'user_id': 104461, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/Yca56.png?s=256&g=1', 'display_name': 'Zack Burt', 'link': 'https://stackoverflow.com/users/104461/zack-burt'}",True,310952,1215400.0,37,343,1668237273,1249084231,1488269771.0,1215392,CC BY-SA 3.0,https://stackoverflow.com/questions/1215392/how-to-quickly-and-conveniently-disable-all-console-log-statements-in-my-code,How to quickly and conveniently disable all console.log statements in my code?,,,,,,
5,"['javascript', 'jquery', 'html']","{'account_id': 45600, 'reputation': 28339, 'user_id': 134484, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/a7263d0aad8f750b83d52b6a58a44b4b?s=256&d=identicon&r=PG', 'display_name': 'Mark Richman', 'link': 'https://stackoverflow.com/users/134484/mark-richman'}",True,1347247,1279963.0,16,1873,1668229676,1250280885,1668229392.0,1279957,CC BY-SA 4.0,https://stackoverflow.com/questions/1279957/how-to-move-an-element-into-another-element,How to move an element into another element,1394958428.0,,,,,
6,"['javascript', 'date', 'time', 'date-format', 'time-format']","{'account_id': 27433, 'reputation': 20013, 'user_id': 72443, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/Nu3zC.jpg?s=256&g=1', 'display_name': 'Hannoun Yassir', 'link': 'https://stackoverflow.com/users/72443/hannoun-yassir'}",True,439540,1322771.0,38,365,1668189024,1251124016,1525971218.0,1322732,CC BY-SA 4.0,https://stackoverflow.com/questions/1322732/convert-seconds-to-hh-mm-ss-with-javascript,Convert seconds to HH-MM-SS with JavaScript?,,,,,,
7,"['javascript', 'void']","{'account_id': 36460, 'reputation': 133004, 'user_id': 104015, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/946c085c383cc406907c2bbf809917c3?s=256&d=identicon&r=PG', 'display_name': 'omg', 'link': 'https://stackoverflow.com/users/104015/omg'}",True,2424479,1291950.0,14,1680,1667963328,1250572813,1630310495.0,1291942,CC BY-SA 4.0,https://stackoverflow.com/questions/1291942/what-does-javascriptvoid0-mean,What does &quot;javascript:void(0)&quot; mean?,1348693272.0,,,,,
8,"['javascript', 'jquery', 'event-handling', 'dom-events', 'event-propagation']","{'account_id': 46507, 'reputation': 68712, 'user_id': 137467, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/ba549cc90adcc10d22c52c998c1a42c7?s=256&d=identicon&r=PG', 'display_name': 'RaYell', 'link': 'https://stackoverflow.com/users/137467/rayell'}",True,920698,1357151.0,14,3193,1667931189,1251719911,1566814199.0,1357118,CC BY-SA 4.0,https://stackoverflow.com/questions/1357118/event-preventdefault-vs-return-false,event.preventDefault() vs. return false,1377790438.0,,,,,
9,"['javascript', 'jquery', 'html', 'forms']","{'account_id': 51796, 'reputation': 8260, 'user_id': 154765, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/a0fbfd8a1ba294e5836be8115c4df573?s=256&d=identicon&r=PG', 'display_name': 'Ian Storm Taylor', 'link': 'https://stackoverflow.com/users/154765/ian-storm-taylor'}",True,323509,1263859.0,7,106,1667291241,1250041800,1457596414.0,1263852,CC BY-SA 3.0,https://stackoverflow.com/questions/1263852/prevent-form-redirect-or-refresh-on-submit,Prevent form redirect OR refresh on submit?,1446583590.0,,,,,
