,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from,community_owned_date
0,"['javascript', 'html', 'input']","{'account_id': 1640666, 'reputation': 1852, 'user_id': 1513171, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/5e46ebc28397916824beae908a3110bd?s=256&d=identicon&r=PG', 'display_name': 'user1513171', 'link': 'https://stackoverflow.com/users/1513171/user1513171'}",True,65839,13607453.0,11,33,1669220463,1354112592,1662821251.0,13607278,CC BY-SA 4.0,https://stackoverflow.com/questions/13607278/html5-restricting-input-characters,HTML5 restricting input characters,,,,,
1,"['javascript', 'jquery', 'html', 'twitter-bootstrap', 'twitter-bootstrap-tooltip']","{'account_id': 1125923, 'reputation': 12692, 'user_id': 1113216, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/22a19975c6e3dc8c25d79bcf7814f601?s=256&d=identicon&r=PG', 'display_name': 'Lorraine Bernard', 'link': 'https://stackoverflow.com/users/1113216/lorraine-bernard'}",True,198525,13316157.0,20,212,1669047345,1352477031,1565776022.0,13311574,CC BY-SA 4.0,https://stackoverflow.com/questions/13311574/how-to-enable-bootstrap-tooltip-on-disabled-button,How to enable Bootstrap tooltip on disabled button?,,,,,
2,"['javascript', 'rich-text-editor', 'selection-api']","{'account_id': 1360264, 'reputation': 143, 'user_id': 1297775, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/8392a8a6d4ee5e4192e364d5a2779a29?s=256&d=identicon&r=PG', 'display_name': 'Gurpreet Singh', 'link': 'https://stackoverflow.com/users/1297775/gurpreet-singh'}",True,1265,13398351.0,1,1,1669018106,1352984611,1669018106.0,13398058,CC BY-SA 4.0,https://stackoverflow.com/questions/13398058/a-rich-text-editor-that-allows-selectionstart-and-selectionend,A rich text editor that allows selectionStart and selectionEnd,,,,,
3,"['javascript', 'svg', 'd3.js']","{'account_id': 178831, 'reputation': 10210, 'user_id': 411063, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/4240038fd0cdc00e6be9b4a4b87a31f8?s=256&d=identicon&r=PG', 'display_name': 'Nicholas Pappas', 'link': 'https://stackoverflow.com/users/411063/nicholas-pappas'}",True,95587,13794019.0,11,91,1668600061,1354059278,1354140689.0,13595175,CC BY-SA 3.0,https://stackoverflow.com/questions/13595175/updating-svg-element-z-index-with-d3,Updating SVG Element Z-Index With D3,,,,,
4,"['javascript', 'jquery']","{'account_id': 2051719, 'reputation': 56, 'user_id': 1830580, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e9dbcbcc3cf27904377ebe3909490fa3?s=256&d=identicon&r=PG', 'display_name': 'Paweł Burzyński', 'link': 'https://stackoverflow.com/users/1830580/pawe%c5%82-burzy%c5%84ski'}",True,157,,1,1,1668572950,1353093939,1353094676.0,13423089,CC BY-SA 3.0,https://stackoverflow.com/questions/13423089/use-jquerys-wrap-all-children-above-element,Use jQuery&#39;s .wrap all children above element,,,,,
5,"['javascript', 'jquery', 'twitter-bootstrap']","{'account_id': 478017, 'reputation': 696, 'user_id': 889844, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/YUjM9.jpg?s=256&g=1', 'display_name': 'Gombo', 'link': 'https://stackoverflow.com/users/889844/gombo'}",True,51351,13442857.0,10,35,1668517518,1353260558,1353260948.0,13442749,CC BY-SA 3.0,https://stackoverflow.com/questions/13442749/how-to-check-whether-a-twitter-bootstrap-popover-is-visible-or-not,How to check whether a twitter bootstrap popover is visible or not?,,,,,
6,"['javascript', 'web-applications']","{'account_id': 86804, 'reputation': 20176, 'user_id': 241142, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/dc690e6057d0756358e2d80409a945b1?s=256&d=identicon&r=PG', 'display_name': 'iconoclast', 'link': 'https://stackoverflow.com/users/241142/iconoclast'}",True,144,74441121.0,3,3,1668491409,1353102378,,13424886,CC BY-SA 3.0,https://stackoverflow.com/questions/13424886/drag-content-between-browser-windows,Drag content between browser windows,,,,,
7,['javascript'],"{'account_id': 1558431, 'reputation': 3173, 'user_id': 1448892, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3df963065b902e799862ba4fdf00b455?s=256&d=identicon&r=PG', 'display_name': 'user1448892', 'link': 'https://stackoverflow.com/users/1448892/user1448892'}",True,241429,44063445.0,26,317,1668170643,1352449742,1352451528.0,13304543,CC BY-SA 3.0,https://stackoverflow.com/questions/13304543/javascript-sort-array-based-on-another-array,Javascript - sort array based on another array,,,,,
8,['javascript'],"{'account_id': 1022546, 'reputation': 23765, 'user_id': 1032531, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/938ce772de83dc07272b66f4b12a5453?s=256&d=identicon&r=PG', 'display_name': 'user1032531', 'link': 'https://stackoverflow.com/users/1032531/user1032531'}",True,166166,13382873.0,9,157,1668100235,1352909201,,13382516,,https://stackoverflow.com/questions/13382516/getting-scroll-bar-width-using-javascript,Getting scroll bar width using JavaScript,1500402442.0,Duplicate,,,
9,"['javascript', 'sign']","{'account_id': 1022746, 'reputation': 659, 'user_id': 1032691, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/d64bbe9ec58f5bfbefdb4c54404ceccb?s=256&d=identicon&r=PG', 'display_name': 'mythbu', 'link': 'https://stackoverflow.com/users/1032691/mythbu'}",True,22153,13468626.0,6,18,1667891876,1353396725,,13468474,CC BY-SA 3.0,https://stackoverflow.com/questions/13468474/javascript-convert-a-hex-signed-integer-to-a-javascript-value,Javascript: convert a (hex) signed integer to a javascript value,,,,,
10,"['javascript', 'jquery', 'disabled-input']","{'account_id': 1775364, 'reputation': 5662, 'user_id': 1619243, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/f6c073213e9f1a9245a056f26d5d2118?s=256&d=identicon&r=PG', 'display_name': 'fatiDev', 'link': 'https://stackoverflow.com/users/1619243/fatidev'}",True,792396,13626565.0,11,478,1667823908,1354194399,1554291944.0,13626517,CC BY-SA 4.0,https://stackoverflow.com/questions/13626517/how-to-remove-disabled-attribute-using-jquery,How to remove &quot;disabled&quot; attribute using jQuery?,,,1667501318.0,,
11,"['javascript', 'jquery']","{'account_id': 1139517, 'reputation': 171, 'user_id': 1123816, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/dbaf1ba52a6681ab1e758b3b88c2848d?s=256&d=identicon&r=PG', 'display_name': 'Jonathan Safa', 'link': 'https://stackoverflow.com/users/1123816/jonathan-safa'}",True,278,13215169.0,2,0,1667690244,1351977943,1667690244.0,13213649,CC BY-SA 4.0,https://stackoverflow.com/questions/13213649/javascript-make-specific-letter-a-different-color,JavaScript make specific letter a different color?,,,,,
12,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1662546, 'reputation': 1484, 'user_id': 1530536, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/7da3b34425d2d72bad08061344ee4252?s=256&d=identicon&r=PG', 'display_name': 'rusly', 'link': 'https://stackoverflow.com/users/1530536/rusly'}",True,319,13225337.0,3,0,1667690184,1352082270,1667690184.0,13225198,CC BY-SA 4.0,https://stackoverflow.com/questions/13225198/how-to-automatically-clone-tr-when-user-finish-fill-up-text-input,How to automatically clone &lt;tr&gt; when user finish fill up text input?,,,,,
13,"['javascript', 'jquery', 'jquery-events']","{'account_id': 427085, 'reputation': 303, 'user_id': 808669, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/d5e410c5f61f5a8e72a683f0bbf0a8b0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sascha Heim', 'link': 'https://stackoverflow.com/users/808669/sascha-heim'}",False,103,,1,0,1667690144,1352168595,1667690144.0,13243438,CC BY-SA 4.0,https://stackoverflow.com/questions/13243438/jquery-event-for-a-slider,jQuery event for a slider,,,,,
14,"['javascript', 'jquery', 'jquery-events']","{'account_id': 338954, 'reputation': 3583, 'user_id': 668122, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/D5gT3.png?s=256&g=1', 'display_name': 'Randel Ramirez', 'link': 'https://stackoverflow.com/users/668122/randel-ramirez'}",True,3861,13246815.0,2,1,1667690092,1352188506,1667690092.0,13246670,CC BY-SA 4.0,https://stackoverflow.com/questions/13246670/how-to-fix-the-jquery-1-8-unsupported-pseudo-all-error,How to fix the jQuery 1.8 “unsupported pseudo: all” error?,,,,,
15,"['javascript', 'jquery', 'jquery-events']","{'account_id': 2017128, 'reputation': 11, 'user_id': 1804167, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/39683ba871edcfacdcb189ec04d9554a?s=256&d=identicon&r=PG', 'display_name': 'RJFreund', 'link': 'https://stackoverflow.com/users/1804167/rjfreund'}",True,139,,3,1,1667660726,1352230203,1667660726.0,13258004,CC BY-SA 4.0,https://stackoverflow.com/questions/13258004/how-do-i-get-this-to-reference-a-class-instead-of-an-html-button-during-onlick,How do I get &quot;this&quot; to reference a Class instead of an html button during onlick?,,,,,
