,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason
0,"['javascript', 'html', 'geolocation']","{'account_id': 3237430, 'reputation': 3849, 'user_id': 2731253, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/bf88a5179da66f2e54012dd30b6f31cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'james', 'link': 'https://stackoverflow.com/users/2731253/james'}",True,1283,65694912.0,3,5,1669145061,1609619249,65543741,CC BY-SA 4.0,https://stackoverflow.com/questions/65543741/html5-geolocation-api-quietly-fails-when-mac-settings-not-browser-settings-den,HTML5 Geolocation API quietly fails when Mac settings (not browser settings) deny location sharing,,,,
1,['javascript'],"{'account_id': 20551059, 'reputation': 13, 'user_id': 15083761, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4db7e8b686ed4db87b3dc182306d4cfa?s=256&d=identicon&r=PG&f=1', 'display_name': 'jciaurriz_iar', 'link': 'https://stackoverflow.com/users/15083761/jciaurriz-iar'}",True,1173,65901096.0,5,0,1669136884,1611662576,65901022,CC BY-SA 4.0,https://stackoverflow.com/questions/65901022/remove-part-of-the-string-before-the-first-dot-with-js,Remove part of the string before the FIRST dot with js,1611662839.0,,,
2,"['javascript', 'node.js', 'mongodb', 'express', 'mongoose']","{'account_id': 18411187, 'reputation': 405, 'user_id': 13411438, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhlCDz_-cK1og86593x33IGs9R5Ibr8mT3XjruvoQ=k-s256', 'display_name': 'Clinton', 'link': 'https://stackoverflow.com/users/13411438/clinton'}",True,41113,67611602.0,22,19,1669135466,1610442366,65680842,CC BY-SA 4.0,https://stackoverflow.com/questions/65680842/error-mongooseerror-operation-users-insertone-buffering-timed-out-after-1,"&quot;Error: MongooseError: Operation `users.insertOne()` buffering timed out after 10000ms&quot;,",1644962754.0,,,
3,"['javascript', 'jquery', 'copy', 'textarea', 'clipboard']","{'account_id': 18786518, 'reputation': 648, 'user_id': 13700000, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XfDOO.jpg?s=256&g=1', 'display_name': 'en0ndev', 'link': 'https://stackoverflow.com/users/13700000/en0ndev'}",True,144,65722442.0,2,1,1669019153,1610638211,65721923,CC BY-SA 4.0,https://stackoverflow.com/questions/65721923/how-to-use-setselectionrange-with-document-getelementsbyclassname,How to use setSelectionRange with document.getElementsByClassName?,1669019153.0,,,
4,['javascript'],"{'account_id': 20445524, 'reputation': 23, 'user_id': 15001428, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/40a05fef8c0586ba72298c4ed6769ea0?s=256&d=identicon&r=PG&f=1', 'display_name': 'littlrichrrd94', 'link': 'https://stackoverflow.com/users/15001428/littlrichrrd94'}",True,55,,3,0,1668995436,1610829309,65754447,CC BY-SA 4.0,https://stackoverflow.com/questions/65754447/js-iterate-through-a-list-using-a-timeout-without-async-await,JS: Iterate through a list using a timeout without async/await,1610830016.0,,,
5,"['javascript', 'vue.js']","{'account_id': 20225265, 'reputation': 95, 'user_id': 14833374, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/28ffc9d7025b603b572f9fe4a645a675?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mah', 'link': 'https://stackoverflow.com/users/14833374/mah'}",False,7472,,1,2,1668967385,1609484642,65527862,CC BY-SA 4.0,https://stackoverflow.com/questions/65527862/multiple-refs-inside-a-vue-js-component,Multiple refs inside a Vue.js component,1609489470.0,,,
6,"['javascript', 'reactjs', 'react-infinite-scroll-component', 'react-infinite-scroll']","{'account_id': 7556791, 'reputation': 201, 'user_id': 5736112, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/4a4992e47e824469a2096ccc288f0b2a?s=256&d=identicon&r=PG&f=1', 'display_name': 'MaxRah', 'link': 'https://stackoverflow.com/users/5736112/maxrah'}",True,4128,65532981.0,1,2,1668957212,1609503007,65529551,CC BY-SA 4.0,https://stackoverflow.com/questions/65529551/how-to-use-react-infinite-scroll-component-inside-a-material-ui-dialog-modal,How to use react-infinite-scroll-component inside a Material-UI Dialog modal?,,,,
7,"['javascript', 'lerna']","{'account_id': 6014322, 'reputation': 6934, 'user_id': 4723732, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/77fa71fdc548472c228be40043c1bc1f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Richard Rublev', 'link': 'https://stackoverflow.com/users/4723732/richard-rublev'}",True,4182,65842988.0,2,1,1668846167,1611308597,65842726,CC BY-SA 4.0,https://stackoverflow.com/questions/65842726/how-do-i-add-a-package-to-my-lerna-repository,How do I add a package to my Lerna repository?,1611310711.0,,,
8,"['javascript', 'jsx', 'adobe-illustrator']","{'account_id': 2058732, 'reputation': 951, 'user_id': 1835854, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/a174401e7f3559a35bcbcb61ea23ba32?s=256&d=identicon&r=PG', 'display_name': 'Bob Haslett', 'link': 'https://stackoverflow.com/users/1835854/bob-haslett'}",False,372,,0,0,1668804599,1610557955,65706597,CC BY-SA 4.0,https://stackoverflow.com/questions/65706597/return-folder-path-illustrator-jsx-different-result-in-illustrat-cc2018-to-2021,return folder path illustrator jsx different result in illustrat CC2018 to 2021,1610559784.0,,,
9,"['javascript', 'css', 'react-native', 'react-native-web']","{'account_id': 394237, 'reputation': 9217, 'user_id': 756566, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/0d46603fb8d0a3a068ff4875b9c74421?s=256&d=identicon&r=PG', 'display_name': 'Steven Matthews', 'link': 'https://stackoverflow.com/users/756566/steven-matthews'}",False,1146,,3,1,1668791704,1610828438,65754314,CC BY-SA 4.0,https://stackoverflow.com/questions/65754314/what-is-the-best-way-to-dynamically-scale-styles-in-react-native-web-on-window-r,What is the best way to dynamically scale styles in React Native Web on window resize?,,,,
10,"['javascript', 'jquery', 'iframe', 'youtube', 'youtube-api']","{'account_id': 19332983, 'reputation': 35, 'user_id': 14134153, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fjlDy.png?s=256&g=1', 'display_name': 'Sam Donaghy-Bell', 'link': 'https://stackoverflow.com/users/14134153/sam-donaghy-bell'}",False,902,,1,1,1668775707,1609805163,65571520,CC BY-SA 4.0,https://stackoverflow.com/questions/65571520/youtube-api-volume-control,YouTube API volume control,1668775707.0,,,
11,"['javascript', 'node.js', 'typescript', 'unit-testing', 'jestjs']","{'account_id': 14453294, 'reputation': 1175, 'user_id': 10440172, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/1S4YU.jpg?s=256&g=1', 'display_name': 'Sufiane', 'link': 'https://stackoverflow.com/users/10440172/sufiane'}",True,41421,67114668.0,7,44,1668750367,1609707787,65554910,CC BY-SA 4.0,https://stackoverflow.com/questions/65554910/jest-referenceerror-cannot-access-before-initialization,jest ReferenceError: Cannot access &#39;&#39; before initialization,1609709590.0,,,
