,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason
0,"['javascript', 'ethereum', 'web3js', 'metamask']","{'account_id': 17937478, 'reputation': 544, 'user_id': 13033540, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/c608v.jpg?s=256&g=1', 'display_name': '0xD1x0n', 'link': 'https://stackoverflow.com/users/13033540/0xd1x0n'}",False,1386,1,0,1669139357,1622829082,1669139327.0,67841874,CC BY-SA 4.0,https://stackoverflow.com/questions/67841874/web3-eth-abi-encodefunctioncall-is-not-working,Web3.eth.abi.encodeFunctionCall Is not working,,,,
1,"['javascript', 'web3js']","{'account_id': 14623146, 'reputation': 1005, 'user_id': 10561191, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d0b86e1b2c5b2477b7befa4174e80ab7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Prakash Harvani', 'link': 'https://stackoverflow.com/users/10561191/prakash-harvani'}",False,6162,1,0,1669139251,1623262557,1669139229.0,67909673,CC BY-SA 4.0,https://stackoverflow.com/questions/67909673/getting-this-types-of-err-when-i-am-trying-to-send-transaction-from-web3-using-b,Getting this types of err when i am trying to send transaction from web3 using biconomy,,,,
2,"['javascript', 'html', 'vue.js', 'frontend', 'screen-readers']","{'account_id': 21887936, 'reputation': 3, 'user_id': 16175346, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/819a30d1d558021f92ed47f2c17eb392?s=256&d=identicon&r=PG&f=1', 'display_name': 'janesbeat', 'link': 'https://stackoverflow.com/users/16175346/janesbeat'}",True,112,3,0,1669110563,1623239721,1623244679.0,67903657,CC BY-SA 4.0,https://stackoverflow.com/questions/67903657/how-can-i-determine-the-order-in-which-text-is-read-by-a-screen-reader,How can I determine the order in which text is read by a screen reader?,,,,
3,"['javascript', 'reactjs', 'visual-studio-code', 'plugins', 'import']","{'account_id': 11096097, 'reputation': 1670, 'user_id': 8146182, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1353657418054591/picture?type=large', 'display_name': 'Sachin Titus', 'link': 'https://stackoverflow.com/users/8146182/sachin-titus'}",False,442,2,1,1669068985,1623391449,,67931959,CC BY-SA 4.0,https://stackoverflow.com/questions/67931959/visual-studio-code-copying-files-without-breaking-import-paths,Visual Studio Code: Copying files without breaking import paths,,,,
4,"['javascript', 'blockchain', 'ethereum', 'web3js']","{'account_id': 14672026, 'reputation': 740, 'user_id': 10596249, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bac3d74051475e161c49399d542aa543?s=256&d=identicon&r=PG&f=1', 'display_name': 'soubhagya', 'link': 'https://stackoverflow.com/users/10596249/soubhagya'}",True,1152,1,2,1669058249,1623851662,1669058249.0,68004109,CC BY-SA 4.0,https://stackoverflow.com/questions/68004109/unhandled-rejection-opensea-error-while-making-buying-items,Unhandled Rejection Opensea error while making Buying Items,,,,
5,"['javascript', 'android', 'vue.js', 'ionic-framework', 'capacitor']","{'account_id': 14049866, 'reputation': 33, 'user_id': 10148986, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/0w4rw.jpg?s=256&g=1', 'display_name': 'Vercors', 'link': 'https://stackoverflow.com/users/10148986/vercors'}",True,2132,3,1,1669052927,1622536202,1622538122.0,67785352,CC BY-SA 4.0,https://stackoverflow.com/questions/67785352/uncaught-in-promise-error-device-plugin-is-not-implemented-on-android,Uncaught (in promise) Error: &quot;Device&quot; plugin is not implemented on android,,,,
6,"['javascript', 'reactjs', 'forms', 'react-hook-form']","{'account_id': 12635094, 'reputation': 1603, 'user_id': 9184865, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/CdDNX.jpg?s=256&g=1', 'display_name': 'Michal', 'link': 'https://stackoverflow.com/users/9184865/michal'}",True,13551,1,10,1669034303,1623313674,1669034303.0,67917480,CC BY-SA 4.0,https://stackoverflow.com/questions/67917480/onchange-input-in-react-hook-form,onChange input in react-hook-form,67917763.0,,,
7,"['javascript', 'npm']","{'account_id': 19417879, 'reputation': 39, 'user_id': 14200927, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fM9Zu.png?s=256&g=1', 'display_name': 'DanDev', 'link': 'https://stackoverflow.com/users/14200927/dandev'}",True,7966,2,3,1668943304,1624377440,1624377521.0,68086945,CC BY-SA 4.0,https://stackoverflow.com/questions/68086945/downgrade-node-on-macbook,Downgrade Node on MacBook,,,,
8,"['javascript', 'html', 'css']","{'account_id': 14985294, 'reputation': 259, 'user_id': 10818030, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/307a74842f8bc804bc4d9a8f1c549194?s=256&d=identicon&r=PG&f=1', 'display_name': 'Casey Cling', 'link': 'https://stackoverflow.com/users/10818030/casey-cling'}",True,19614,3,1,1668908813,1622698292,1622715414.0,67815853,CC BY-SA 4.0,https://stackoverflow.com/questions/67815853/how-do-i-make-an-image-full-screen-on-click,How do I make an image full screen on click?,67816263.0,,,
9,"['javascript', 'api', 'spotify']","{'account_id': 13419188, 'reputation': 31, 'user_id': 9682588, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Y5aPY.jpg?s=256&g=1', 'display_name': 'Marek42', 'link': 'https://stackoverflow.com/users/9682588/marek42'}",False,357,1,1,1668856872,1624111530,,68047533,CC BY-SA 4.0,https://stackoverflow.com/questions/68047533/spotify-web-api-how-to-play-a-playlist,Spotify Web API - How to play a playlist,,,,
