,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason
0,"['javascript', 'node.js', 'web-scraping', 'puppeteer']","{'account_id': 16700988, 'reputation': 19, 'user_id': 12070764, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d9023e6f3b4f34e476607af72bfdbf46?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ebuka', 'link': 'https://stackoverflow.com/users/12070764/ebuka'}",False,345,1,0,1669211056,1655761945,72693349,CC BY-SA 4.0,https://stackoverflow.com/questions/72693349/puppeteer-not-loading-complete-page-render,Puppeteer not loading complete page render,,,,
1,"['javascript', 'twitter-bootstrap', 'npm', 'postcss', 'autoprefixer']","{'account_id': 19772545, 'reputation': 496, 'user_id': 18961814, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d807569f2f360c59a6cf69de8007941f?s=256&d=identicon&r=PG', 'display_name': 'ZebraCoder', 'link': 'https://stackoverflow.com/users/18961814/zebracoder'}",True,38435,12,41,1669198306,1654462345,72511039,CC BY-SA 4.0,https://stackoverflow.com/questions/72511039/autoprefixer-replace-color-adjust-to-print-color-adjust-the-color-adjust-short,autoprefixer: Replace color-adjust to print-color-adjust. The color-adjust shorthand is currently deprecated,72556896.0,1664792881.0,,
2,"['javascript', 'node.js', 'reactjs', 'react-native', 'runtime-error']","{'account_id': 24114308, 'reputation': 1, 'user_id': 18084442, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhJNQd5DhZc-e3FA-EHG8Ll7R1ReAbysMAccg27Iw=k-s256', 'display_name': 'Rufat', 'link': 'https://stackoverflow.com/users/18084442/rufat'}",False,106,2,0,1669198041,1654068612,72457912,CC BY-SA 4.0,https://stackoverflow.com/questions/72457912/react-native-androids-has-problem-value-at-is-not-a-function-in-value-at-1,"React Native Androids has problem value.at is not a function. (in &#39;value.at(-1)&#39;), &#39;value.at&#39; is undefined",,,,
3,"['javascript', 'webpack', 'electron', 'expo', 'electron-builder']","{'account_id': 7013404, 'reputation': 81, 'user_id': 5589427, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiV7o7G5jFD2KPC0-Z19Fd3d3-lSsHU5wV6NTk_9w=k-s256', 'display_name': 'Siva Nagendra Kumar Vepada', 'link': 'https://stackoverflow.com/users/5589427/siva-nagendra-kumar-vepada'}",True,57,1,0,1669106283,1655110121,72600052,CC BY-SA 4.0,https://stackoverflow.com/questions/72600052/how-to-add-a-preload-js-script-to-expo-electron-app,How to add a preload.js script to expo-electron app?,74529641.0,,,
4,"['javascript', 'reactjs', 'npm']","{'account_id': 23675167, 'reputation': 971, 'user_id': 17701489, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ghw1XhfB14tJ-OXsrcnwfovPJFizB1kzAHvHJEr=k-s256', 'display_name': 'Romin Manogil', 'link': 'https://stackoverflow.com/users/17701489/romin-manogil'}",True,90972,6,86,1669105155,1654283276,72494154,CC BY-SA 4.0,https://stackoverflow.com/questions/72494154/a-listener-indicated-an-asynchronous-response-by-returning-true-but-the-messag,"&quot;A listener indicated an asynchronous response by returning true, but the message channel closed before a response was received&quot;, What does that mean?",72506927.0,1656215161.0,,
5,"['javascript', 'node.js', 'json', 'discord', 'discord.js']","{'account_id': 22893772, 'reputation': 2130, 'user_id': 17033559, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/38mPS.png?s=256&g=1', 'display_name': 'MegaMix_Craft', 'link': 'https://stackoverflow.com/users/17033559/megamix-craft'}",True,667,1,0,1669071807,1655847990,72707447,CC BY-SA 4.0,https://stackoverflow.com/questions/72707447/typeerror-cannot-read-properties-of-undefined-reading-link-in-json,TypeError: Cannot read properties of undefined (reading &#39;link&#39;) in json,72708950.0,,,
6,"['javascript', 'regex', 'replace', 'format', 'phone-number']","{'account_id': 20112544, 'reputation': 308, 'user_id': 14748677, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/RViBi.jpg?s=256&g=1', 'display_name': 'Weronika', 'link': 'https://stackoverflow.com/users/14748677/weronika'}",True,567,2,-4,1669066302,1655279451,72627663,CC BY-SA 4.0,https://stackoverflow.com/questions/72627663/format-phone-number-in-javascript,Format phone number in Javascript,72627699.0,1655282432.0,,
7,"['javascript', 'django', 'agora.io', 'agora-web-sdk-ng']","{'account_id': 24470058, 'reputation': 53, 'user_id': 18389940, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxez_G4hMGq51MuXyino1qScza-UR1nxf1XnTAK=k-s256', 'display_name': 'Naimur Sharon', 'link': 'https://stackoverflow.com/users/18389940/naimur-sharon'}",False,81,0,0,1669046470,1654375830,72503066,CC BY-SA 4.0,https://stackoverflow.com/questions/72503066/agorartc-cant-add-multiple-users-in-the-webpage-cant-figure-out-what-went-wro,AgoraRTC can&#39;t add multiple users in the webpage. can&#39;t figure out what went wrong,,,,
8,"['javascript', 'next.js']","{'account_id': 7987260, 'reputation': 191, 'user_id': 7525187, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://i.stack.imgur.com/QCjF0.jpg?s=256&g=1', 'display_name': 'YaddyVirus', 'link': 'https://stackoverflow.com/users/7525187/yaddyvirus'}",True,423,1,5,1669038767,1654907365,72580914,CC BY-SA 4.0,https://stackoverflow.com/questions/72580914/next-js-inline-script-only-loads-once,Next.js inline script only loads once,72661262.0,1655363129.0,,
9,"['javascript', 'bots', 'mastodon']","{'account_id': 3577520, 'reputation': 1899, 'user_id': 2986401, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/9b48bdba0baeee5d9e68fec1abbb9e83?s=256&d=identicon&r=PG', 'display_name': 'aitor', 'link': 'https://stackoverflow.com/users/2986401/aitor'}",False,107,1,0,1669021453,1656275483,72764933,CC BY-SA 4.0,https://stackoverflow.com/questions/72764933/mastodon-api-how-to-get-one-status-toot,Mastodon api. How to get one status (toot),,,,
10,"['javascript', 'firebase', 'react-native', 'expo']","{'account_id': 24273634, 'reputation': 89, 'user_id': 18221257, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2d3b8f416eb4911bed39fba970d08362?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jeandr&#233; De Villiers', 'link': 'https://stackoverflow.com/users/18221257/jeandr%c3%a9-de-villiers'}",True,3227,3,4,1669019490,1655061916,72595258,CC BY-SA 4.0,https://stackoverflow.com/questions/72595258/how-to-i-get-rid-of-console-warning-expo-app-loading-is-deprecated-in-favour-of,How to I get rid of Console Warning: expo-app-loading is deprecated in favour of expo-splash-screen?,72595477.0,,,
11,"['javascript', 'reactjs', 'typescript', 'contenteditable', 'inputevent']","{'account_id': 6487569, 'reputation': 1631, 'user_id': 5022605, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/0721b295536fb18e061e97dc1b59ba5e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alvin Stefanus', 'link': 'https://stackoverflow.com/users/5022605/alvin-stefanus'}",True,58,1,1,1669015712,1655703308,72682612,CC BY-SA 4.0,https://stackoverflow.com/questions/72682612/react-how-to-catch-oninput-event-with-inputevent-arguments-on-contentedita,React: How to catch `onInput` event with `InputEvent` arguments on `contentEditable` div?,72682784.0,1669015712.0,,
12,"['javascript', 'react-native', 'node-modules']","{'account_id': 4587787, 'reputation': 33, 'user_id': 3721957, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arshad', 'link': 'https://stackoverflow.com/users/3721957/arshad'}",False,102,1,0,1668988005,1655821295,72702476,CC BY-SA 4.0,https://stackoverflow.com/questions/72702476/convert-node-package-to-react-native,Convert node package to React Native,,,,
13,"['javascript', 'canvas', 'getusermedia', 'screen-capture', 'capturestream']","{'account_id': 25480005, 'reputation': 1, 'user_id': 19276527, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/824a13da69df27ec34b85507fa3c9998?s=256&d=identicon&r=PG', 'display_name': 'Koopaxv', 'link': 'https://stackoverflow.com/users/19276527/koopaxv'}",False,17,0,0,1668904700,1654474772,72511957,,https://stackoverflow.com/questions/72511957/javascript-capturestream-with-audio,Javascript captureStream with audio,,1668904700.0,1654482139.0,Duplicate
14,"['javascript', 'reactjs', 'tradingview-api']","{'account_id': 12378993, 'reputation': 444, 'user_id': 9025501, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/849ba2520c57592459cbd8551f494795?s=256&d=identicon&r=PG', 'display_name': 'Hozhabr', 'link': 'https://stackoverflow.com/users/9025501/hozhabr'}",False,274,0,0,1668839805,1654889001,72578986,CC BY-SA 4.0,https://stackoverflow.com/questions/72578986/tradingview-advance-chart-has-cannot-read-properties-of-undefined-reading-star,TradingView advance chart has Cannot read properties of undefined (reading &#39;startsWith&#39;),,,,
15,"['javascript', 'spring-boot', 'uri', 'decode', 'urlencode']","{'account_id': 7541060, 'reputation': 13, 'user_id': 5725618, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f18ec29d8cd67b86e1f0e110a2b7e09f?s=256&d=identicon&r=PG&f=1', 'display_name': 'kboq', 'link': 'https://stackoverflow.com/users/5725618/kboq'}",False,135,1,1,1668822048,1655505858,72665433,CC BY-SA 4.0,https://stackoverflow.com/questions/72665433/spring-boot-request-parameters-not-decoding,Spring Boot request Parameters not decoding &#39;+&#39;,,,,
16,"['javascript', 'node.js', 'redis', 'node-redis']","{'account_id': 16056063, 'reputation': 356, 'user_id': 11588377, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e6a0a35f675a3f3ed5def07e82154f6b?s=256&d=identicon&r=PG&f=1', 'display_name': 'DiegoGoLeoro', 'link': 'https://stackoverflow.com/users/11588377/diegogoleoro'}",True,60,2,1,1668801582,1656174753,72755566,CC BY-SA 4.0,https://stackoverflow.com/questions/72755566/unable-to-set-up-redis-in-a-node-js-project,Unable to set up Redis in a Node.js project,74494762.0,,,
