,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,locked_date
0,"['python', 'python-3.x', 'pandas', 'dataframe', 'pandas-groupby']","{'account_id': 11474660, 'reputation': 8653, 'user_id': 8410477, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/dVgCN.jpg?s=256&g=1', 'display_name': 'ah bon', 'link': 'https://stackoverflow.com/users/8410477/ah-bon'}",True,1424,60000074.0,2,2,1669107853,1580458016,1580458120.0,60000054,CC BY-SA 4.0,https://stackoverflow.com/questions/60000054/split-one-excel-file-into-multiple-with-specific-number-of-rows-in-pandas,Split one excel file into multiple with specific number of rows in Pandas,,,,,
1,"['python', 'hook', 'python-behave']","{'account_id': 16566619, 'reputation': 21, 'user_id': 11970994, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2163124297130780/picture?type=large', 'display_name': 'Raj Singh Rathore', 'link': 'https://stackoverflow.com/users/11970994/raj-singh-rathore'}",False,382,,1,1,1669101444,1579501209,1581928163.0,59817925,CC BY-SA 4.0,https://stackoverflow.com/questions/59817925/error-getting-after-used-hooks-in-behave-framework-python-before-scenario-and-a,Error getting after used hooks in behave framework python (before_scenario and after_scenario),,,,,
2,"['python', 'python-3.x', 'abstract-class', 'abc', 'abstract-methods']","{'account_id': 8960236, 'reputation': 277, 'user_id': 6683176, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c1783a6e83c2f50d6d3e567c327e642d?s=256&d=identicon&r=PG&f=1', 'display_name': 'pablowilks2', 'link': 'https://stackoverflow.com/users/6683176/pablowilks2'}",True,145,59741034.0,2,3,1669083547,1579032150,1669082636.0,59740972,CC BY-SA 4.0,https://stackoverflow.com/questions/59740972/what-does-the-abstract-base-class-register-method-actually-do-in-python,What does the Abstract Base Class register method actually do in Python?,,,,,
3,"['python', 'python-3.x', 'multithreading']","{'account_id': 12054288, 'reputation': 2078, 'user_id': 8815948, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/b0f69dcdff68cb3df3bb410569cd49f3?s=256&d=identicon&r=PG&f=1', 'display_name': 'RAM', 'link': 'https://stackoverflow.com/users/8815948/ram'}",True,22371,,3,9,1669004723,1579648149,,59850517,CC BY-SA 4.0,https://stackoverflow.com/questions/59850517/how-to-run-background-tasks-in-python,How to run background tasks in python,,,,,
4,"['python', 'pandas']","{'account_id': 11494090, 'reputation': 107, 'user_id': 8424008, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/BvAKh.png?s=256&g=1', 'display_name': 'Jayahe', 'link': 'https://stackoverflow.com/users/8424008/jayahe'}",True,842,59553627.0,2,1,1668943693,1577891482,1668943693.0,59553606,CC BY-SA 4.0,https://stackoverflow.com/questions/59553606/how-to-collapse-group-columns-in-pandas,How to collapse/group columns in pandas,,,,,
5,"['python', 'powerpoint', 'python-pptx']","{'account_id': 17501637, 'reputation': 61, 'user_id': 12691763, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/95cf670094298cd6ea8c2a2aebe2d01f?s=256&d=identicon&r=PG&f=1', 'display_name': 'stolbert', 'link': 'https://stackoverflow.com/users/12691763/stolbert'}",True,1713,59701080.0,3,1,1668701088,1578688959,,59688750,CC BY-SA 4.0,https://stackoverflow.com/questions/59688750/how-to-extract-comments-from-powerpoint-presentation-slides-using-python,How to extract comments from PowerPoint presentation slides using Python,,,,,
6,"['python', 'visual-studio-code', 'syntax-highlighting', 'macos-catalina']","{'account_id': 1963245, 'reputation': 736, 'user_id': 1764142, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/aDWeo.jpg?s=256&g=1', 'display_name': 'Diego Serrano', 'link': 'https://stackoverflow.com/users/1764142/diego-serrano'}",True,52845,59869521.0,5,10,1668694258,1579196120,1579649555.0,59775038,CC BY-SA 4.0,https://stackoverflow.com/questions/59775038/visual-studio-code-syntax-highlighting-not-working,Visual Studio Code syntax highlighting not working,,,,,
7,"['python', 'django', 'django-models', 'django-rest-framework', 'django-serializer']","{'account_id': 8777802, 'reputation': 5474, 'user_id': 6562458, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/614199198741240/picture?type=large', 'display_name': 'Sumithran', 'link': 'https://stackoverflow.com/users/6562458/sumithran'}",True,223,59794337.0,1,1,1668684720,1579289990,1668684720.0,59793874,CC BY-SA 4.0,https://stackoverflow.com/questions/59793874/django-rest-framework-relationship-queries-in-nested-serializer,Django Rest Framework relationship queries in nested serializer,,,,,
8,"['python', 'pip', 'anaconda', 'virtual-environment']","{'account_id': 14985436, 'reputation': 4173, 'user_id': 10818128, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-YiTeo4kuZiQ/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYYf6McGCeXvwrDf9sDgLHNO5VGKQ/mo/photo.jpg?sz=256', 'display_name': 'Derek Eden', 'link': 'https://stackoverflow.com/users/10818128/derek-eden'}",False,574,,1,2,1668672791,1578579409,,59665964,CC BY-SA 4.0,https://stackoverflow.com/questions/59665964/best-way-to-export-anaconda-environment-but-also-include-custom-made-packages,best way to export anaconda environment but also include custom made packages?,,,,,
9,"['python', 'pytest', 'python-unittest']","{'account_id': 145657, 'reputation': 7610, 'user_id': 355610, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/065eeac355af04024ff46010e71c6675?s=256&d=identicon&r=PG', 'display_name': 'eruciform', 'link': 'https://stackoverflow.com/users/355610/eruciform'}",True,1331,59847429.0,1,3,1668583884,1579632074,1579632391.0,59847327,CC BY-SA 4.0,https://stackoverflow.com/questions/59847327/pytest-sessionstart-finish-wont-print,pytest_sessionstart/finish won&#39;t print,,,,,
10,"['python', 'selenium', 'webdriver']","{'account_id': 17032612, 'reputation': 111, 'user_id': 12332688, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBwtP7iS6z7NvkJAaxXysXoyeOBiS3F35rYH2BZbw=k-s256', 'display_name': 'Kayra Uckilinc', 'link': 'https://stackoverflow.com/users/12332688/kayra-uckilinc'}",False,719,,2,-3,1668475778,1578949671,1668475778.0,59724171,CC BY-SA 4.0,https://stackoverflow.com/questions/59724171/how-to-get-the-text-of-an-element-with-id-with-selenium,How to get the text of an element with id with Selenium,,,,,
11,"['python', 'django', 'amazon-s3', 'boto3']","{'account_id': 17130922, 'reputation': 105, 'user_id': 12397044, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8e7d17b283d6b944a21f16d3dfd6cd99?s=256&d=identicon&r=PG&f=1', 'display_name': 'horrible_nerd', 'link': 'https://stackoverflow.com/users/12397044/horrible-nerd'}",True,5347,,2,2,1668449046,1579846952,,59891320,CC BY-SA 4.0,https://stackoverflow.com/questions/59891320/valueerror-filename-must-be-a-string-while-uploading-file-to-s3-bucket,ValueError: Filename must be a string while uploading file to s3 bucket,,,,,
12,"['python', 'nlp', 'spacy']","{'account_id': 12256509, 'reputation': 677, 'user_id': 8945408, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/0b0f521586b89f3ddc15a5887a03de4e?s=256&d=identicon&r=PG&f=1', 'display_name': 'AlanPear', 'link': 'https://stackoverflow.com/users/8945408/alanpear'}",True,402,,2,1,1668177908,1580417848,1580480726.0,59994402,CC BY-SA 4.0,https://stackoverflow.com/questions/59994402/extract-text-from-unstructured-medical-documents-for-nlp,Extract Text From Unstructured Medical Documents For NLP,,,,,
13,"['python', 'rest', 'post', 'sharepoint']","{'account_id': 17054459, 'reputation': 31, 'user_id': 12339340, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-4zaN5klLoMQ/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcMRr1hdZYr7275mHvBeIhOY5yqag/photo.jpg?sz=256', 'display_name': 'vincethevince', 'link': 'https://stackoverflow.com/users/12339340/vincethevince'}",False,706,,2,2,1668164010,1579602018,1579603337.0,59838913,CC BY-SA 4.0,https://stackoverflow.com/questions/59838913/sharepoint-checkout-file-by-python,SharePoint checkout File by python,,,,,
14,"['python', 'numpy', 'scikit-learn', 'statistics']","{'account_id': 16788042, 'reputation': 75, 'user_id': 12136466, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mD8kbk7VuM6m58W75oN8o7VB8Tz0wEGNpyjOwcZLA=k-s256', 'display_name': 'Debayan Paul', 'link': 'https://stackoverflow.com/users/12136466/debayan-paul'}",True,6772,,3,2,1668094434,1580142458,,59935155,CC BY-SA 4.0,https://stackoverflow.com/questions/59935155/how-to-calculate-mean-bias-errormbe-in-python,How to calculate Mean Bias Error(MBE) in Python?,,,,,
