,word,count
0,quot,1622
1,module,930
2,django,797
3,dataframe,789
4,image,760
5,attribute,497
6,script,462
7,name,449
8,selenium,433
9,flask,419
10,time,418
11,jupyter,409
12,text,406
13,cannot,401
14,import,400
15,line,380
16,google,363
17,notebook,342
18,csv,339
19,pandas,335
20,json,330
21,api,317
22,plot,300
23,server,299
24,typeerror,295
25,command,294
26,problem,294
27,package,293
28,use,287
29,py,277
30,custom,260
31,environment,252
32,request,248
33,access,247
34,index,246
35,argument,240
36,attributeerror,239
37,version,239
38,tkinter,238
39,pytorch,233
40,path,224
41,message,220
42,directory,218
43,pycharm,212
44,size,209
45,field,208
46,valueerror,208
47,app,203
48,pygame,203
49,pip,198
50,test,195
51,program,195
52,importerror,191
53,html,190
54,issue,189
55,get,189
56,database,188
57,matplotlib,187
58,client,186
59,docker,185
60,graph,183
61,matrix,183
62,web,178
63,user,177
64,install,175
65,application,174
66,conda,173
67,connection,173
68,format,172
69,load,171
70,pyspark,170
71,discord,168
72,columns,167
73,difference,166
74,work,161
75,gt,157
76,sqlalchemy,157
77,tensorflow,156
78,shape,154
79,azure,154
80,query,152
81,modulenotfounderror,150
82,dataset,150
83,memory,150
84,tensor,150
85,default,148
86,window,146
87,python3,146
88,range,144
89,frame,144
90,search,142
91,change,140
92,word,139
93,order,137
94,response,137
95,series,134
96,colab,133
97,print,130
98,create,130
99,folder,130
100,vs,129
101,doesn,129
102,result,129
103,loss,128
104,beautifulsoup,127
105,layer,127
106,convert,127
107,data,127
108,none,126
109,network,126
110,tf,126
111,rest,124
112,pyinstaller,122
113,pdf,121
114,key,120
115,library,119
116,opencv,119
117,return,118
118,scrapy,118
119,process,118
120,framework,118
121,cloud,118
122,system,115
123,detection,115
124,id,114
125,anaconda,112
126,post,112
127,instance,111
128,excel,111
129,view,111
130,regex,110
131,video,108
132,task,105
133,session,105
134,bar,105
135,parameter,103
136,bot,103
137,studio,102
138,mac,101
139,sql,100
140,statement,99
141,count,96
142,generator,95
