,word,count
0,sql,281
1,query,181
2,column,164
3,table,127
4,value,114
5,date,78
6,quot,75
7,error,60
8,group,56
9,mysql,50
10,function,46
11,row,45
12,database,44
13,number,43
14,join,40
15,oracle,39
16,statement,39
17,server,37
18,time,37
19,id,37
20,count,35
21,json,34
22,i,30
23,string,30
24,case,29
25,postgresql,29
26,result,29
27,list,26
28,select,26
29,sum,25
30,condition,25
31,columns,24
32,order,24
33,clause,24
34,way,24
35,t,23
36,name,23
37,record,23
38,month,23
39,bigquery,22
40,type,22
41,array,21
42,field,19
43,insert,18
44,file,17
45,procedure,17
46,filter,16
47,access,16
48,view,15
49,index,15
50,trigger,14
51,range,14
52,syntax,14
53,code,13
54,constraint,13
55,day,13
56,update,12
57,azure,12
58,output,12
59,issue,12
60,user,12
61,python,12
62,use,12
63,data,11
64,db,11
65,timestamp,11
66,partition,11
67,key,11
68,problem,11
69,union,11
70,max,11
71,operator,11
72,php,11
73,week,11
74,difference,11
75,parameter,10
76,relationship,10
77,limit,10
78,create,10
79,presto,10
80,duplicate,10
81,cannot,9
82,percentage,9
83,subquery,9
84,java,9
85,return,9
86,object,9
87,convert,9
88,search,9
89,gt,9
90,set,8
91,script,8
92,merge,8
93,change,8
94,snowflake,8
95,format,7
96,performance,7
97,multiple,7
98,text,7
99,connection,7
100,keyword,7
101,character,7
102,null,7
103,vs,7
104,expression,7
105,mm,7
106,product,7
107,status,7
108,amp,6
109,pivot,6
110,django,6
111,end,6
112,pl,6
113,redshift,6
114,path,6
115,button,6
116,lt,6
117,match,6
118,command,6
119,entry,6
120,start,6
121,spring,6
122,varchar,6
123,check,6
124,parent,6
125,year,6
126,item,6
127,relation,6
128,child,6
129,extract,6
130,ssrs,5
131,r,5
132,coalesce,5
133,split,5
134,element,5
135,entity,5
136,display,5
137,sort,5
138,information,5
139,get,5
140,line,5
141,sqlalchemy,5
142,loop,5
143,db2,5
144,word,5
145,m,5
146,cell,5
147,html,5
148,window,5
149,request,5
150,yyyy,5
151,connect,4
152,powershell,4
153,report,4
154,aggregate,4
155,message,4
156,synapse,4
157,hour,4
158,combination,4
159,part,4
160,s,4
161,input,4
162,term,4
163,track,4
164,structure,4
165,isn,4
166,event,4
167,source,4
168,copy,4
169,position,4
170,identifier,4
171,category,4
172,state,4
173,conversion,4
174,int,4
175,base,4
176,exist,4
177,aggregation,4
178,employee,4
179,calculation,4
180,cte,4
181,cloud,4
182,execute,4
183,transaction,4
184,spark,4
185,period,4
186,amount,4
187,combine,4
188,length,4
189,sequence,4
190,datediff,4
191,inner,4
192,dataset,4
193,work,4
194,dd,4
195,cursor,4
196,exception,4
197,cast,4
198,question,4
199,boot,4
200,exclude,3
201,default,3
202,pyspark,3
203,purchase,3
204,optimization,3
205,fetch,3
206,jsonb,3
207,integer,3
208,step,3
209,alternative,3
210,need,3
211,calculate,3
212,vba,3
213,flight,3
214,pair,3
215,log,3
216,compare,3
217,image,3
218,property,3
219,application,3
220,custom,3
221,block,3
222,xml,3
223,total,3
224,alter,3
225,ms,3
226,developer,3
227,datetime,3
228,salary,3
229,customer,3
230,javascript,3
231,outer,3
232,header,3
233,wordpress,3
234,project,3
235,core,3
236,pass,3
237,reference,3
238,instance,3
239,excel,3
240,studio,3
241,schema,3
242,lag,3
243,average,3
244,session,3
245,distance,3
246,golang,3
247,retention,3
248,show,3
249,variable,3
250,delimiter,3
251,attribute,3
252,app,3
253,side,3
254,execution,3
255,point,3
256,min,3
257,support,3
258,environment,3
259,lookup,3
260,figure,3
261,bulk,3
262,sap,3
263,response,3
264,similarity,3
265,help,3
266,doesn,2
267,size,2
268,bcp,2
269,identity,2
270,sign,2
271,laravel,2
272,ignore,2
273,occurence,2
274,delete,2
275,process,2
276,ssis,2
277,dynamodb,2
278,timezone,2
279,zero,2
280,scope,2
281,athena,2
282,extension,2
283,foreach,2
284,fk,2
285,add,2
286,num,2
287,bar,2
288,today,2
289,level,2
290,phone,2
291,manager,2
292,cart,2
293,mean,2
294,node,2
295,unique,2
296,x,2
297,lock,2
298,formula,2
299,filtering,2
300,batch,2
301,kind,2
302,subscription,2
303,export,2
304,browser,2
305,machine,2
306,info,2
307,post,2
308,department,2
309,space,2
310,regex,2
311,cross,2
312,content,2
313,p,2
314,google,2
315,comma,2
316,stock,2
317,quantity,2
318,sale,2
319,csv,2
320,selection,2
321,hive,2
322,test,2
323,autoincrement,2
324,char,2
325,pdo,2
326,c,2
327,rank,2
328,email,2
329,midnight,2
330,typeorm,2
331,popup,2
332,impala,2
333,standard,2
334,repository,2
335,owner,2
336,price,2
337,mvc,2
338,etc,2
339,express,2
340,nvarchar,2
341,equivalent,2
342,solution,2
343,overlapping,2
344,try,2
345,account,2
346,enter,2
347,sqlstate,2
348,injection,2
349,login,2
350,tsql,2
351,client,2
352,service,2
353,drop,2
354,chain,2
355,framework,2
356,design,2
357,self,2
358,desc,2
359,gonna,2
360,store,2
361,destination,2
362,anyone,2
363,activity,2
364,program,2
365,look,2
366,memory,2
367,generate,2
368,run,2
369,dbt,2
370,jinja,2
371,bucket,2
372,b,2
373,network,2
374,parse,2
375,pipeline,2
376,supabase,2
377,dataframe,2
378,docs,2
379,ibm,2
380,timeout,2
381,page,2
382,nextjs,2
383,power,2
384,privilege,2
385,form,2
386,dont,2
387,master,2
388,commit,2
389,web,2
390,mode,1
391,cnf,1
392,migration,1
393,detail,1
394,complexity,1
395,prisma,1
396,queryout,1
397,tableadapter,1
398,front,1
399,pace,1
400,simple,1
401,queue,1
402,ap,1
403,invoice,1
404,speed,1
405,challenge,1
406,proxy,1
407,factor,1
408,livesql,1
409,asp,1
410,codeigniter,1
411,nlog,1
412,quarter,1
413,operand,1
414,mail,1
415,backend,1
416,showing,1
417,load,1
418,hyphen,1
419,pgsql,1
420,singlestore,1
421,ebs,1
422,visualization,1
423,hyperion,1
424,adaptor,1
425,hazelcast,1
426,column1date,1
427,sqlexception,1
428,plot,1
429,xmlagg,1
430,val,1
431,signup,1
432,target,1
433,summing,1
434,multipart,1
435,sas,1
436,mix,1
437,head,1
438,venue,1
439,component,1
440,dateadd,1
441,tkinter,1
442,management,1
443,system,1
444,changelog,1
445,mechanism,1
446,apex,1
447,cud,1
448,imagen,1
449,rearrange,1
450,transposition,1
451,person,1
452,scrape,1
453,numeric,1
454,difficulty,1
455,table1,1
456,reuse,1
457,context,1
458,isolation,1
459,conflict,1
460,jpa,1
461,pk,1
462,go,1
463,running,1
464,ranking,1
465,release,1
466,selecting,1
467,eeid,1
468,paycode,1
469,shiny,1
470,chem,1
471,midway,1
472,laminas,1
473,history,1
474,detect,1
475,discrepancy,1
476,cardinality,1
477,bottom,1
478,signature,1
479,argument,1
480,ytd,1
481,inorder,1
482,div,1
483,version,1
484,isnull,1
485,couple,1
486,parenthesis,1
487,platform,1
488,combobox,1
489,valuemember,1
490,score,1
491,increment,1
492,wherein,1
493,package,1
494,eclipse,1
495,someone,1
496,ef,1
497,pgadmin,1
498,allocation,1
499,sentence,1
500,left,1
501,browse,1
502,whitespace,1
503,require,1
504,jump,1
505,dopesn,1
506,currency,1
507,shorter,1
508,clickhouse,1
509,mapping,1
510,language,1
511,dataflow,1
512,warning,1
513,struct,1
514,map,1
515,pessoas,1
516,actor,1
517,javafx,1
518,connector,1
519,dependency,1
520,v,1
521,slow,1
522,contact,1
523,gorm,1
524,yy,1
525,degree,1
526,printing,1
527,delta,1
528,departure,1
529,arrival,1
530,chart,1
531,crud,1
532,sqlalchmey,1
533,phpstorm,1
534,completion,1
535,symfony,1
536,rate,1
537,sp,1
538,decode,1
539,increase,1
540,y,1
541,hh,1
542,ss,1
543,fqty,1
544,js,1
545,delphi,1
546,adoquery,1
547,import,1
548,txt,1
549,perform,1
550,jpql,1
551,springboot,1
552,cost,1
553,logic,1
554,identify,1
555,yyyymmdd,1
556,decimal,1
557,ipython,1
558,jupyter,1
559,notebook,1
560,mac,1
561,os,1
562,deadlock,1
563,race,1
564,underscore,1
565,auto,1
566,quotation,1
567,dublicate,1
568,translator,1
569,mariadb,1
570,intersection,1
571,concatenation,1
572,errno,1
573,sqlmessage,1
574,passowrd,1
575,threshold,1
576,posgresql,1
577,regexp,1
578,folder,1
579,specific,1
580,n,1
581,desktop,1
582,existance,1
583,openjson,1
584,compatibility,1
585,yesterday,1
586,subclass,1
587,convertion,1
