,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,migrated_from
0,"['sql', 'oracle11g']","{'account_id': 1195217, 'reputation': 2243, 'user_id': 1167108, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/bd81981414fec98b77e8ff321793aa14?s=256&d=identicon&r=PG', 'display_name': 'RegedUser00x', 'link': 'https://stackoverflow.com/users/1167108/regeduser00x'}",True,488293,4,55,1668621176,1333612820,10024771,CC BY-SA 3.0,https://stackoverflow.com/questions/10024771/calling-a-stored-procedure-in-oracle-with-in-and-out-parameters,Calling a stored procedure in Oracle with IN and OUT parameters,,,,,,
1,"['c#', 'sql', 'entity-framework', 'stored-procedures']","{'account_id': 314018, 'reputation': 3888, 'user_id': 628968, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/eJOrJ.jpg?s=256&g=1', 'display_name': 'bugnuker', 'link': 'https://stackoverflow.com/users/628968/bugnuker'}",True,40259,5,12,1666503154,1335467082,10339750,CC BY-SA 3.0,https://stackoverflow.com/questions/10339750/entity-framework-stored-procedure-return-value,Entity Framework - stored procedure return value,10340099.0,1335468280.0,,,,
2,"['mysql', 'sql', 'stored-procedures', 'transactions']","{'account_id': 1118915, 'reputation': 1653, 'user_id': 1107648, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/ihDVt.jpg?s=256&g=1', 'display_name': 'Priyank Kapasi', 'link': 'https://stackoverflow.com/users/1107648/priyank-kapasi'}",True,127188,4,81,1664803758,1333360717,9974325,CC BY-SA 3.0,https://stackoverflow.com/questions/9974325/mysql-transaction-within-a-stored-procedure,MySQL : transaction within a stored procedure,9975012.0,1333362442.0,,,,
3,"['sql', 'database', 'oracle', 'grouping', 'running-count']","{'account_id': 1421790, 'reputation': 53, 'user_id': 1346265, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a2a5775e8077d4f2e4e4dff5ae2db8ae?s=256&d=identicon&r=PG', 'display_name': 'user1346265', 'link': 'https://stackoverflow.com/users/1346265/user1346265'}",True,13033,1,5,1663462634,1334918165,10244594,CC BY-SA 4.0,https://stackoverflow.com/questions/10244594/how-to-add-sequence-number-for-each-element-in-a-group-using-a-sql-query-without,How to add sequence number for each element in a group using a SQL query without temp tables,10244673.0,1663462634.0,,,,
4,"['sql', 'sql-server-2008-r2', 'pivot', 'pivot-without-aggregate']","{'account_id': 66083, 'reputation': 8657, 'user_id': 194076, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/6e827fea103818a6b61bb46b6521aa3c?s=256&d=identicon&r=PG&f=1', 'display_name': 'user194076', 'link': 'https://stackoverflow.com/users/194076/user194076'}",False,10924,4,2,1663218370,1335036079,10262208,CC BY-SA 3.0,https://stackoverflow.com/questions/10262208/sql-query-to-show-results-vertically,sql query to show results vertically,,1335054164.0,,,,
5,"['mysql', 'sql']","{'account_id': 1078824, 'reputation': 7481, 'user_id': 1076389, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/lCBCP.png?s=256&g=1', 'display_name': 'Andrew', 'link': 'https://stackoverflow.com/users/1076389/andrew'}",True,389,4,1,1662705426,1334982303,10256185,CC BY-SA 3.0,https://stackoverflow.com/questions/10256185/query-to-show-items-that-are-not-in-the-list,query to show items that are NOT in the list,10273913.0,1334988936.0,,,,
6,"['sql', 'sql-server', 'distinct']","{'account_id': 1251314, 'reputation': 373, 'user_id': 1211672, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/0f060fc629b73074ef75477d0982b824?s=256&d=identicon&r=PG', 'display_name': 'EmreAltun', 'link': 'https://stackoverflow.com/users/1211672/emrealtun'}",True,101755,4,12,1662439949,1333916385,10066166,CC BY-SA 4.0,https://stackoverflow.com/questions/10066166/how-to-use-distinct-when-i-have-multiple-column-in-sql-server,How to use DISTINCT when I have multiple column in SQL Server?,10066189.0,1662439875.0,,,,
7,"['sql', 'crystal-reports']","{'account_id': 1362718, 'reputation': 103, 'user_id': 1299774, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/823144dc520050e6385ad0f50d568aa7?s=256&d=identicon&r=PG', 'display_name': 'Raihan', 'link': 'https://stackoverflow.com/users/1299774/raihan'}",False,9280,2,2,1662213735,1333953057,10069763,CC BY-SA 3.0,https://stackoverflow.com/questions/10069763/sql-server-query-for-employee-wise-monthly-attendance-report,SQL Server Query for employee wise monthly attendance report,,1334054478.0,,,,
8,"['sql', 'sql-server', 'if-statement', 'where-clause']","{'account_id': 942101, 'reputation': 1115, 'user_id': 970008, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/42aa9afca2d23d06d7ce710bad927986?s=256&d=identicon&r=PG', 'display_name': 'User970008', 'link': 'https://stackoverflow.com/users/970008/user970008'}",True,169179,6,38,1662041144,1335197357,10284164,CC BY-SA 3.0,https://stackoverflow.com/questions/10284164/sql-server-check-if-variable-is-empty-or-null-for-where-clause,SQL Server : check if variable is Empty or NULL for WHERE clause,10284180.0,1345207323.0,,,,
9,"['mysql', 'sql', 'phpmyadmin', 'xampp']","{'account_id': 1366212, 'reputation': 2182, 'user_id': 1302582, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/d3064ebabcc73e2fe72338451e937af4?s=256&d=identicon&r=PG&f=1', 'display_name': 'manojadams', 'link': 'https://stackoverflow.com/users/1302582/manojadams'}",True,5344,3,3,1661837823,1333565754,10017526,CC BY-SA 4.0,https://stackoverflow.com/questions/10017526/change-column-order-in-mysql,Change column order in MySQL,,1581692178.0,,,,
