,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
0,"['sql', 'database', 'relational-algebra']","{'account_id': 1258735, 'reputation': 455, 'user_id': 1217625, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/279611507831a20b1807522709f0ab71?s=256&d=identicon&r=PG', 'display_name': 'Fumler', 'link': 'https://stackoverflow.com/users/1217625/fumler'}",True,2333,12448743.0,1,2,1669088996,1347722970,1669088996.0,12438665,CC BY-SA 4.0,https://stackoverflow.com/questions/12438665/converting-a-certain-sql-query-into-relational-algebra,Converting a certain SQL query into relational algebra,,,,,
1,"['c#', 'sql', 'parsing', 'antlr']","{'account_id': 1096709, 'reputation': 293, 'user_id': 1090155, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/gP2z7.jpg?s=256&g=1', 'display_name': 'Houshang.Karami', 'link': 'https://stackoverflow.com/users/1090155/houshang-karami'}",True,15782,12487956.0,4,4,1668612205,1347994309,1668612205.0,12483173,CC BY-SA 4.0,https://stackoverflow.com/questions/12483173/parsing-sql-query-and-pull-out-column-name-and-table-name,Parsing SQL Query and pull out column name and Table name,,,,,
2,"['mysql', 'sql']","{'account_id': 1491675, 'reputation': 865, 'user_id': 1398631, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/aQVRd.png?s=256&g=1', 'display_name': 'Nitesh Kumar', 'link': 'https://stackoverflow.com/users/1398631/nitesh-kumar'}",False,8622,,3,2,1668085245,1347600027,1347609253.0,12418561,CC BY-SA 3.0,https://stackoverflow.com/questions/12418561/find-user-creation-date-in-mysql,Find User Creation Date in Mysql?,,,,,
3,"['sql', 'excel', 'syntax', 'informix', 'ms-query']","{'account_id': 1764031, 'reputation': 1653, 'user_id': 1610342, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c3883364f32bdda43b481cd3ee23ed3d?s=256&d=identicon&r=PG', 'display_name': 'PriceHardman', 'link': 'https://stackoverflow.com/users/1610342/pricehardman'}",True,1937,,1,2,1667969816,1347901843,1347905603.0,12464070,CC BY-SA 3.0,https://stackoverflow.com/questions/12464070/subquery-syntax-discrepancy-in-microsoft-query,Subquery Syntax Discrepancy in Microsoft Query,,,,,
4,"['sql', 'oracle', 'plsql', 'casting', 'type-conversion']","{'account_id': 1792524, 'reputation': 1457, 'user_id': 1632606, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eb35012dc3bc59bcaeede2fc8990808b?s=256&d=identicon&r=PG', 'display_name': 'Phillip Gibson', 'link': 'https://stackoverflow.com/users/1632606/phillip-gibson'}",True,1142882,,16,135,1666738799,1348363456,1524975219.0,12549029,CC BY-SA 3.0,https://stackoverflow.com/questions/12549029/sql-error-ora-01722-invalid-number,SQL error &quot;ORA-01722: invalid number&quot;,1501844539.0,,,,
5,"['mysql', 'sql', 'database', 'triggers']","{'account_id': 1318020, 'reputation': 8231, 'user_id': 1264481, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/wQZDA.jpg?s=256&g=1', 'display_name': 'Rvervuurt', 'link': 'https://stackoverflow.com/users/1264481/rvervuurt'}",True,1742,12447297.0,4,0,1666462349,1347802311,1502349766.0,12447264,CC BY-SA 3.0,https://stackoverflow.com/questions/12447264/remove-trigger-from-information-schema-db,Remove trigger from information_schema DB,,,,,
6,"['sql', 'postgresql', 'postgresql-9.1']","{'account_id': 1516533, 'reputation': 393, 'user_id': 1417420, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/aa368cb5ae3d6fc52a0d4f8d2b01a455?s=256&d=identicon&r=PG', 'display_name': 'lara80', 'link': 'https://stackoverflow.com/users/1417420/lara80'}",True,29807,12365699.0,1,32,1666007047,1347351330,1347352153.0,12365467,CC BY-SA 3.0,https://stackoverflow.com/questions/12365467/postgresql-9-1-how-to-concatenate-rows-in-array-without-duplicates-join-anothe,"PostgreSQL 9.1: How to concatenate rows in array without duplicates, JOIN another table",,,,,
7,"['sql', 'doctrine', 'left-join']","{'account_id': 1865476, 'reputation': 79, 'user_id': 1689162, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dffbedb1788f161e81a80343973b3383?s=256&d=identicon&r=PG', 'display_name': 'Alex Mamut', 'link': 'https://stackoverflow.com/users/1689162/alex-mamut'}",False,7732,,5,7,1664521726,1348240063,1375298616.0,12533223,CC BY-SA 3.0,https://stackoverflow.com/questions/12533223/how-to-use-left-join-like-right-join-in-doctrine,How to use left join like right join in Doctrine,,,,,
8,"['sql', 'sql-server', 'sql-server-2008', 'sql-server-2008-r2', 'distinct']","{'account_id': 60138, 'reputation': 15723, 'user_id': 179748, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/271e51768330fae3fdd500266ec1ae7b?s=256&d=identicon&r=PG', 'display_name': 'jrara', 'link': 'https://stackoverflow.com/users/179748/jrara'}",True,6329,12456786.0,1,21,1664448008,1347875084,,12456737,CC BY-SA 3.0,https://stackoverflow.com/questions/12456737/does-sql-server-support-is-distinct-from-clause,Does SQL Server support IS DISTINCT FROM clause?,,,,,
9,"['c#', 'sql', 'datatable', 'dataset']","{'account_id': 1348130, 'reputation': 3792, 'user_id': 1288473, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/6NhQ5.jpg?s=256&g=1', 'display_name': 'Eternal21', 'link': 'https://stackoverflow.com/users/1288473/eternal21'}",True,36809,12514385.0,4,6,1663718932,1348148250,1365471801.0,12513853,CC BY-SA 3.0,https://stackoverflow.com/questions/12513853/how-to-apply-sql-query-to-a-c-datatable-dataset,How to apply SQL query to a C# DataTable/Dataset?,,,,,
