,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from
0,"['sql', 'mariadb', 'with-statement', 'columnstore']","{'account_id': 3365836, 'reputation': 126, 'user_id': 2826473, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/31704ef37c0538dfe4d50223c904200e?s=256&d=identicon&r=PG&f=1', 'display_name': 'mhrvatin', 'link': 'https://stackoverflow.com/users/2826473/mhrvatin'}",False,665,2,1,1669053209,1559914584,1560151760.0,56495394,CC BY-SA 4.0,https://stackoverflow.com/questions/56495394/mariadb-how-to-using-insert-select-with-with-statement,MariaDB: How to using &quot;INSERT ... SELECT&quot; with WITH statement,,,,,
1,"['mysql', 'sql', 'regex']","{'account_id': 9952196, 'reputation': 25, 'user_id': 7364354, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b9610000d83be5632b6f4698c16e1712?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ketak Singh', 'link': 'https://stackoverflow.com/users/7364354/ketak-singh'}",True,12207,19,2,1668810990,1560410483,1661916992.0,56575274,CC BY-SA 4.0,https://stackoverflow.com/questions/56575274/query-the-list-of-city-names-from-station-that-do-not-start-with-vowels-and-do-n,Query the list of CITY names from STATION that do not start with vowels and do not end with vowels,,,,,
2,"['sql', 'relationship', 'one-to-many']","{'account_id': 13003780, 'reputation': 130, 'user_id': 9399014, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7ef508927da98bc48820641f17ee0b10?s=256&d=identicon&r=PG&f=1', 'display_name': 'Coolis', 'link': 'https://stackoverflow.com/users/9399014/coolis'}",False,75,1,0,1668678435,1559741832,1668678435.0,56461623,CC BY-SA 4.0,https://stackoverflow.com/questions/56461623/is-this-a-good-way-to-represent-a-one-to-many-relationship-for-one-table,Is this a good way to represent a one to many relationship for one table?,,,,,
3,"['java', 'sql', 'jdbc', 'h2']","{'account_id': 3274297, 'reputation': 1043, 'user_id': 2756820, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/wihJp.jpg?s=256&g=1', 'display_name': 'Ram', 'link': 'https://stackoverflow.com/users/2756820/ram'}",True,13907,4,4,1668104532,1561525725,1561526048.0,56765568,CC BY-SA 4.0,https://stackoverflow.com/questions/56765568/how-to-fix-cannot-parse-date-constant-issue-in-h2-database,How to fix Cannot parse &quot;DATE&quot; constant issue in H2 Database?,56765647.0,,,,
4,"['sql', 'arrays', 'snowflake-cloud-data-platform']","{'account_id': 8931944, 'reputation': 209, 'user_id': 6664245, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/23dcf644787cd2d99d444347fafea5b9?s=256&d=identicon&r=PG&f=1', 'display_name': 'bayesian.asian', 'link': 'https://stackoverflow.com/users/6664245/bayesian-asian'}",True,1239,2,1,1668006377,1560886132,,56655822,CC BY-SA 4.0,https://stackoverflow.com/questions/56655822/how-do-i-merge-combine-add-two-arrays-in-sql-to-form-a-new-array,How do I merge/combine/add two arrays in SQL to form a new array?,,,,,
5,"['sql', 'stored-procedures', 'jdbc', 'sybase', 'rdbms']","{'account_id': 10848054, 'reputation': 349, 'user_id': 7976842, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/50452120ee5fbebc155d6fee69ca5b47?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kiran Cyrus Ken', 'link': 'https://stackoverflow.com/users/7976842/kiran-cyrus-ken'}",True,981,3,0,1667838752,1561720996,1561721045.0,56806046,CC BY-SA 4.0,https://stackoverflow.com/questions/56806046/in-sybase-how-would-i-lock-a-stored-procedure-that-is-executing-and-alter-the-t,"In sybase, how would I lock a stored procedure that is executing and alter the table that the stored procedure returns?",56814628.0,,,,
6,"['sql', 'apache-superset']","{'account_id': 16127375, 'reputation': 46, 'user_id': 11641862, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e0b5a3eca45f78d7fd144044973e24d0?s=256&d=identicon&r=PG&f=1', 'display_name': 'apabian', 'link': 'https://stackoverflow.com/users/11641862/apabian'}",True,5191,2,3,1667251383,1560423824,1667251361.0,56579055,CC BY-SA 4.0,https://stackoverflow.com/questions/56579055/how-to-write-a-valid-custom-sql-metric-in-apache-superset-i-need-to-write-a-met,How to write a valid custom SQL metric in Apache Superset? I need to write a metric like: SUM(col_name)/2700000.0 but I am getting error,56951656.0,,,,
7,"['sql', 'tsql', 'stored-procedures']","{'account_id': 2766303, 'reputation': 4394, 'user_id': 2381942, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/f3ccc8ce6cbcd2fdeca51db987b20265?s=256&d=identicon&r=PG', 'display_name': 'sr28', 'link': 'https://stackoverflow.com/users/2381942/sr28'}",True,282,4,1,1666783898,1559918925,1559923922.0,56496586,CC BY-SA 4.0,https://stackoverflow.com/questions/56496586/why-would-a-stored-procedure-return-a-0-and-the-selected-id,Why would a stored procedure return a 0 and the selected id?,56496642.0,,,,
8,"['html', 'mysql', 'sql']","{'account_id': 3971924, 'reputation': 4233, 'user_id': 3276292, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/b2fNL.jpg?s=256&g=1', 'display_name': 'TRomesh', 'link': 'https://stackoverflow.com/users/3276292/tromesh'}",True,206,1,2,1666014368,1560474509,,56590219,CC BY-SA 4.0,https://stackoverflow.com/questions/56590219/how-to-omit-html-tags-in-a-mysql-table-attribute-while-doing-a-select,How to omit html tags in a mysql table attribute while doing a select,56713886.0,,,,
9,"['sql', 'variables', 'dbeaver']","{'account_id': 16023449, 'reputation': 459, 'user_id': 11564374, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-J5ZHZ46AxTY/AAAAAAAAAAI/AAAAAAAAADs/ltGuiPDbSm8/photo.jpg?sz=256', 'display_name': 'Elliott Urrutia', 'link': 'https://stackoverflow.com/users/11564374/elliott-urrutia'}",True,58331,4,32,1662385352,1560354690,,56566119,CC BY-SA 4.0,https://stackoverflow.com/questions/56566119/dbeaver-how-to-declare-variables-and-use-them,"DBeaver, How to declare variables and use them?",,,,,
