,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason
0,"['sql', 'google-bigquery', 'dbt']","{'account_id': 6284827, 'reputation': 103, 'user_id': 5335584, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/SzUwN.jpg?s=256&g=1', 'display_name': 'Edgar', 'link': 'https://stackoverflow.com/users/5335584/edgar'}",True,2031,66319143.0,3,5,1669202278,1613735882,66277165,CC BY-SA 4.0,https://stackoverflow.com/questions/66277165/how-to-choose-the-latest-partition-of-a-bigquery-table-in-dbt-without-scanning-t,How to choose the latest partition of a bigquery table in DBT without scanning the whole table?,,,
1,"['sql', 'stored-procedures', 'mariadb']","{'account_id': 4700786, 'reputation': 127, 'user_id': 4019685, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/635ec2dfc20c2e5fff6dd2cb4cd214a9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gianluca', 'link': 'https://stackoverflow.com/users/4019685/gianluca'}",True,444,66286731.0,1,1,1668812469,1613731124,66275984,CC BY-SA 4.0,https://stackoverflow.com/questions/66275984/how-to-check-a-mariadb-syntax-error-error-code-1064,How to check a MariaDB syntax error (Error Code 1064)?,1668812469.0,,
2,['sql'],"{'account_id': 16230659, 'reputation': 49, 'user_id': 11719536, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-t4yMWT8y8t4/AAAAAAAAAAI/AAAAAAAAAEI/WmA2hWAcqVk/photo.jpg?sz=256', 'display_name': 'pl7771', 'link': 'https://stackoverflow.com/users/11719536/pl7771'}",True,442,66177683.0,2,-1,1668108796,1613137716,66173018,CC BY-SA 4.0,https://stackoverflow.com/questions/66173018/which-employee-has-processed-most-orders,Which employee has processed most orders?,1613137947.0,,
3,"['sql', 'max']","{'account_id': 17995495, 'reputation': 45, 'user_id': 13078629, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiRNDs1iEfggsa_HhgwB3PxWjwDdznfaXQpdvj8=k-s256', 'display_name': 'Solana Liu', 'link': 'https://stackoverflow.com/users/13078629/solana-liu'}",True,17748,,5,2,1667392883,1612308185,66019044,CC BY-SA 4.0,https://stackoverflow.com/questions/66019044/how-to-find-the-product-with-the-maximum-discount-using-sql-on-hackerrank,How to find the product with the maximum discount using SQL on HackerRank,1612347875.0,,
4,"['sql', 'database', 'ms-access']","{'account_id': 18168558, 'reputation': 66, 'user_id': 13218651, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/kFgg6.jpg?s=256&g=1', 'display_name': 'Yousuf Kalim', 'link': 'https://stackoverflow.com/users/13218651/yousuf-kalim'}",True,43,,1,0,1667304121,1612684995,66085748,CC BY-SA 4.0,https://stackoverflow.com/questions/66085748/how-can-i-do-relationships-in-microsoft-access-sql-based-db,How can I do relationships in Microsoft Access (SQL Based DB),1667304121.0,,
5,"['sql', 'oracle', 'relational-database', 'oracle12c']","{'account_id': 17323025, 'reputation': 1256, 'user_id': 12547954, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-5w9fXrbAnbM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdMv2TwgMHVwJ5ZDgjveGmD_Tj0gg/photo.jpg?sz=256', 'display_name': 'Hasindu Dahanayake', 'link': 'https://stackoverflow.com/users/12547954/hasindu-dahanayake'}",True,10439,,1,0,1667292971,1613584521,66247423,CC BY-SA 4.0,https://stackoverflow.com/questions/66247423/why-we-need-select-for-update-in-oracle-sql,Why we need SELECT FOR UPDATE in Oracle SQL?,1667292971.0,,
6,"['sql', 'sql-server', 'stored-procedures', 'hana']","{'account_id': 2428165, 'reputation': 1015, 'user_id': 2575713, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/iyu16.jpg?s=256&g=1', 'display_name': 'davidthegrey', 'link': 'https://stackoverflow.com/users/2575713/davidthegrey'}",True,2025,,1,2,1666934262,1614103619,66338707,CC BY-SA 4.0,https://stackoverflow.com/questions/66338707/call-hana-stored-procedure-from-sql-server,Call HANA stored procedure from SQL Server,1666934262.0,,
7,"['sql', 'sql-server', 'temporal-tables']","{'account_id': 1524165, 'reputation': 2897, 'user_id': 1423007, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/dae4360418f32e3a8cff3833f732a0b1?s=256&d=identicon&r=PG', 'display_name': 'Dharmendra Kumar Singh', 'link': 'https://stackoverflow.com/users/1423007/dharmendra-kumar-singh'}",True,1044,,4,1,1666912856,1613364878,66202892,CC BY-SA 4.0,https://stackoverflow.com/questions/66202892/temporal-table-specific-column-changed-version-details-only,Temporal Table : specific column changed version details only,1613982223.0,,
8,"['sql', 'azure', 'pyspark', 'azure-synapse', 'delta-lake']","{'account_id': 20817984, 'reputation': 41, 'user_id': 15290349, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-E4FZm0wz_us/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmcF0SI_Y61dNA962F7M1p_nkklHA/s96-c/photo.jpg?sz=256', 'display_name': 'Kieran Goodlip', 'link': 'https://stackoverflow.com/users/15290349/kieran-goodlip'}",True,9208,,5,4,1666898906,1614345150,66386446,CC BY-SA 4.0,https://stackoverflow.com/questions/66386446/using-delta-tables-in-azure-synapse-dedicated-serverless-sql-pools,Using Delta Tables in Azure Synapse Dedicated/Serverless SQL Pools,1615297032.0,,
9,"['sql', 'node.js', 'arrays', 'postgresql']","{'account_id': 16910593, 'reputation': 436, 'user_id': 12229730, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f32867452e697478a641f375889ebb94?s=256&d=identicon&r=PG&f=1', 'display_name': 'frankied003', 'link': 'https://stackoverflow.com/users/12229730/frankied003'}",True,1211,,5,0,1666609815,1613358097,66202223,CC BY-SA 4.0,https://stackoverflow.com/questions/66202223/how-to-pass-an-array-of-integers-to-sql-in-query,How to pass an array of integers to sql IN() query,,,
10,"['sql', 'postgresql', 'triggers', 'postgresql-9.5']","{'account_id': 17227313, 'reputation': 769, 'user_id': 12472644, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCm-NXeCz01FCr6KcU-rbTB7ZJGKPaep1Q4alW2-w=k-s256', 'display_name': 'Timogavk', 'link': 'https://stackoverflow.com/users/12472644/timogavk'}",True,180,66121714.0,2,0,1666274073,1612883006,66121544,CC BY-SA 4.0,https://stackoverflow.com/questions/66121544/why-postgres-trigger-function-returns-some-columns-reference-is-ambiguous,Why postgres trigger function returns some columns reference is ambiguous?,1666274073.0,,
