,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason
0,"['sql', 'postgresql', 'join']","{'account_id': 11229395, 'reputation': 2110, 'user_id': 8237992, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-WmPd54elB7k/AAAAAAAAAAI/AAAAAAAAAIk/uVlkUgSmnqk/photo.jpg?sz=256', 'display_name': 'Monu', 'link': 'https://stackoverflow.com/users/8237992/monu'}",True,101,72180596.0,2,-1,1669183502,1652152197,1652186259.0,72180323,CC BY-SA 4.0,https://stackoverflow.com/questions/72180323/left-join-if-condition-met-set-to-null,"left join if condition met , set to null",,
1,['sql'],"{'account_id': 25177279, 'reputation': 35, 'user_id': 19019271, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/vbS0e.jpg?s=256&g=1', 'display_name': 'zapa', 'link': 'https://stackoverflow.com/users/19019271/zapa'}",True,2921,,2,0,1669108118,1651534492,1651538788.0,72093429,CC BY-SA 4.0,https://stackoverflow.com/questions/72093429/show-the-name-and-capital-where-the-name-and-the-capital-have-the-same-number-of,Show the name and capital where the name and the capital have the same number of characters,,
2,"['sql', 'sql-server', 'linux', 'database', 'ubuntu-22.04']","{'account_id': 18950257, 'reputation': 91, 'user_id': 13828137, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b2986bc31a2eb4ee370ea5c668fdb39?s=256&d=identicon&r=PG&f=1', 'display_name': 'CrossbowPanda', 'link': 'https://stackoverflow.com/users/13828137/crossbowpanda'}",True,9882,,3,6,1668683062,1653867902,,72428019,CC BY-SA 4.0,https://stackoverflow.com/questions/72428019/how-to-install-mssql-server-on-ubuntu-22-04,How to install MSSQL-Server on Ubuntu 22.04,,
3,"['sql', 'postgresql', 'common-table-expression', 'postgresql-9.6']","{'account_id': 12576949, 'reputation': 163, 'user_id': 11997494, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c9f8f223eca6e09216d4d211c404baef?s=256&d=identicon&r=PG&f=1', 'display_name': 'aayush_malik', 'link': 'https://stackoverflow.com/users/11997494/aayush-malik'}",True,428,72282985.0,3,2,1668465175,1652843068,1652846152.0,72282767,CC BY-SA 4.0,https://stackoverflow.com/questions/72282767/use-cte-and-window-function-to-get-the-number-of-hiring-under-a-budget,Use CTE and Window Function to get the number of hiring under a budget,,
4,"['sql', 'snowflake-cloud-data-platform', 'database-administration']","{'account_id': 25347444, 'reputation': 119, 'user_id': 19164831, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d1fe83c5574088adfdb5a23cdc80485?s=256&d=identicon&r=PG', 'display_name': 'Amit Kulkarni', 'link': 'https://stackoverflow.com/users/19164831/amit-kulkarni'}",True,116,72326805.0,2,5,1667867836,1653099580,1653107316.0,72326212,CC BY-SA 4.0,https://stackoverflow.com/questions/72326212/since-nested-views-are-seen-as-taboo-how-else-should-i-go-about-constructing-a,Since nested views are seen as taboo - how else should I go about constructing an extremely verbose query?,,
5,"['sql', 'postgresql']","{'account_id': 25367790, 'reputation': 43, 'user_id': 19182115, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1a32515fb2212b195cb080275aa1df8f?s=256&d=identicon&r=PG', 'display_name': 'FutureDataScientist', 'link': 'https://stackoverflow.com/users/19182115/futuredatascientist'}",True,191,72386149.0,2,0,1667749664,1653532901,,72386114,CC BY-SA 4.0,https://stackoverflow.com/questions/72386114/how-do-i-use-generate-series-in-sql-in-the-middle-of-a-string,How do I use generate_series() in SQL in the middle of a string?,,
6,"['sql', 'node.js', 'postgresql', 'backend', 'adonis.js']","{'account_id': 15869365, 'reputation': 313, 'user_id': 11451017, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/0aQ1x.jpg?s=256&g=1', 'display_name': 'CristianR', 'link': 'https://stackoverflow.com/users/11451017/cristianr'}",False,213,,1,0,1667571933,1652867848,1652960556.0,72286987,CC BY-SA 4.0,https://stackoverflow.com/questions/72286987/how-can-i-use-the-where-like-query-for-number-value-in-adonisjs-query-builder,How can i use the &quot;where like&quot; query for number value in AdonisJS query builder?,,
7,['sql'],"{'account_id': 25382494, 'reputation': 1, 'user_id': 19194685, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJygK3gdr_Qg73XX-g6tsVsR54d4axGbVkuvcsRY=k-s256', 'display_name': 'Jaideep Sharma', 'link': 'https://stackoverflow.com/users/19194685/jaideep-sharma'}",False,35,,1,-1,1667219292,1653452333,1667219292.0,72371916,CC BY-SA 4.0,https://stackoverflow.com/questions/72371916/sqlhow-to-create-sql-table-using-some-condition-create-table-only-when-conditi,SQL:How to create SQL table using some condition [Create table only when condition is true],,
8,"['c#', 'sql', 'visual-studio', 'combobox']","{'account_id': 15923438, 'reputation': 35, 'user_id': 11489730, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-gEmvgSB5pyI/AAAAAAAAAAI/AAAAAAAAAGE/SFsmMuJIWsk/photo.jpg?sz=256', 'display_name': 'TriX ', 'link': 'https://stackoverflow.com/users/11489730/trix'}",True,44,72367755.0,2,-1,1667155216,1653416032,1667155216.0,72367621,CC BY-SA 4.0,https://stackoverflow.com/questions/72367621/how-to-change-default-value-of-combo-box,How to change default value of combo box,,
9,"['sql', 'typeorm']","{'account_id': 2094311, 'reputation': 770, 'user_id': 1863446, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/gjXJp.png?s=256&g=1', 'display_name': 'Desu', 'link': 'https://stackoverflow.com/users/1863446/desu'}",False,98,,1,0,1667044887,1651825745,1651827332.0,72138447,CC BY-SA 4.0,https://stackoverflow.com/questions/72138447/typeorm-select-specific-column-only,TypeORM Select Specific Column Only,,
