,word,count
0,type,483
1,typescript,462
2,function,217
3,error,159
4,array,152
5,property,146
6,quot,143
7,value,140
8,object,129
9,component,122
10,react,90
11,class,76
12,file,76
13,ts,75
14,js,73
15,cannot,69
16,t,68
17,interface,59
18,return,53
19,json,50
20,module,49
21,way,47
22,parameter,45
23,number,45
24,string,43
25,method,42
26,gt,41
27,code,39
28,i,38
29,element,38
30,promise,37
31,javascript,37
32,typeerror,35
33,test,35
34,custom,35
35,union,34
36,argument,33
37,project,33
38,jest,33
39,use,33
40,date,32
41,map,31
42,page,30
43,input,30
44,access,29
45,import,28
46,form,28
47,request,27
48,button,27
49,call,27
50,s,27
51,index,27
52,response,26
53,change,26
54,typeorm,26
55,get,25
56,api,25
57,loop,25
58,field,24
59,state,23
60,app,23
61,lt,22
62,name,22
63,query,22
64,color,22
65,event,22
66,filter,22
67,default,21
68,text,21
69,prop,20
70,key,20
71,vue,20
72,angular,20
73,doesn,20
74,firebase,20
75,html,20
76,hook,19
77,package,19
78,pass,18
79,work,18
80,list,18
81,service,17
82,eslint,17
83,unit,17
84,child,17
85,browser,17
86,signature,16
87,vscode,16
88,create,16
89,material,16
90,row,15
91,path,15
92,x,15
93,problem,15
94,record,15
95,order,15
96,condition,14
97,instance,14
98,issue,14
99,check,14
100,declaration,14
101,config,14
102,vs,14
103,variable,14
104,webpack,14
105,table,14
106,application,14
107,callback,14
108,style,13
109,constructor,13
110,enum,13
111,server,13
112,statement,13
113,validation,13
114,time,13
115,node,12
116,pipe,12
117,http,12
118,router,12
119,dom,12
120,client,12
121,mui,12
122,script,12
123,export,12
124,template,11
125,store,11
126,item,11
127,redux,11
128,size,11
129,dependency,11
130,parent,11
131,context,11
132,jsx,11
133,fetch,11
134,model,10
135,d,10
136,operator,10
137,extension,10
138,express,10
139,primeng,10
140,checkbox,10
141,status,10
142,implementation,10
143,dialog,10
144,v5,10
145,editor,10
146,convert,10
147,click,10
148,block,9
149,web,9
150,void,9
151,document,9
152,user,9
153,image,9
154,option,9
155,difference,9
156,prevent,9
157,expression,9
158,data,9
159,action,9
160,case,9
161,mat,9
162,result,9
163,css,9
164,subscription,9
165,plugin,8
166,load,8
167,window,8
168,post,8
169,constraint,8
170,definition,8
171,menu,8
172,datepicker,8
173,version,8
