,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason
0,"['node.js', 'typescript', 'caching', 'nestjs']","{'account_id': 13005686, 'reputation': 1160, 'user_id': 9400269, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HHzQk.jpg?s=256&g=1', 'display_name': 'Istiyak Tailor', 'link': 'https://stackoverflow.com/users/9400269/istiyak-tailor'}",True,5201,60114045.0,5,21,1669098524,1580897398,60073385,CC BY-SA 4.0,https://stackoverflow.com/questions/60073385/nest-js-not-accepting-any-changes,Nest.Js not accepting any changes,,,
1,"['javascript', 'reactjs', 'typescript', 'jestjs', 'auth0']","{'account_id': 1595880, 'reputation': 323, 'user_id': 1478018, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ab105ed2d3f23b17b6607ac98cb5aa4?s=256&d=identicon&r=PG', 'display_name': 'tmos', 'link': 'https://stackoverflow.com/users/1478018/tmos'}",True,10460,60010927.0,3,11,1669085619,1580499371,60010211,CC BY-SA 4.0,https://stackoverflow.com/questions/60010211/react-how-to-mock-auth0-for-testing-with-jest,React: How to mock Auth0 for testing with Jest,1580560465.0,,
2,"['angular', 'typescript', 'drag-and-drop', 'angular-material', 'angular-cdk']","{'account_id': 16934471, 'reputation': 105, 'user_id': 12400641, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-fGsFUU_yqOs/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcStsWS99DxMgS6YO0YJHlyBTfadw/photo.jpg?sz=256', 'display_name': 'mark ', 'link': 'https://stackoverflow.com/users/12400641/mark'}",True,5927,60307170.0,3,5,1669034226,1582134235,60306303,CC BY-SA 4.0,https://stackoverflow.com/questions/60306303/obtains-the-name-and-id-of-the-dropped-element,Obtains the name and ID of the dropped element,,,
3,"['typescript', 'dynamic', 'types', 'union']","{'account_id': 8392791, 'reputation': 1443, 'user_id': 6300994, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ZvFBv.jpg?s=256&g=1', 'display_name': 'Patrick Wozniak', 'link': 'https://stackoverflow.com/users/6300994/patrick-wozniak'}",True,2599,,3,2,1669020511,1582152066,60310405,CC BY-SA 4.0,https://stackoverflow.com/questions/60310405/typescript-keyof-values-of-array,Typescript - keyof values of array,,,
4,"['javascript', 'angular', 'typescript', 'ag-grid']","{'account_id': 16384295, 'reputation': 1280, 'user_id': 11834561, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8db261ed9283a5fa403bfca7891b954e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Timu&#231;in &#199;i&#231;ek', 'link': 'https://stackoverflow.com/users/11834561/timu%c3%a7in-%c3%87i%c3%a7ek'}",True,7351,60382434.0,2,3,1668684859,1582569138,60381989,CC BY-SA 4.0,https://stackoverflow.com/questions/60381989/how-to-listen-sortchangeevent-on-angular-for-ag-grid,How to listen sortChange(event) on Angular for ag-Grid?,,,
5,"['node.js', 'typescript', 'visual-studio-code', 'tsconfig-paths']","{'account_id': 4568283, 'reputation': 715, 'user_id': 3708721, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/e8908d9ab0065da6a5882f84abf52278?s=256&d=identicon&r=PG&f=1', 'display_name': 'CrazyYoshi', 'link': 'https://stackoverflow.com/users/3708721/crazyyoshi'}",True,19745,60131288.0,4,13,1668603364,1580861137,60067281,CC BY-SA 4.0,https://stackoverflow.com/questions/60067281/typescript-path-aliases-not-resolved-correctly-at-runtime,Typescript path aliases not resolved correctly at runtime,1580931856.0,,
6,"['node.js', 'typescript', 'environment-variables']","{'account_id': 11778073, 'reputation': 361, 'user_id': 11085329, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/decc34508e898cbab353d607355ea4d2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Haroon Azhar Khan', 'link': 'https://stackoverflow.com/users/11085329/haroon-azhar-khan'}",True,3252,60254288.0,2,-1,1668543470,1581896081,60254244,CC BY-SA 4.0,https://stackoverflow.com/questions/60254244/how-to-set-and-consume-environment-variables-in-node-js,how to set and consume environment variables in node.js,1668543470.0,,
7,"['angular', 'typescript', 'angular-material']","{'account_id': 925057, 'reputation': 789, 'user_id': 5557043, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/7260f64fa53d381899eb7ed44651b3bf?s=256&d=identicon&r=PG&f=1', 'display_name': 'CodeMan03', 'link': 'https://stackoverflow.com/users/5557043/codeman03'}",True,1113,60107719.0,2,1,1668535270,1581053412,60107608,CC BY-SA 4.0,https://stackoverflow.com/questions/60107608/mattooltip-position-is-undefined-or-invalid,MatToolTip position is undefined or invalid,1581054114.0,,
8,"['typescript', 'typescript-generics']","{'account_id': 9915584, 'reputation': 743, 'user_id': 7340574, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-hzs8yfEPWWk/AAAAAAAAAAI/AAAAAAAAIiM/lMYkN0o6XGc/photo.jpg?sz=256', 'display_name': 'Malte Lauk&#246;tter', 'link': 'https://stackoverflow.com/users/7340574/malte-lauk%c3%b6tter'}",True,46175,60142095.0,4,55,1668184069,1581287410,60141960,CC BY-SA 4.0,https://stackoverflow.com/questions/60141960/typescript-key-value-relation-preserving-object-entries-type,Typescript Key-Value relation preserving Object.entries type,,,
9,"['javascript', 'typescript', 'aws-amplify', 'aws-amplify-vue']","{'account_id': 4590272, 'reputation': 3323, 'user_id': 3723803, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/Fujn1.jpg?s=256&g=1', 'display_name': 'Tim Hutchison', 'link': 'https://stackoverflow.com/users/3723803/tim-hutchison'}",True,7317,60267850.0,5,15,1668036244,1580758312,60045960,CC BY-SA 4.0,https://stackoverflow.com/questions/60045960/how-do-i-disable-the-sign-up-link-for-the-aws-amplify-vue-authenticator,How do I disable the sign up link for the aws amplify vue authenticator?,1581965512.0,,
