,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason
0,"['node.js', 'typescript', 'nestjs', 'typeorm']","{'account_id': 4172148, 'reputation': 115, 'user_id': 3419676, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Pavello', 'link': 'https://stackoverflow.com/users/3419676/pavello'}",True,5444,61534422.0,1,3,1668819284,1588190195,1668819284.0,61510569,CC BY-SA 4.0,https://stackoverflow.com/questions/61510569/typeorm-two-foreign-keys-referencing-the-same-primary-key-in-one-table,TypeORM. Two Foreign Keys referencing the same Primary Key in one table,,,
1,['typescript'],"{'account_id': 2974324, 'reputation': 431, 'user_id': 2525735, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/127aeb6a911b45b8303d2b10d6a86586?s=256&d=identicon&r=PG', 'display_name': 'Fred', 'link': 'https://stackoverflow.com/users/2525735/fred'}",True,6411,61434547.0,3,32,1668617704,1587843004,1668617704.0,61431397,CC BY-SA 4.0,https://stackoverflow.com/questions/61431397/how-to-define-typescript-type-as-a-dictionary-of-strings-but-with-one-numeric-i,How to define Typescript type as a dictionary of strings but with one numeric &quot;id&quot; property,,,
2,"['angular', 'typescript', 'onchange']","{'account_id': 15475133, 'reputation': 3518, 'user_id': 11163977, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9e3a68a5b36f8dfba944423900d74a23?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tanzeel', 'link': 'https://stackoverflow.com/users/11163977/tanzeel'}",True,21242,61154356.0,5,8,1668607643,1586594360,1586595463.0,61154090,CC BY-SA 4.0,https://stackoverflow.com/questions/61154090/how-detect-changes-in-an-input-field-as-we-type-in-angular,How detect changes in an input field as we type-in [Angular],,,
3,"['javascript', 'reactjs', 'typescript', 'npm', 'kepler']","{'user_type': 'does_not_exist', 'display_name': 'user12541823'}",False,636,,2,2,1668530216,1587494323,1587748172.0,61350728,CC BY-SA 4.0,https://stackoverflow.com/questions/61350728/unable-to-install-kepler-react-typescript,Unable to Install Kepler React - TypeScript,,,
4,"['typescript', 'jwt']","{'account_id': 966189, 'reputation': 1754, 'user_id': 989577, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://i.stack.imgur.com/UJ8Ps.jpg?s=256&g=1', 'display_name': 'Jamie', 'link': 'https://stackoverflow.com/users/989577/jamie'}",True,10788,61201393.0,4,10,1668523777,1586829151,,61199530,CC BY-SA 4.0,https://stackoverflow.com/questions/61199530/typescript-error-with-accessing-jwt-decode-object,Typescript error with accessing jwt-decode object,,,
5,"['angular', 'typescript']","{'account_id': 2291161, 'reputation': 847, 'user_id': 2013939, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/7222d7abd16c610f00905c79cb7da304?s=256&d=identicon&r=PG', 'display_name': 'rnxfod', 'link': 'https://stackoverflow.com/users/2013939/rnxfod'}",True,121080,64467633.0,16,62,1668515925,1587316666,1634125080.0,61308517,CC BY-SA 4.0,https://stackoverflow.com/questions/61308517/angular-compile-error-ng6001-the-class-is-listed-in-the-declarations-of-the-ng,"Angular Compile Error: NG6001: The class is listed in the declarations of the NgModule &#39;AppModule&#39;, but is not a directive, a component, or a pipe",,,
6,"['javascript', 'reactjs', 'typescript', 'material-ui']","{'account_id': 3451836, 'reputation': 6771, 'user_id': 2891356, 'user_type': 'registered', 'accept_rate': 14, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mike K', 'link': 'https://stackoverflow.com/users/2891356/mike-k'}",True,19792,61120868.0,3,12,1668374881,1586433886,1586437561.0,61120760,CC BY-SA 4.0,https://stackoverflow.com/questions/61120760/how-to-extend-material-ui-theme-with-typescript,How to extend Material-UI Theme with Typescript?,,,
7,"['javascript', 'reactjs', 'typescript', 'react-native']","{'user_type': 'does_not_exist', 'display_name': 'user12919553'}",True,5914,,2,4,1668253185,1587820587,1668253185.0,61426234,CC BY-SA 4.0,https://stackoverflow.com/questions/61426234/async-modifier-cannot-be-used-here-in-typescript-react,&#39;async&#39; modifier cannot be used here in typescript react,,,
8,"['angular', 'typescript', 'visual-studio-2019']","{'account_id': 77217, 'reputation': 2106, 'user_id': 220545, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/e0179473d39d90a0ccb3585ed2fc7b47?s=256&d=identicon&r=PG', 'display_name': 'tony', 'link': 'https://stackoverflow.com/users/220545/tony'}",False,189,,1,1,1668101043,1587387158,1668101043.0,61322990,CC BY-SA 4.0,https://stackoverflow.com/questions/61322990/visual-studio-2019-solution-with-2-projects-one-angular-and-one-with-typescript,"Visual Studio 2019 solution with 2 projects, one Angular and one with typescript. Getting compile on save to work",,,
9,"['node.js', 'typescript', 'passport.js', 'nestjs', 'passport-facebook']","{'account_id': 10381830, 'reputation': 995, 'user_id': 7674430, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eae287f0a263a06484e6fbf37d14231e?s=256&d=identicon&r=PG&f=1', 'display_name': 'hesham shawky', 'link': 'https://stackoverflow.com/users/7674430/hesham-shawky'}",True,2772,,2,1,1668081166,1586185387,,61062780,CC BY-SA 4.0,https://stackoverflow.com/questions/61062780/login-by-passport-facebook-by-nestjs-framework,Login by Passport Facebook by nestJs framework,,,
10,"['typescript', 'jestjs']","{'account_id': 10536677, 'reputation': 1026, 'user_id': 7764329, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/0dbb5b33bbcd830553cc0b7b050abc8c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Question3r', 'link': 'https://stackoverflow.com/users/7764329/question3r'}",True,7641,61314342.0,2,11,1667764065,1587220245,1587350704.0,61290819,CC BY-SA 4.0,https://stackoverflow.com/questions/61290819/how-to-expect-string-to-start-with-specified-variable,how to expect string to start with specified variable,,,
11,"['typescript', 'stripe-payments']","{'account_id': 9954978, 'reputation': 539, 'user_id': 7366255, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/eb8dbb622be2fbb0f7bf815209dc8820?s=256&d=identicon&r=PG&f=1', 'display_name': 'HessianMad', 'link': 'https://stackoverflow.com/users/7366255/hessianmad'}",True,1753,61407735.0,1,1,1667697728,1587727158,,61407149,CC BY-SA 4.0,https://stackoverflow.com/questions/61407149/how-to-change-stripe-locale-when-the-stripe-variable-has-been-initialized,How to change stripe locale when the stripe variable has been initialized,,,
12,"['javascript', 'typescript', 'naming-conventions', 'naming']","{'account_id': 480866, 'reputation': 73, 'user_id': 894346, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/StgFC.jpg?s=256&g=1', 'display_name': 'Kevin', 'link': 'https://stackoverflow.com/users/894346/kevin'}",True,370,74316800.0,2,0,1667563485,1587843550,,61431523,CC BY-SA 4.0,https://stackoverflow.com/questions/61431523/pascal-case-or-upper-camel-case-but-allows-name-like-htmlinputelement,Pascal Case (or Upper Camel Case) but allows name like HTMLInputElement?,,,
13,"['typescript', 'webpack', 'next.js', 'sentry']","{'account_id': 1970404, 'reputation': 7398, 'user_id': 1769515, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/d8ad342de0fb7ec1532e967042f1e285?s=256&d=identicon&r=PG', 'display_name': 'a14m', 'link': 'https://stackoverflow.com/users/1769515/a14m'}",True,8927,61064772.0,2,6,1667504900,1585914691,1585931816.0,61011281,CC BY-SA 4.0,https://stackoverflow.com/questions/61011281/next-js-source-maps-with-typescript-on-sentry,Next.js source maps with typescript on Sentry,,,
14,"['typescript', 'amazon-web-services', 'aws-cdk']","{'account_id': 7958798, 'reputation': 61, 'user_id': 6007219, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10156572088840585/picture?type=large', 'display_name': 'scope', 'link': 'https://stackoverflow.com/users/6007219/scope'}",False,545,,1,1,1667455516,1587276838,1667455516.0,61300298,CC BY-SA 4.0,https://stackoverflow.com/questions/61300298/issue-with-rds-stack-when-updating-a-single-stack-using-aws-cdk-typescript,Issue with RDS stack when updating a single stack using AWS-CDK Typescript,,,
15,"['angular', 'typescript']","{'account_id': 18047502, 'reputation': 504, 'user_id': 13118086, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GglylrgciwIHGndA89DTyiw-gPwUWljrByLejr8=k-s256', 'display_name': 'Doesn&#39;t Matter', 'link': 'https://stackoverflow.com/users/13118086/doesnt-matter'}",True,24009,61154585.0,3,17,1666973106,1586596572,1666973106.0,61154499,CC BY-SA 4.0,https://stackoverflow.com/questions/61154499/typescript-multiple-constructor-implementations-are-not-allowed,TypeScript: Multiple constructor implementations are not allowed,,,
16,"['postgresql', 'typescript', 'typeorm']","{'account_id': 4480868, 'reputation': 2054, 'user_id': 3644967, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/DXuQA.jpg?s=256&g=1', 'display_name': 'Alex MacArthur', 'link': 'https://stackoverflow.com/users/3644967/alex-macarthur'}",True,10522,61369766.0,2,9,1666935590,1587560497,,61365822,CC BY-SA 4.0,https://stackoverflow.com/questions/61365822/typeorm-query-builder-returning-empty-array-when-raw-sql-works,TypeORM Query Builder Returning Empty Array When Raw SQL Works,,,
17,"['angular', 'typescript', 'npm', 'ngx-daterangepicker-material']","{'account_id': 14078077, 'reputation': 151, 'user_id': 10169808, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-X_L9mC6zIow/AAAAAAAAAAI/AAAAAAAAABE/PCZl7HVgM0Q/photo.jpg?sz=256', 'display_name': 'WebDev', 'link': 'https://stackoverflow.com/users/10169808/webdev'}",True,11662,,8,12,1666782312,1587033016,1587035696.0,61248058,CC BY-SA 4.0,https://stackoverflow.com/questions/61248058/error-ngx-daterangepicker-material-an-accessor-cannot-be-declared-in-an-ambient,ERROR ngx-daterangepicker-material An accessor cannot be declared in an ambient context,,,
18,"['reactjs', 'typescript', 'material-ui', 'tsx']","{'account_id': 18054112, 'reputation': 385, 'user_id': 13123037, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cad3576c4e74183b5b43d0ee2276172c?s=256&d=identicon&r=PG&f=1', 'display_name': 'lo7', 'link': 'https://stackoverflow.com/users/13123037/lo7'}",True,9396,61100819.0,1,10,1666711687,1586348933,1600672824.0,61100691,CC BY-SA 4.0,https://stackoverflow.com/questions/61100691/how-to-handle-onchange-in-typescript,How to handle onChange in Typescript,,,
