,word,count
0,function,2202
1,array,1847
2,property,1560
3,value,1497
4,component,1489
5,quot,1332
6,class,1266
7,object,1154
8,file,975
9,interface,750
10,cannot,740
11,react,694
12,module,689
13,json,678
14,method,655
15,way,562
16,ts,528
17,code,527
18,javascript,520
19,gt,512
20,form,489
21,input,459
22,element,459
23,service,452
24,return,425
25,string,391
26,access,386
27,project,382
28,event,377
29,custom,372
30,parameter,369
31,page,361
32,import,345
33,use,344
34,button,342
35,html,341
36,lt,337
37,api,332
38,number,331
39,material,331
40,name,329
41,argument,324
42,union,319
43,request,315
44,call,312
45,app,311
46,index,304
47,list,302
48,typeerror,299
49,test,298
50,promise,297
51,state,293
52,date,292
53,response,287
54,map,280
55,constructor,274
56,field,270
57,change,257
58,http,250
59,default,249
60,image,238
61,angular,237
62,table,232
63,firebase,232
64,parent,227
65,time,220
66,issue,220
67,get,219
68,mat,215
69,filter,208
70,application,206
71,enum,202
72,jest,197
73,node,197
74,work,195
75,webpack,195
76,key,193
77,problem,192
78,loop,191
79,rxjs,188
80,doesn,187
81,signature,179
82,create,177
83,template,176
84,instance,175
85,unit,175
86,click,174
87,vue,172
88,router,169
89,package,165
90,item,164
91,definition,161
92,option,160
93,server,153
94,protractor,152
95,result,151
96,declaration,150
97,pass,150
98,model,149
99,child,149
100,id,148
101,pipe,147
102,path,145
103,export,143
104,variable,143
105,checkbox,143
106,user,142
107,vscode,142
108,check,142
109,post,138
110,redux,138
111,row,136
112,route,134
113,compiler,134
114,text,130
115,script,129
116,order,129
117,vs,128
118,subscribe,127
119,expression,123
120,difference,123
121,style,119
122,operator,118
123,query,118
124,express,117
125,decorator,117
126,validation,117
127,build,117
128,callback,117
129,browser,116
130,store,112
131,select,112
132,display,111
133,tag,111
134,output,109
135,prop,107
136,amp,107
137,condition,107
138,async,107
139,data,107
140,library,107
141,action,103
142,css,103
143,load,101
144,view,101
145,eslint,101
146,dependency,100
147,content,99
148,firestore,99
149,studio,99
150,show,98
151,typeorm,97
152,client,97
153,core,96
154,database,95
155,reference,94
156,case,93
157,line,92
158,div,92
159,member,91
160,group,91
161,rest,91
162,attribute,91
163,control,91
164,version,90
165,extension,89
166,message,89
167,document,88
168,plugin,88
169,format,87
170,structure,87
171,search,86
172,color,86
173,bootstrap,85
174,column,85
175,body,85
176,google,84
177,header,84
178,chart,84
179,statement,83
180,assign,82
181,subscription,82
182,jasmine,82
183,inference,81
184,side,80
185,cloud,80
186,push,80
187,source,79
188,window,79
189,convert,78
190,dom,76
191,tslint,75
192,syntax,75
193,web,75
194,jsx,73
195,mock,73
196,namespace,72
197,length,72
198,jquery,72
199,httpclient,71
200,context,71
201,url,71
202,await,70
203,menu,69
204,resolve,69
205,guard,68
206,modal,68
207,drop,68
208,render,67
